pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	86.2166	90.0327	8.89111	0.429204
20 <pt<25 	3<chiso range<9 	86.2166	85.8613	8.50235	0.0417884
20 <pt<25 	3<chiso range<10 	86.2166	83.8195	8.3098	0.288467
20 <pt<25 	3<chiso range<11 	86.2166	82.1713	8.14174	0.496859
20 <pt<25 	3<chiso range<12 	86.2166	80.6112	7.9977	0.700877
20 <pt<25 	3<chiso range<13 	86.2166	78.9911	7.84621	0.92089
20 <pt<25 	4<chiso range<9 	86.2166	86.0307	8.54647	0.0217517
20 <pt<25 	4<chiso range<10 	86.2166	83.5172	8.30357	0.325089
20 <pt<25 	4<chiso range<11 	86.2166	81.6066	8.10581	0.568728
20 <pt<25 	4<chiso range<12 	86.2166	79.8343	7.93933	0.803884
20 <pt<25 	4<chiso range<13 	86.2166	78.0282	7.76809	1.05411
20 <pt<25 	5<chiso range<10 	86.2166	80.196	7.97524	0.754911
20 <pt<25 	5<chiso range<11 	86.2166	78.4161	7.78856	1.00153
20 <pt<25 	5<chiso range<12 	86.2166	76.7342	7.63221	1.24242
20 <pt<25 	5<chiso range<13 	86.2166	74.9819	7.4669	1.5046
20 <pt<25 	6<chiso range<11 	86.2166	74.8673	7.44264	1.5249
20 <pt<25 	6<chiso range<12 	86.2166	73.379	7.30561	1.75722
20 <pt<25 	6<chiso range<13 	86.2166	71.7441	7.15173	2.02364
20 <pt<25 	7<chiso range<12 	86.2166	70.1482	6.99561	2.29693
20 <pt<25 	7<chiso range<13 	86.2166	68.6653	6.85577	2.56008
20 <pt<25 	8<chiso range<13 	86.2166	65.3334	6.52505	3.20047
#######################################################################################
25 <pt<30 	3<chiso range<8 	43.5772	37.1271	5.63582	1.14448
25 <pt<30 	3<chiso range<9 	43.5772	36.2975	5.50834	1.32158
25 <pt<30 	3<chiso range<10 	43.5772	36.1945	5.48708	1.34547
25 <pt<30 	3<chiso range<11 	43.5772	35.9965	5.45649	1.3893
25 <pt<30 	3<chiso range<12 	43.5772	36.131	5.47657	1.35965
25 <pt<30 	3<chiso range<13 	43.5772	35.1884	5.33737	1.57171
25 <pt<30 	4<chiso range<9 	43.5772	36.273	5.50318	1.32727
25 <pt<30 	4<chiso range<10 	43.5772	36.1515	5.47809	1.35553
25 <pt<30 	4<chiso range<11 	43.5772	35.923	5.44307	1.40623
25 <pt<30 	4<chiso range<12 	43.5772	36.0864	5.46768	1.37001
25 <pt<30 	4<chiso range<13 	43.5772	35.0112	5.30916	1.61344
25 <pt<30 	5<chiso range<10 	43.5772	35.5638	5.37916	1.48971
25 <pt<30 	5<chiso range<11 	43.5772	35.3729	5.35118	1.53318
25 <pt<30 	5<chiso range<12 	43.5772	35.6279	5.39063	1.47465
25 <pt<30 	5<chiso range<13 	43.5772	34.4379	5.21641	1.75203
25 <pt<30 	6<chiso range<11 	43.5772	33.8829	5.14453	1.88439
25 <pt<30 	6<chiso range<12 	43.5772	34.3823	5.21882	1.76187
25 <pt<30 	6<chiso range<13 	43.5772	33.1671	5.03839	2.06616
25 <pt<30 	7<chiso range<12 	43.5772	34.1359	5.18181	1.82201
25 <pt<30 	7<chiso range<13 	43.5772	32.7252	4.97227	2.1825
25 <pt<30 	8<chiso range<13 	43.5772	32.691	4.9521	2.1983
#######################################################################################
30 <pt<40 	3<chiso range<8 	35.2543	36.0524	6.3489	0.125707
30 <pt<40 	3<chiso range<9 	35.2543	34.6151	6.09098	0.104942
30 <pt<40 	3<chiso range<10 	35.2543	33.5896	5.91816	0.281287
30 <pt<40 	3<chiso range<11 	35.2543	33.0189	5.81271	0.384571
30 <pt<40 	3<chiso range<12 	35.2543	31.7005	5.59591	0.635071
30 <pt<40 	3<chiso range<13 	35.2543	31.6613	5.58745	0.643048
30 <pt<40 	4<chiso range<9 	35.2543	33.4876	5.90902	0.298984
30 <pt<40 	4<chiso range<10 	35.2543	32.4517	5.73205	0.488935
30 <pt<40 	4<chiso range<11 	35.2543	31.9356	5.63386	0.589063
30 <pt<40 	4<chiso range<12 	35.2543	30.5518	5.4046	0.870092
30 <pt<40 	4<chiso range<13 	35.2543	30.6134	5.41285	0.857386
30 <pt<40 	5<chiso range<10 	35.2543	32.7047	5.77394	0.44157
30 <pt<40 	5<chiso range<11 	35.2543	32.0585	5.65186	0.565442
30 <pt<40 	5<chiso range<12 	35.2543	30.4451	5.38507	0.893062
30 <pt<40 	5<chiso range<13 	35.2543	30.5262	5.39648	0.876145
30 <pt<40 	6<chiso range<11 	35.2543	30.7501	5.41443	0.831888
30 <pt<40 	6<chiso range<12 	35.2543	29.0396	5.13449	1.21038
30 <pt<40 	6<chiso range<13 	35.2543	29.304	5.17814	1.14912
30 <pt<40 	7<chiso range<12 	35.2543	26.9307	4.76113	1.74824
30 <pt<40 	7<chiso range<13 	35.2543	27.5468	4.86684	1.58368
30 <pt<40 	8<chiso range<13 	35.2543	26.6393	4.71007	1.82906
#######################################################################################
40 <pt<50 	3<chiso range<8 	14.0952	12.728	3.76409	0.363222
40 <pt<50 	3<chiso range<9 	14.0952	12.4435	3.68263	0.448511
40 <pt<50 	3<chiso range<10 	14.0952	12.4947	3.69466	0.433193
40 <pt<50 	3<chiso range<11 	14.0952	12.3924	3.65837	0.465453
40 <pt<50 	3<chiso range<12 	14.0952	12.1828	3.59577	0.531847
40 <pt<50 	3<chiso range<13 	14.0952	11.8069	3.49222	0.655257
40 <pt<50 	4<chiso range<9 	14.0952	12.0889	3.57778	0.560767
40 <pt<50 	4<chiso range<10 	14.0952	12.2035	3.60814	0.524287
40 <pt<50 	4<chiso range<11 	14.0952	12.1272	3.57876	0.549911
40 <pt<50 	4<chiso range<12 	14.0952	11.9213	3.5173	0.618059
40 <pt<50 	4<chiso range<13 	14.0952	11.5364	3.41188	0.749968
40 <pt<50 	5<chiso range<10 	14.0952	12.2318	3.61881	0.514921
40 <pt<50 	5<chiso range<11 	14.0952	12.136	3.58202	0.546954
40 <pt<50 	5<chiso range<12 	14.0952	11.8928	3.50932	0.627586
40 <pt<50 	5<chiso range<13 	14.0952	11.452	3.38848	0.780055
40 <pt<50 	6<chiso range<11 	14.0952	12.02	3.54015	0.58619
40 <pt<50 	6<chiso range<12 	14.0952	11.7493	3.46032	0.677943
40 <pt<50 	6<chiso range<13 	14.0952	11.2517	3.32559	0.855036
