pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	43.2231	44.2313	14.1737	0.0711317
20  <pt<25 	3<chiso range<9 	43.2231	48.2886	13.9885	0.362119
20  <pt<25 	3<chiso range<10 	43.2231	50.2985	13.8929	0.509282
20  <pt<25 	3<chiso range<11 	43.2231	52.0168	13.7788	0.638205
20  <pt<25 	3<chiso range<12 	43.2231	53.5008	13.7232	0.748929
20  <pt<25 	3<chiso range<13 	43.2231	55.0522	13.6611	0.865897
20  <pt<25 	4<chiso range<9 	43.2231	47.8798	14.0894	0.330511
20  <pt<25 	4<chiso range<10 	43.2231	50.3985	13.9537	0.514229
20  <pt<25 	4<chiso range<11 	43.2231	52.4062	13.813	0.664816
20  <pt<25 	4<chiso range<12 	43.2231	54.1142	13.7414	0.792576
20  <pt<25 	4<chiso range<13 	43.2231	55.869	13.6656	0.925382
20  <pt<25 	5<chiso range<10 	43.2231	53.7527	13.7623	0.765105
20  <pt<25 	5<chiso range<11 	43.2231	55.6396	13.6264	0.911209
20  <pt<25 	5<chiso range<12 	43.2231	57.2422	13.5679	1.03325
20  <pt<25 	5<chiso range<13 	43.2231	58.9297	13.5013	1.16334
20  <pt<25 	6<chiso range<11 	43.2231	59.1648	13.4507	1.18519
20  <pt<25 	6<chiso range<12 	43.2231	60.5637	13.4076	1.29334
20  <pt<25 	6<chiso range<13 	43.2231	62.1289	13.3507	1.41609
20  <pt<25 	7<chiso range<12 	43.2231	63.708	13.2766	1.54293
20  <pt<25 	7<chiso range<13 	43.2231	65.1267	13.2277	1.65589
20  <pt<25 	8<chiso range<13 	43.2231	68.4577	13.0653	1.93142
#######################################################################################
25  <pt<30 	3<chiso range<8 	27.2984	36.376	10.0653	0.901871
25  <pt<30 	3<chiso range<9 	27.2984	37.235	9.98825	0.994829
25  <pt<30 	3<chiso range<10 	27.2984	37.3814	9.96156	1.01219
25  <pt<30 	3<chiso range<11 	27.2984	37.588	9.9429	1.03487
25  <pt<30 	3<chiso range<12 	27.2984	37.4531	9.95333	1.02023
25  <pt<30 	3<chiso range<13 	27.2984	38.3875	9.8858	1.12172
25  <pt<30 	4<chiso range<9 	27.2984	37.27	9.98162	0.998996
25  <pt<30 	4<chiso range<10 	27.2984	37.4434	9.95005	1.01959
25  <pt<30 	4<chiso range<11 	27.2984	37.6799	9.92941	1.04553
25  <pt<30 	4<chiso range<12 	27.2984	37.5143	9.94279	1.02747
25  <pt<30 	4<chiso range<13 	27.2984	38.5781	9.86685	1.14319
25  <pt<30 	5<chiso range<10 	27.2984	38.1195	9.86887	1.09649
25  <pt<30 	5<chiso range<11 	27.2984	38.3076	9.85586	1.11702
25  <pt<30 	5<chiso range<12 	27.2984	38.0407	9.87984	1.08729
25  <pt<30 	5<chiso range<13 	27.2984	39.2078	9.80107	1.21511
25  <pt<30 	6<chiso range<11 	27.2984	39.6763	9.79586	1.26358
25  <pt<30 	6<chiso range<12 	27.2984	39.1799	9.83148	1.20852
25  <pt<30 	6<chiso range<13 	27.2984	40.3849	9.74691	1.34263
25  <pt<30 	7<chiso range<12 	27.2984	39.4286	9.8126	1.23619
25  <pt<30 	7<chiso range<13 	27.2984	40.8267	9.71537	1.39246
25  <pt<30 	8<chiso range<13 	27.2984	40.9848	9.66362	1.41628
#######################################################################################
30  <pt<40 	3<chiso range<8 	30.7593	31.6209	10.1459	0.084921
30  <pt<40 	3<chiso range<9 	30.7593	33.1116	9.97287	0.23587
30  <pt<40 	3<chiso range<10 	30.7593	34.1184	9.88306	0.339885
30  <pt<40 	3<chiso range<11 	30.7593	34.7238	9.80936	0.404155
30  <pt<40 	3<chiso range<12 	30.7593	35.9846	9.71536	0.537839
30  <pt<40 	3<chiso range<13 	30.7593	36.032	9.7072	0.543174
30  <pt<40 	4<chiso range<9 	30.7593	34.1804	9.89588	0.34571
30  <pt<40 	4<chiso range<10 	30.7593	35.2045	9.80239	0.453481
30  <pt<40 	4<chiso range<11 	30.7593	35.7637	9.72979	0.514338
30  <pt<40 	4<chiso range<12 	30.7593	37.0908	9.63125	0.657391
30  <pt<40 	4<chiso range<13 	30.7593	37.0415	9.6302	0.652344
30  <pt<40 	5<chiso range<10 	30.7593	34.9607	9.82139	0.427781
30  <pt<40 	5<chiso range<11 	30.7593	35.6575	9.73239	0.503289
30  <pt<40 	5<chiso range<12 	30.7593	37.2021	9.61889	0.669807
30  <pt<40 	5<chiso range<13 	30.7593	37.1346	9.61893	0.662787
30  <pt<40 	6<chiso range<11 	30.7593	37.0209	9.58186	0.653485
30  <pt<40 	6<chiso range<12 	30.7593	38.6347	9.47653	0.831043
30  <pt<40 	6<chiso range<13 	30.7593	38.3837	9.49327	0.803137
30  <pt<40 	7<chiso range<12 	30.7593	40.7737	9.27964	1.07918
30  <pt<40 	7<chiso range<13 	30.7593	40.1701	9.32612	1.00908
30  <pt<40 	8<chiso range<13 	30.7593	41.0654	9.25504	1.11357
#######################################################################################
40  <pt<50 	3<chiso range<8 	16.8899	18.9327	6.6382	0.307734
40  <pt<50 	3<chiso range<9 	16.8899	19.2089	6.59446	0.351659
40  <pt<50 	3<chiso range<10 	16.8899	19.1641	6.59621	0.344774
40  <pt<50 	3<chiso range<11 	16.8899	19.278	6.56438	0.363797
40  <pt<50 	3<chiso range<12 	16.8899	19.488	6.52693	0.398059
40  <pt<50 	3<chiso range<13 	16.8899	19.8461	6.48163	0.456089
40  <pt<50 	4<chiso range<9 	16.8899	19.5606	6.53381	0.408751
40  <pt<50 	4<chiso range<10 	16.8899	19.4539	6.54505	0.391746
40  <pt<50 	4<chiso range<11 	16.8899	19.5447	6.5161	0.407422
40  <pt<50 	4<chiso range<12 	16.8899	19.7518	6.48001	0.441651
40  <pt<50 	4<chiso range<13 	16.8899	20.1174	6.43656	0.501432
40  <pt<50 	5<chiso range<10 	16.8899	19.4211	6.55527	0.386132
40  <pt<50 	5<chiso range<11 	16.8899	19.5344	6.51915	0.405651
40  <pt<50 	5<chiso range<12 	16.8899	19.7793	6.47634	0.446147
40  <pt<50 	5<chiso range<13 	16.8899	20.1984	6.42665	0.514809
40  <pt<50 	6<chiso range<11 	16.8899	19.6685	6.48152	0.428696
40  <pt<50 	6<chiso range<12 	16.8899	19.9396	6.4368	0.473791
40  <pt<50 	6<chiso range<13 	16.8899	20.3887	6.38339	0.54811
40  <pt<50 	7<chiso range<12 	16.8899	20.3125	6.37093	0.537221
