pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	129.48	86.2166	43.2231	90.0327	44.2313	0.429204	0.0711317
20 <pt<25 	3<chiso range<9 	129.48	86.2166	43.2231	85.8613	48.2886	0.0417884	0.362119
20 <pt<25 	3<chiso range<10 	129.48	86.2166	43.2231	83.8195	50.2985	0.288467	0.509282
20 <pt<25 	3<chiso range<11 	129.48	86.2166	43.2231	82.1713	52.0168	0.496859	0.638205
20 <pt<25 	3<chiso range<12 	129.48	86.2166	43.2231	80.6112	53.5008	0.700877	0.748929
20 <pt<25 	3<chiso range<13 	129.48	86.2166	43.2231	78.9911	55.0522	0.92089	0.865897
20 <pt<25 	4<chiso range<9 	129.48	86.2166	43.2231	86.0307	47.8798	0.0217517	0.330511
20 <pt<25 	4<chiso range<10 	129.48	86.2166	43.2231	83.5172	50.3985	0.325089	0.514229
20 <pt<25 	4<chiso range<11 	129.48	86.2166	43.2231	81.6066	52.4062	0.568728	0.664816
20 <pt<25 	4<chiso range<12 	129.48	86.2166	43.2231	79.8343	54.1142	0.803884	0.792576
20 <pt<25 	4<chiso range<13 	129.48	86.2166	43.2231	78.0282	55.869	1.05411	0.925382
20 <pt<25 	5<chiso range<10 	129.48	86.2166	43.2231	80.196	53.7527	0.754911	0.765105
20 <pt<25 	5<chiso range<11 	129.48	86.2166	43.2231	78.4161	55.6396	1.00153	0.911209
20 <pt<25 	5<chiso range<12 	129.48	86.2166	43.2231	76.7342	57.2422	1.24242	1.03325
20 <pt<25 	5<chiso range<13 	129.48	86.2166	43.2231	74.9819	58.9297	1.5046	1.16334
20 <pt<25 	6<chiso range<11 	129.48	86.2166	43.2231	74.8673	59.1648	1.5249	1.18519
20 <pt<25 	6<chiso range<12 	129.48	86.2166	43.2231	73.379	60.5637	1.75722	1.29334
20 <pt<25 	6<chiso range<13 	129.48	86.2166	43.2231	71.7441	62.1289	2.02364	1.41609
20 <pt<25 	7<chiso range<12 	129.48	86.2166	43.2231	70.1482	63.708	2.29693	1.54293
20 <pt<25 	7<chiso range<13 	129.48	86.2166	43.2231	68.6653	65.1267	2.56008	1.65589
20 <pt<25 	8<chiso range<13 	129.48	86.2166	43.2231	65.3334	68.4577	3.20047	1.93142
#######################################################################################
25 <pt<30 	3<chiso range<8 	70.902	43.5772	27.2984	37.1271	36.376	1.14448	0.901871
25 <pt<30 	3<chiso range<9 	70.902	43.5772	27.2984	36.2975	37.235	1.32158	0.994829
25 <pt<30 	3<chiso range<10 	70.902	43.5772	27.2984	36.1945	37.3814	1.34547	1.01219
25 <pt<30 	3<chiso range<11 	70.902	43.5772	27.2984	35.9965	37.588	1.3893	1.03487
25 <pt<30 	3<chiso range<12 	70.902	43.5772	27.2984	36.131	37.4531	1.35965	1.02023
25 <pt<30 	3<chiso range<13 	70.902	43.5772	27.2984	35.1884	38.3875	1.57171	1.12172
25 <pt<30 	4<chiso range<9 	70.902	43.5772	27.2984	36.273	37.27	1.32727	0.998996
25 <pt<30 	4<chiso range<10 	70.902	43.5772	27.2984	36.1515	37.4434	1.35553	1.01959
25 <pt<30 	4<chiso range<11 	70.902	43.5772	27.2984	35.923	37.6799	1.40623	1.04553
25 <pt<30 	4<chiso range<12 	70.902	43.5772	27.2984	36.0864	37.5143	1.37001	1.02747
