pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	173.025	87.4504	0.505421	0.529098	0.0522187	0.453428
20 <pt<25 	3<chiso range<9 	173.025	87.4504	0.505421	0.503975	0.0497855	0.0290366
20 <pt<25 	3<chiso range<10 	173.025	87.4504	0.505421	0.491676	0.0485948	0.282841
20 <pt<25 	3<chiso range<11 	173.025	87.4504	0.505421	0.481689	0.047583	0.498741
20 <pt<25 	3<chiso range<12 	173.025	87.4504	0.505421	0.472679	0.0467304	0.700649
20 <pt<25 	3<chiso range<13 	173.025	87.4504	0.505421	0.462609	0.0457722	0.935319
20 <pt<25 	4<chiso range<9 	173.025	87.4504	0.505421	0.504	0.0498928	0.0284731
20 <pt<25 	4<chiso range<10 	173.025	87.4504	0.505421	0.489037	0.0484235	0.33834
20 <pt<25 	4<chiso range<11 	173.025	87.4504	0.505421	0.477546	0.0472484	0.589959
20 <pt<25 	4<chiso range<12 	173.025	87.4504	0.505421	0.467418	0.0462798	0.821149
20 <pt<25 	4<chiso range<13 	173.025	87.4504	0.505421	0.456257	0.0452088	1.08748
20 <pt<25 	5<chiso range<10 	173.025	87.4504	0.505421	0.470448	0.0465721	0.750935
20 <pt<25 	5<chiso range<11 	173.025	87.4504	0.505421	0.459499	0.0454446	1.0105
20 <pt<25 	5<chiso range<12 	173.025	87.4504	0.505421	0.44987	0.0445322	1.24743
20 <pt<25 	5<chiso range<13 	173.025	87.4504	0.505421	0.438876	0.0434826	1.53037
20 <pt<25 	6<chiso range<11 	173.025	87.4504	0.505421	0.436606	0.0432162	1.59233
20 <pt<25 	6<chiso range<12 	173.025	87.4504	0.505421	0.428479	0.0424503	1.81251
20 <pt<25 	6<chiso range<13 	173.025	87.4504	0.505421	0.418291	0.0414781	2.10062
20 <pt<25 	7<chiso range<12 	173.025	87.4504	0.505421	0.409766	0.040622	2.35475
20 <pt<25 	7<chiso range<13 	173.025	87.4504	0.505421	0.400358	0.0397269	2.64462
20 <pt<25 	8<chiso range<13 	173.025	87.4504	0.505421	0.381577	0.0378709	3.27015
#######################################################################################
25 <pt<30 	3<chiso range<8 	96.5312	44.2344	0.458239	0.391304	0.0594273	1.12634
25 <pt<30 	3<chiso range<9 	96.5312	44.2344	0.458239	0.382193	0.0580148	1.31081
25 <pt<30 	3<chiso range<10 	96.5312	44.2344	0.458239	0.379943	0.0576231	1.35877
25 <pt<30 	3<chiso range<11 	96.5312	44.2344	0.458239	0.37785	0.0572937	1.40311
25 <pt<30 	3<chiso range<12 	96.5312	44.2344	0.458239	0.378927	0.0574481	1.38059
25 <pt<30 	3<chiso range<13 	96.5312	44.2344	0.458239	0.369256	0.0559961	1.5891
