pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	87.4504	94.6085	9.24688	0.77411
20 <pt<25 	3<chiso range<9 	87.4504	90.1162	8.81618	0.302376
20 <pt<25 	3<chiso range<10 	87.4504	87.9171	8.6054	0.0542334
20 <pt<25 	3<chiso range<11 	87.4504	86.1313	8.42616	0.156548
20 <pt<25 	3<chiso range<12 	87.4504	84.5203	8.27529	0.354078
20 <pt<25 	3<chiso range<13 	87.4504	82.7196	8.10574	0.583636
20 <pt<25 	4<chiso range<9 	87.4504	90.1207	8.83554	0.302223
20 <pt<25 	4<chiso range<10 	87.4504	87.4452	8.57539	0.000606386
20 <pt<25 	4<chiso range<11 	87.4504	85.3904	8.36715	0.246201
20 <pt<25 	4<chiso range<12 	87.4504	83.5796	8.19574	0.472294
20 <pt<25 	4<chiso range<13 	87.4504	81.5837	8.00619	0.732771
20 <pt<25 	5<chiso range<10 	87.4504	84.1213	8.24747	0.403651
20 <pt<25 	5<chiso range<11 	87.4504	82.1634	8.04766	0.656961
20 <pt<25 	5<chiso range<12 	87.4504	80.4418	7.88623	0.888714
20 <pt<25 	5<chiso range<13 	87.4504	78.4759	7.70049	1.16545
20 <pt<25 	6<chiso range<11 	87.4504	78.0699	7.65317	1.2257
20 <pt<25 	6<chiso range<12 	87.4504	76.6167	7.51767	1.4411
20 <pt<25 	6<chiso range<13 	87.4504	74.795	7.34563	1.72285
20 <pt<25 	7<chiso range<12 	87.4504	73.2707	7.19398	1.97105
20 <pt<25 	7<chiso range<13 	87.4504	71.5885	7.03559	2.25452
20 <pt<25 	8<chiso range<13 	87.4504	68.2302	6.70691	2.86573
#######################################################################################
25 <pt<30 	3<chiso range<8 	44.2344	38.8137	5.85277	0.926177
25 <pt<30 	3<chiso range<9 	44.2344	37.91	5.71361	1.1069
25 <pt<30 	3<chiso range<10 	44.2344	37.6868	5.67496	1.15377
25 <pt<30 	3<chiso range<11 	44.2344	37.4792	5.64251	1.1972
