pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	85.4109	83.9574	15.98	0.0909574
20  <pt<25 	3<chiso range<9 	85.4109	88.2839	15.7628	0.182265
20  <pt<25 	3<chiso range<10 	85.4109	90.4708	15.6564	0.323184
20  <pt<25 	3<chiso range<11 	85.4109	92.3195	15.5474	0.444357
20  <pt<25 	3<chiso range<12 	85.4109	93.8842	15.4837	0.54724
20  <pt<25 	3<chiso range<13 	85.4109	95.6388	15.4115	0.663654
20  <pt<25 	4<chiso range<9 	85.4109	88.1175	15.8199	0.171088
20  <pt<25 	4<chiso range<10 	85.4109	90.8067	15.68	0.34412
20  <pt<25 	4<chiso range<11 	85.4109	92.9431	15.5497	0.484395
20  <pt<25 	4<chiso range<12 	85.4109	94.7186	15.4734	0.601529
20  <pt<25 	4<chiso range<13 	85.4109	96.6776	15.3898	0.732089
20  <pt<25 	5<chiso range<10 	85.4109	94.1838	15.4974	0.566089
20  <pt<25 	5<chiso range<11 	85.4109	96.2341	15.372	0.704085
20  <pt<25 	5<chiso range<12 	85.4109	97.9025	15.3074	0.81605
20  <pt<25 	5<chiso range<13 	85.4109	99.8177	15.2316	0.945849
20  <pt<25 	6<chiso range<11 	85.4109	100.298	15.1881	0.980182
20  <pt<25 	6<chiso range<12 	85.4109	101.695	15.1395	1.0756
20  <pt<25 	6<chiso range<13 	85.4109	103.464	15.0735	1.19767
20  <pt<25 	7<chiso range<12 	85.4109	105.015	14.9956	1.30732
20  <pt<25 	7<chiso range<13 	85.4109	106.641	14.9395	1.42107
20  <pt<25 	8<chiso range<13 	85.4109	110.001	14.7927	1.66231
#######################################################################################
25  <pt<30 	3<chiso range<8 	52.2293	60.4037	11.4083	0.716531
25  <pt<30 	3<chiso range<9 	52.2293	61.3344	11.331	0.803557
25  <pt<30 	3<chiso range<10 	52.2293	61.5969	11.2999	0.828998
25  <pt<30 	3<chiso range<11 	52.2293	61.8162	11.2819	0.849759
25  <pt<30 	3<chiso range<12 	52.2293	61.7157	11.2873	0.840449
25  <pt<30 	3<chiso range<13 	52.2293	62.6686	11.2203	0.930394
25  <pt<30 	4<chiso range<9 	52.2293	61.3536	11.3202	0.806019
25  <pt<30 	4<chiso range<10 	52.2293	61.6809	11.2827	0.837707
25  <pt<30 	4<chiso range<11 	52.2293	61.9205	11.2644	0.860339
25  <pt<30 	4<chiso range<12 	52.2293	61.7941	11.2723	0.848522
25  <pt<30 	4<chiso range<13 	52.2293	62.8786	11.1974	0.951051
25  <pt<30 	5<chiso range<10 	52.2293	62.379	11.2064	0.905706
25  <pt<30 	5<chiso range<11 	52.2293	62.5666	11.1957	0.923328
25  <pt<30 	5<chiso range<12 	52.2293	62.344	11.2126	0.902083
25  <pt<30 	5<chiso range<13 	52.2293	63.5334	11.1356	1.01513
25  <pt<30 	6<chiso range<11 	52.2293	64.3284	11.1147	1.08857
25  <pt<30 	6<chiso range<12 	52.2293	63.753	11.1439	1.03408
25  <pt<30 	6<chiso range<13 	52.2293	65.0128	11.0653	1.15528
25  <pt<30 	7<chiso range<12 	52.2293	64.0074	11.1247	1.05873
25  <pt<30 	7<chiso range<13 	52.2293	65.4465	11.0343	1.19783
25  <pt<30 	8<chiso range<13 	52.2293	65.6269	10.9924	1.21881
#######################################################################################
30  <pt<40 	3<chiso range<8 	55.7313	55.3526	11.5324	0.0328379
30  <pt<40 	3<chiso range<9 	55.7313	57.065	11.3623	0.117379
30  <pt<40 	3<chiso range<10 	55.7313	58.1138	11.266	0.211477
30  <pt<40 	3<chiso range<11 	55.7313	58.6971	11.2003	0.264796
30  <pt<40 	3<chiso range<12 	55.7313	60.0883	11.0926	0.392784
30  <pt<40 	3<chiso range<13 	55.7313	60.2122	11.0825	0.404322
30  <pt<40 	4<chiso range<9 	55.7313	58.0379	11.2903	0.204299
30  <pt<40 	4<chiso range<10 	55.7313	59.133	11.1891	0.304019
30  <pt<40 	4<chiso range<11 	55.7313	59.6813	11.1256	0.355037
30  <pt<40 	4<chiso range<12 	55.7313	61.1678	11.0088	0.493832
30  <pt<40 	4<chiso range<13 	55.7313	61.2052	11.0053	0.497388
30  <pt<40 	5<chiso range<10 	55.7313	59.0304	11.1922	0.294768
30  <pt<40 	5<chiso range<11 	55.7313	59.695	11.1161	0.356573
30  <pt<40 	5<chiso range<12 	55.7313	61.4109	10.9848	0.517042
30  <pt<40 	5<chiso range<13 	55.7313	61.4272	10.9835	0.518587
30  <pt<40 	6<chiso range<11 	55.7313	61.0508	10.9805	0.48445
30  <pt<40 	6<chiso range<12 	55.7313	62.8916	10.8569	0.659516
30  <pt<40 	6<chiso range<13 	55.7313	62.7242	10.8722	0.643191
30  <pt<40 	7<chiso range<12 	55.7313	65.0815	10.6768	0.875749
30  <pt<40 	7<chiso range<13 	55.7313	64.5542	10.7196	0.823062
30  <pt<40 	8<chiso range<13 	55.7313	65.697	10.6314	0.937384
#######################################################################################
40  <pt<50 	3<chiso range<8 	27.4077	29.2817	7.48058	0.250515
40  <pt<50 	3<chiso range<9 	27.4077	29.5638	7.44173	0.289731
40  <pt<50 	3<chiso range<10 	27.4077	29.6021	7.43282	0.295231
40  <pt<50 	3<chiso range<11 	27.4077	29.7125	7.41014	0.311033
40  <pt<50 	3<chiso range<12 	27.4077	29.8805	7.37408	0.335337
40  <pt<50 	3<chiso range<13 	27.4077	30.2636	7.32319	0.38998
40  <pt<50 	4<chiso range<9 	27.4077	29.7751	7.40093	0.319879
40  <pt<50 	4<chiso range<10 	27.4077	29.7774	7.39675	0.32037
40  <pt<50 	4<chiso range<11 	27.4077	29.8698	7.37542	0.333825
40  <pt<50 	4<chiso range<12 	27.4077	30.0892	7.34172	0.365241
40  <pt<50 	4<chiso range<13 	27.4077	30.4877	7.28989	0.422503
40  <pt<50 	5<chiso range<10 	27.4077	29.7859	7.39895	0.321424
40  <pt<50 	5<chiso range<11 	27.4077	29.8939	7.37343	0.337184
40  <pt<50 	5<chiso range<12 	27.4077	30.1477	7.33429	0.373588
40  <pt<50 	5<chiso range<13 	27.4077	30.5979	7.27582	0.438466
40  <pt<50 	6<chiso range<11 	27.4077	30.1225	7.33006	0.370365
40  <pt<50 	6<chiso range<12 	27.4077	30.3874	7.29083	0.408691
40  <pt<50 	6<chiso range<13 	27.4077	30.8649	7.23197	0.478044
40  <pt<50 	7<chiso range<12 	27.4077	30.7987	7.2313	0.468934
40  <pt<50 	7<chiso range<13 	27.4077	31.2883	7.17365	0.540952
40  <pt<50 	8<chiso range<13 	27.4077	31.3543	7.16374	0.550913
#######################################################################################
50  <pt<65 	3<chiso range<8 	18.9244	20.2388	6.06676	0.216656
50  <pt<65 	3<chiso range<9 	18.9244	20.3852	6.03486	0.24206
50  <pt<65 	3<chiso range<10 	18.9244	20.3297	6.04418	0.232505
50  <pt<65 	3<chiso range<11 	18.9244	20.3892	6.04274	0.242407
50  <pt<65 	3<chiso range<12 	18.9244	20.4395	6.03315	0.251129
50  <pt<65 	3<chiso range<13 	18.9244	20.75	5.97316	0.305634
50  <pt<65 	4<chiso range<9 	18.9244	20.7235	5.9669	0.301513
50  <pt<65 	4<chiso range<10 	18.9244	20.6121	5.98696	0.281896
50  <pt<65 	4<chiso range<11 	18.9244	20.6379	5.99354	0.285891
50  <pt<65 	4<chiso range<12 	18.9244	20.6664	5.98841	0.290895
50  <pt<65 	4<chiso range<13 	18.9244	21.0286	5.92947	0.354872
50  <pt<65 	5<chiso range<10 	18.9244	20.4485	6.01325	0.253457
50  <pt<65 	5<chiso range<11 	18.9244	20.5047	6.01751	0.262617
50  <pt<65 	5<chiso range<12 	18.9244	20.5545	6.00851	0.271299
50  <pt<65 	5<chiso range<13 	18.9244	20.9716	5.93854	0.344731
50  <pt<65 	6<chiso range<11 	18.9244	20.8561	5.97164	0.323479
50  <pt<65 	6<chiso range<12 	18.9244	20.8611	5.96845	0.32449
50  <pt<65 	6<chiso range<13 	18.9244	21.2977	5.8955	0.402561
50  <pt<65 	7<chiso range<12 	18.9244	20.7651	5.97425	0.308106
50  <pt<65 	7<chiso range<13 	18.9244	21.2994	5.88501	0.403568
50  <pt<65 	8<chiso range<13 	18.9244	21.3856	5.87193	0.419147
#######################################################################################
65  <pt<100 	3<chiso range<8 	15.4797	16.2062	5.0058	0.145132
65  <pt<100 	3<chiso range<9 	15.4797	16.2786	4.99435	0.159961
65  <pt<100 	3<chiso range<10 	15.4797	16.0302	5.05437	0.108916
65  <pt<100 	3<chiso range<11 	15.4797	16.1784	5.0133	0.139369
65  <pt<100 	3<chiso range<12 	15.4797	15.896	5.08339	0.0818942
65  <pt<100 	3<chiso range<13 	15.4797	15.8765	5.08402	0.0780485
65  <pt<100 	4<chiso range<9 	15.4797	16.2492	5.01074	0.15357
65  <pt<100 	4<chiso range<10 	15.4797	15.9377	5.08692	0.0900348
65  <pt<100 	4<chiso range<11 	15.4797	16.1324	5.0313	0.129728
65  <pt<100 	4<chiso range<12 	15.4797	15.799	5.11501	0.0624241
65  <pt<100 	4<chiso range<13 	15.4797	15.7879	5.11214	0.0602879
65  <pt<100 	5<chiso range<10 	15.4797	15.9677	5.07362	0.0961838
65  <pt<100 	5<chiso range<11 	15.4797	16.1881	5.01198	0.141341
65  <pt<100 	5<chiso range<12 	15.4797	15.8034	5.10776	0.0633742
65  <pt<100 	5<chiso range<13 	15.4797	15.7921	5.10469	0.0611986
65  <pt<100 	6<chiso range<11 	15.4797	16.2402	4.99881	0.152136
65  <pt<100 	6<chiso range<12 	15.4797	15.7797	5.11334	0.0586701
65  <pt<100 	6<chiso range<13 	15.4797	15.7711	5.10862	0.0570408
65  <pt<100 	7<chiso range<12 	15.4797	15.6028	5.155	0.0238797
65  <pt<100 	7<chiso range<13 	15.4797	15.6306	5.13951	0.0293608
65  <pt<100 	8<chiso range<13 	15.4797	15.5222	5.16784	0.00822394
#######################################################################################
100  <pt<400 	3<chiso range<8 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	3<chiso range<9 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	3<chiso range<10 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	3<chiso range<11 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	3<chiso range<12 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	3<chiso range<13 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	4<chiso range<9 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	4<chiso range<10 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	4<chiso range<11 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	4<chiso range<12 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	4<chiso range<13 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	5<chiso range<10 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	5<chiso range<11 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	5<chiso range<12 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	5<chiso range<13 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	6<chiso range<11 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	6<chiso range<12 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	6<chiso range<13 	7.96417	4.85599	4.08617	0.760659
100  <pt<400 	7<chiso range<12 	7.96417	4.85599	4.08617	0.760659
