pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	173.025	87.4504	85.4109	94.6085	83.9574	0.77411	0.0909574
20 <pt<25 	3<chiso range<9 	173.025	87.4504	85.4109	90.1162	88.2839	0.302376	0.182265
20 <pt<25 	3<chiso range<10 	173.025	87.4504	85.4109	87.9171	90.4708	0.0542334	0.323184
20 <pt<25 	3<chiso range<11 	173.025	87.4504	85.4109	86.1313	92.3195	0.156548	0.444357
20 <pt<25 	3<chiso range<12 	173.025	87.4504	85.4109	84.5203	93.8842	0.354078	0.54724
20 <pt<25 	3<chiso range<13 	173.025	87.4504	85.4109	82.7196	95.6388	0.583636	0.663654
20 <pt<25 	4<chiso range<9 	173.025	87.4504	85.4109	90.1207	88.1175	0.302223	0.171088
20 <pt<25 	4<chiso range<10 	173.025	87.4504	85.4109	87.4452	90.8067	0.000606386	0.34412
20 <pt<25 	4<chiso range<11 	173.025	87.4504	85.4109	85.3904	92.9431	0.246201	0.484395
20 <pt<25 	4<chiso range<12 	173.025	87.4504	85.4109	83.5796	94.7186	0.472294	0.601529
20 <pt<25 	4<chiso range<13 	173.025	87.4504	85.4109	81.5837	96.6776	0.732771	0.732089
20 <pt<25 	5<chiso range<10 	173.025	87.4504	85.4109	84.1213	94.1838	0.403651	0.566089
20 <pt<25 	5<chiso range<11 	173.025	87.4504	85.4109	82.1634	96.2341	0.656961	0.704085
20 <pt<25 	5<chiso range<12 	173.025	87.4504	85.4109	80.4418	97.9025	0.888714	0.81605
20 <pt<25 	5<chiso range<13 	173.025	87.4504	85.4109	78.4759	99.8177	1.16545	0.945849
20 <pt<25 	6<chiso range<11 	173.025	87.4504	85.4109	78.0699	100.298	1.2257	0.980182
20 <pt<25 	6<chiso range<12 	173.025	87.4504	85.4109	76.6167	101.695	1.4411	1.0756
20 <pt<25 	6<chiso range<13 	173.025	87.4504	85.4109	74.795	103.464	1.72285	1.19767
20 <pt<25 	7<chiso range<12 	173.025	87.4504	85.4109	73.2707	105.015	1.97105	1.30732
20 <pt<25 	7<chiso range<13 	173.025	87.4504	85.4109	71.5885	106.641	2.25452	1.42107
20 <pt<25 	8<chiso range<13 	173.025	87.4504	85.4109	68.2302	110.001	2.86573	1.66231
#######################################################################################
25 <pt<30 	3<chiso range<8 	96.5312	44.2344	52.2293	38.8137	60.4037	0.926177	0.716531
25 <pt<30 	3<chiso range<9 	96.5312	44.2344	52.2293	37.91	61.3344	1.1069	0.803557
25 <pt<30 	3<chiso range<10 	96.5312	44.2344	52.2293	37.6868	61.5969	1.15377	0.828998
25 <pt<30 	3<chiso range<11 	96.5312	44.2344	52.2293	37.4792	61.8162	1.1972	0.849759
25 <pt<30 	3<chiso range<12 	96.5312	44.2344	52.2293	37.5861	61.7157	1.17509	0.840449
25 <pt<30 	3<chiso range<13 	96.5312	44.2344	52.2293	36.6268	62.6686	1.37951	0.930394
25 <pt<30 	4<chiso range<9 	96.5312	44.2344	52.2293	37.9206	61.3536	1.10553	0.806019
25 <pt<30 	4<chiso range<10 	96.5312	44.2344	52.2293	37.6448	61.6809	1.16355	0.837707
25 <pt<30 	4<chiso range<11 	96.5312	44.2344	52.2293	37.408	61.9205	1.21304	0.860339
25 <pt<30 	4<chiso range<12 	96.5312	44.2344	52.2293	37.5389	61.7941	1.18576	0.848522
25 <pt<30 	4<chiso range<13 	96.5312	44.2344	52.2293	36.4437	62.8786	1.42066	0.951051
25 <pt<30 	5<chiso range<10 	96.5312	44.2344	52.2293	37.0366	62.379	1.29431	0.905706
25 <pt<30 	5<chiso range<11 	96.5312	44.2344	52.2293	36.8395	62.5666	1.33656	0.923328
25 <pt<30 	5<chiso range<12 	96.5312	44.2344	52.2293	37.0585	62.344	1.28925	0.902083
25 <pt<30 	5<chiso range<13 	96.5312	44.2344	52.2293	35.8479	63.5334	1.55653	1.01513
25 <pt<30 	6<chiso range<11 	96.5312	44.2344	52.2293	35.015	64.3284	1.74813	1.08857
