pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	46.5856	63.531	7.96797	2.12669
25 <pt<30 	3<chiso range<9 	46.5856	64.872	8.15193	2.2432
25 <pt<30 	3<chiso range<10 	46.5856	63.3948	7.98603	2.10483
25 <pt<30 	3<chiso range<11 	46.5856	60.5674	7.67662	1.82135
25 <pt<30 	3<chiso range<12 	46.5856	59.4134	7.53643	1.70211
25 <pt<30 	3<chiso range<13 	46.5856	59.3048	7.53082	1.68895
25 <pt<30 	4<chiso range<9 	46.5856	67.8431	8.48858	2.50425
25 <pt<30 	4<chiso range<10 	46.5856	65.5265	8.22314	2.30337
25 <pt<30 	4<chiso range<11 	46.5856	61.945	7.83159	1.96121
25 <pt<30 	4<chiso range<12 	46.5856	60.4711	7.65438	1.81406
25 <pt<30 	4<chiso range<13 	46.5856	60.254	7.63755	1.78963
25 <pt<30 	5<chiso range<10 	46.5856	62.59	7.89035	2.02835
25 <pt<30 	5<chiso range<11 	46.5856	58.9205	7.48953	1.64695
25 <pt<30 	5<chiso range<12 	46.5856	57.6595	7.33357	1.51003
25 <pt<30 	5<chiso range<13 	46.5856	57.686	7.34582	1.51112
25 <pt<30 	6<chiso range<11 	46.5856	56.8639	7.26323	1.41511
25 <pt<30 	6<chiso range<12 	46.5856	55.7	7.11301	1.28137
25 <pt<30 	6<chiso range<13 	46.5856	55.9507	7.15292	1.30927
25 <pt<30 	7<chiso range<12 	46.5856	55.5212	7.11805	1.25534
25 <pt<30 	7<chiso range<13 	46.5856	55.8525	7.16694	1.29301
25 <pt<30 	8<chiso range<13 	46.5856	54.3338	7.01745	1.10413
#######################################################################################
30 <pt<35 	3<chiso range<8 	24.7859	27.4067	5.33411	0.491328
30 <pt<35 	3<chiso range<9 	24.7859	26.4067	5.15142	0.314632
30 <pt<35 	3<chiso range<10 	24.7859	25.3732	4.94404	0.118789
30 <pt<35 	3<chiso range<11 	24.7859	25.4111	4.95035	0.126294
30 <pt<35 	3<chiso range<12 	24.7859	24.8086	4.83782	0.0046922
30 <pt<35 	3<chiso range<13 	24.7859	24.2449	4.73157	0.114338
30 <pt<35 	4<chiso range<9 	24.7859	23.2085	4.54187	0.347302
30 <pt<35 	4<chiso range<10 	24.7859	22.5157	4.3972	0.516283
30 <pt<35 	4<chiso range<11 	24.7859	23.0475	4.49811	0.386473
30 <pt<35 	4<chiso range<12 	24.7859	22.5919	4.41341	0.497121
30 <pt<35 	4<chiso range<13 	24.7859	22.1434	4.32864	0.610469
30 <pt<35 	5<chiso range<10 	24.7859	23.4332	4.59566	0.294343
30 <pt<35 	5<chiso range<11 	24.7859	23.9093	4.68098	0.187268
30 <pt<35 	5<chiso range<12 	24.7859	23.2565	4.55633	0.335665
30 <pt<35 	5<chiso range<13 	24.7859	22.6605	4.44102	0.478584
30 <pt<35 	6<chiso range<11 	24.7859	22.91	4.46655	0.419989
30 <pt<35 	6<chiso range<12 	24.7859	22.3117	4.35651	0.567932
30 <pt<35 	6<chiso range<13 	24.7859	21.7751	4.25532	0.707538
30 <pt<35 	7<chiso range<12 	24.7859	21.2117	4.14445	0.862406
30 <pt<35 	7<chiso range<13 	24.7859	20.7224	4.05178	1.00289
30 <pt<35 	8<chiso range<13 	24.7859	20.6582	4.04358	1.0208
#######################################################################################
35 <pt<40 	3<chiso range<8 	11.9069	13.7999	3.31879	0.570389
35 <pt<40 	3<chiso range<9 	11.9069	12.8986	3.1097	0.318905
35 <pt<40 	3<chiso range<10 	11.9069	13.8289	3.32151	0.578652
