pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	39.5011	52.4148	7.64716	1.68869
25 <pt<30 	3<chiso range<9 	39.5011	54.0159	7.88589	1.8406
25 <pt<30 	3<chiso range<10 	39.5011	52.7631	7.73469	1.71461
25 <pt<30 	3<chiso range<11 	39.5011	49.389	7.28729	1.35687
25 <pt<30 	3<chiso range<12 	39.5011	48.4956	7.14842	1.25825
25 <pt<30 	3<chiso range<13 	39.5011	47.4602	7.01369	1.13479
25 <pt<30 	4<chiso range<9 	39.5011	55.14	8.0313	1.94724
25 <pt<30 	4<chiso range<10 	39.5011	53.4705	7.82921	1.78427
25 <pt<30 	4<chiso range<11 	39.5011	49.4767	7.29911	1.36669
25 <pt<30 	4<chiso range<12 	39.5011	48.4514	7.13984	1.25357
25 <pt<30 	4<chiso range<13 	39.5011	47.3003	6.99036	1.11571
25 <pt<30 	5<chiso range<10 	39.5011	50.765	7.47167	1.50755
25 <pt<30 	5<chiso range<11 	39.5011	46.7029	6.93255	1.03884
25 <pt<30 	5<chiso range<12 	39.5011	45.9477	6.80347	0.947546
25 <pt<30 	5<chiso range<13 	39.5011	44.9215	6.66941	0.812726
25 <pt<30 	6<chiso range<11 	39.5011	44.3444	6.58999	0.734948
25 <pt<30 	6<chiso range<12 	39.5011	43.8187	6.49047	0.665221
25 <pt<30 	6<chiso range<13 	39.5011	42.8964	6.37337	0.532732
25 <pt<30 	7<chiso range<12 	39.5011	45.0583	6.68017	0.831895
25 <pt<30 	7<chiso range<13 	39.5011	43.7791	6.51557	0.656581
25 <pt<30 	8<chiso range<13 	39.5011	42.0804	6.30435	0.40913
#######################################################################################
30 <pt<35 	3<chiso range<8 	19.4228	21.6497	5.09959	0.436682
30 <pt<35 	3<chiso range<9 	19.4228	21.0306	4.94441	0.325175
30 <pt<35 	3<chiso range<10 	19.4228	20.1291	4.73405	0.149196
30 <pt<35 	3<chiso range<11 	19.4228	20.6005	4.83384	0.243637
30 <pt<35 	3<chiso range<12 	19.4228	19.6641	4.60873	0.0523572
30 <pt<35 	3<chiso range<13 	19.4228	19.388	4.54781	0.00765203
30 <pt<35 	4<chiso range<9 	19.4228	18.4591	4.35044	0.221518
30 <pt<35 	4<chiso range<10 	19.4228	17.7992	4.19381	0.387142
30 <pt<35 	4<chiso range<11 	19.4228	18.6651	4.38526	0.172783
30 <pt<35 	4<chiso range<12 	19.4228	17.8618	4.18915	0.372629
30 <pt<35 	4<chiso range<13 	19.4228	17.6804	4.14965	0.419891
30 <pt<35 	5<chiso range<10 	19.4228	18.1363	4.30438	0.298882
30 <pt<35 	5<chiso range<11 	19.4228	19.2025	4.53237	0.0486059
30 <pt<35 	5<chiso range<12 	19.4228	18.1258	4.26441	0.304145
30 <pt<35 	5<chiso range<13 	19.4228	17.8764	4.20804	0.367487
30 <pt<35 	6<chiso range<11 	19.4228	17.6554	4.12493	0.428468
