pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	3<chiso range<9 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	3<chiso range<10 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	3<chiso range<11 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	3<chiso range<12 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	3<chiso range<13 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	4<chiso range<9 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	4<chiso range<10 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	4<chiso range<11 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	4<chiso range<12 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	4<chiso range<13 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	5<chiso range<10 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	5<chiso range<11 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	5<chiso range<12 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	5<chiso range<13 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	6<chiso range<11 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	6<chiso range<12 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	6<chiso range<13 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	7<chiso range<12 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	7<chiso range<13 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
25 <pt<30 	8<chiso range<13 	18.5631	4.97663	0.268093	6.95331e-310	6.95331e-310	inf
#######################################################################################
30 <pt<35 	3<chiso range<8 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	3<chiso range<9 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	3<chiso range<10 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	3<chiso range<11 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	3<chiso range<12 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	3<chiso range<13 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	4<chiso range<9 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	4<chiso range<10 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	4<chiso range<11 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	4<chiso range<12 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	4<chiso range<13 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	5<chiso range<10 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	5<chiso range<11 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	5<chiso range<12 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	5<chiso range<13 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	6<chiso range<11 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	6<chiso range<12 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	6<chiso range<13 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	7<chiso range<12 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	7<chiso range<13 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
30 <pt<35 	8<chiso range<13 	10.7597	2.66969	0.248119	6.95331e-310	6.95331e-310	inf
#######################################################################################
35 <pt<40 	3<chiso range<8 	7.8608	1.70353	0.216712	6.95331e-310	6.95331e-310	inf
35 <pt<40 	3<chiso range<9 	7.8608	1.70353	0.216712	6.95331e-310	6.95331e-310	inf
35 <pt<40 	3<chiso range<10 	7.8608	1.70353	0.216712	6.95331e-310	6.95331e-310	inf
35 <pt<40 	3<chiso range<11 	7.8608	1.70353	0.216712	6.95331e-310	6.95331e-310	inf
35 <pt<40 	3<chiso range<12 	7.8608	1.70353	0.216712	6.95331e-310	6.95331e-310	inf
