pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	4.97663	1.9202	3.10386	0.984719
25 <pt<30 	3<chiso range<9 	4.97663	1.7599	2.84475	1.13076
25 <pt<30 	3<chiso range<10 	4.97663	2.20571	3.56538	0.777174
25 <pt<30 	3<chiso range<11 	4.97663	2.18293	3.52854	0.791744
25 <pt<30 	3<chiso range<12 	4.97663	2.01433	3.25602	0.909792
25 <pt<30 	3<chiso range<13 	4.97663	2.0874	3.37412	0.856291
25 <pt<30 	4<chiso range<9 	4.97663	1.60453	2.59361	1.30016
25 <pt<30 	4<chiso range<10 	4.97663	2.1075	3.40662	0.842222
25 <pt<30 	4<chiso range<11 	4.97663	2.09228	3.38202	0.852848
25 <pt<30 	4<chiso range<12 	4.97663	1.91843	3.101	0.986198
25 <pt<30 	4<chiso range<13 	4.97663	2.00468	3.24042	0.91715
25 <pt<30 	5<chiso range<10 	4.97663	1.87743	3.03473	1.02124
25 <pt<30 	5<chiso range<11 	4.97663	1.88517	3.04725	1.01451
25 <pt<30 	5<chiso range<12 	4.97663	1.71394	2.77045	1.17768
25 <pt<30 	5<chiso range<13 	4.97663	1.82379	2.94803	1.06947
25 <pt<30 	6<chiso range<11 	4.97663	2.04904	3.31212	0.883902
25 <pt<30 	6<chiso range<12 	4.97663	1.80973	2.9253	1.08259
25 <pt<30 	6<chiso range<13 	4.97663	1.93645	3.13014	0.97126
25 <pt<30 	7<chiso range<12 	4.97663	2.11975	3.42642	0.83378
25 <pt<30 	7<chiso range<13 	4.97663	2.22494	3.59645	0.765113
25 <pt<30 	8<chiso range<13 	4.97663	2.35171	3.80137	0.690519
#######################################################################################
30 <pt<35 	3<chiso range<8 	2.66969	2.60392	1.90835	0.0344643
30 <pt<35 	3<chiso range<9 	2.66969	2.96811	2.04452	0.145961
30 <pt<35 	3<chiso range<10 	2.66969	3.6273	2.39377	0.400043
30 <pt<35 	3<chiso range<11 	2.66969	3.80701	2.50019	0.454893
30 <pt<35 	3<chiso range<12 	2.66969	3.12776	2.08023	0.220202
30 <pt<35 	3<chiso range<13 	2.66969	3.08502	2.08447	0.19925
30 <pt<35 	4<chiso range<9 	2.66969	2.97043	2.02639	0.148412
30 <pt<35 	4<chiso range<10 	2.66969	3.6864	2.40911	0.422027
30 <pt<35 	4<chiso range<11 	2.66969	3.89744	2.53137	0.485014
30 <pt<35 	4<chiso range<12 	2.66969	3.13011	2.07133	0.222282
30 <pt<35 	4<chiso range<13 	2.66969	3.09018	2.07562	0.202585
30 <pt<35 	5<chiso range<10 	2.66969	3.72187	2.49955	0.420948
30 <pt<35 	5<chiso range<11 	2.66969	4.28077	2.67839	0.601511
30 <pt<35 	5<chiso range<12 	2.66969	3.15584	2.05708	0.23633
30 <pt<35 	5<chiso range<13 	2.66969	3.1206	2.05774	0.219129
30 <pt<35 	6<chiso range<11 	2.66969	3.15387	2.20212	0.21987
30 <pt<35 	6<chiso range<12 	2.66969	2.59466	1.71623	0.0437179
30 <pt<35 	6<chiso range<13 	2.66969	2.65554	1.76862	0.00800059
30 <pt<35 	7<chiso range<12 	2.66969	2.93182	1.92255	0.136345
30 <pt<35 	7<chiso range<13 	2.66969	2.96389	1.95379	0.150579
30 <pt<35 	8<chiso range<13 	2.66969	3.54205	2.28865	0.381168
#######################################################################################
35 <pt<40 	3<chiso range<8 	1.70353	2.24344	1.78903	0.301789
35 <pt<40 	3<chiso range<9 	1.70353	2.00176	1.56285	0.190824
35 <pt<40 	3<chiso range<10 	1.70353	1.59828	1.26165	0.0834225
35 <pt<40 	3<chiso range<11 	1.70353	1.14576	1.85203	0.301167
35 <pt<40 	3<chiso range<12 	1.70353	1.11566	1.80338	0.325982
35 <pt<40 	3<chiso range<13 	1.70353	1.05911	1.71198	0.376418
35 <pt<40 	4<chiso range<9 	1.70353	1.60282	1.26623	0.0795353
35 <pt<40 	4<chiso range<10 	1.70353	1.25124	0.996545	0.453858
35 <pt<40 	4<chiso range<11 	1.70353	1.47404	1.16158	0.197567
35 <pt<40 	4<chiso range<12 	1.70353	1.43766	1.13126	0.235021
35 <pt<40 	4<chiso range<13 	1.70353	1.26601	1.00412	0.435725
35 <pt<40 	5<chiso range<10 	1.70353	1.55966	1.21892	0.118031
35 <pt<40 	5<chiso range<11 	1.70353	1.19751	1.93569	0.261416
35 <pt<40 	5<chiso range<12 	1.70353	1.14691	1.8539	0.300243
35 <pt<40 	5<chiso range<13 	1.70353	1.06689	1.72456	0.369161
35 <pt<40 	6<chiso range<11 	1.70353	1.06351	1.71908	0.372304
35 <pt<40 	6<chiso range<12 	1.70353	1.03141	1.66719	0.403145
35 <pt<40 	6<chiso range<13 	1.70353	0.94316	1.52455	0.49875
35 <pt<40 	7<chiso range<12 	1.70353	0.684898	1.10709	0.920099
35 <pt<40 	7<chiso range<13 	1.70353	0.534719	0.864335	1.35227
35 <pt<40 	8<chiso range<13 	1.70353	0.280261	0.453022	3.14172
#######################################################################################
40 <pt<50 	3<chiso range<8 	2.00227	1.00916	1.25711	0.789995
40 <pt<50 	3<chiso range<9 	2.00227	1.22839	1.51374	0.511237
40 <pt<50 	3<chiso range<10 	2.00227	1.0535	1.30899	0.724811
40 <pt<50 	3<chiso range<11 	2.00227	1.17729	1.44698	0.570139
40 <pt<50 	3<chiso range<12 	2.00227	1.10061	1.37122	0.65756
40 <pt<50 	3<chiso range<13 	2.00227	1.27366	1.57458	0.462733
40 <pt<50 	4<chiso range<9 	2.00227	1.30405	1.60612	0.434725
40 <pt<50 	4<chiso range<10 	2.00227	1.08509	1.34951	0.679639
40 <pt<50 	4<chiso range<11 	2.00227	1.22025	1.49817	0.521983
40 <pt<50 	4<chiso range<12 	2.00227	1.12905	1.40897	0.619758
40 <pt<50 	4<chiso range<13 	2.00227	1.32845	1.6443	0.409791
40 <pt<50 	5<chiso range<10 	2.00227	0.706084	0.895994	1.44665
40 <pt<50 	5<chiso range<11 	2.00227	0.986712	1.2296	0.825926
40 <pt<50 	5<chiso range<12 	2.00227	0.894052	1.13471	0.976653
40 <pt<50 	5<chiso range<13 	2.00227	1.13066	1.42859	0.610119
40 <pt<50 	6<chiso range<11 	2.00227	1.24871	1.55237	0.485426
40 <pt<50 	6<chiso range<12 	2.00227	1.05505	1.36697	0.692934
40 <pt<50 	6<chiso range<13 	2.00227	1.37165	1.8649	0.338152
40 <pt<50 	7<chiso range<12 	2.00227	1.22045	1.52996	0.511007
40 <pt<50 	7<chiso range<13 	2.00227	1.67171	2.24096	0.147508
40 <pt<50 	8<chiso range<13 	2.00227	1.69833	2.28395	0.133076
#######################################################################################
50 <pt<65 	3<chiso range<8 	0.199162	1.18953	1.92279	0.515068
50 <pt<65 	3<chiso range<9 	0.199162	1.07031	1.73007	0.503533
50 <pt<65 	3<chiso range<10 	0.199162	0.972826	1.5725	0.491996
50 <pt<65 	3<chiso range<11 	0.199162	0.548939	0.708276	0.493843
50 <pt<65 	3<chiso range<12 	0.199162	0.726649	0.928647	0.568017
50 <pt<65 	3<chiso range<13 	0.199162	0.657148	0.849218	0.539303
50 <pt<65 	4<chiso range<9 	0.199162	1.23281	1.99275	0.518704
50 <pt<65 	4<chiso range<10 	0.199162	1.11215	1.79771	0.507862
50 <pt<65 	4<chiso range<11 	0.199162	0.724304	0.914915	0.573979
50 <pt<65 	4<chiso range<12 	0.199162	0.913467	1.144	0.624392
50 <pt<65 	4<chiso range<13 	0.199162	0.754386	0.9652	0.575242
50 <pt<65 	5<chiso range<10 	0.199162	0.585827	0.946947	0.408328
50 <pt<65 	5<chiso range<11 	0.199162	0.072403	0.0984091	1.28808
50 <pt<65 	5<chiso range<12 	0.199162	0.271239	0.364452	0.197768
50 <pt<65 	5<chiso range<13 	0.199162	0.360801	0.481466	0.335723
50 <pt<65 	6<chiso range<11 	0.199162	0.0930491	0.125675	0.844344
50 <pt<65 	6<chiso range<12 	0.199162	0.0680918	0.0926849	1.41415
50 <pt<65 	6<chiso range<13 	0.199162	0.243191	0.327593	0.134402
50 <pt<65 	7<chiso range<12 	0.199162	0.112726	0.15263	0.566311
50 <pt<65 	7<chiso range<13 	0.199162	0.257177	0.3462	0.167577
50 <pt<65 	8<chiso range<13 	0.199162	0.0669841	0.0916496	1.44221
#######################################################################################
65 <pt<100 	3<chiso range<8 	0.392395	0.443202	0.708306	0.0717303
65 <pt<100 	3<chiso range<9 	0.392395	1.17713e-05	2.15755	0.181865
65 <pt<100 	3<chiso range<10 	0.392395	4.42647e-05	2.24798	0.174535
65 <pt<100 	3<chiso range<11 	0.392395	1.47673e-05	2.29976	0.170618
65 <pt<100 	3<chiso range<12 	0.392395	7.77892e-06	2.12962	0.184252
65 <pt<100 	3<chiso range<13 	0.392395	0.74882	1.06266	0.335408
65 <pt<100 	4<chiso range<9 	0.392395	2.83775e-05	0.744689	0.526887
65 <pt<100 	4<chiso range<10 	0.392395	8.48207e-06	2.14536	0.1829
65 <pt<100 	4<chiso range<11 	0.392395	2.58957e-05	2.22889	0.176038
65 <pt<100 	4<chiso range<12 	0.392395	9.94532e-06	2.02859	0.193427
65 <pt<100 	4<chiso range<13 	0.392395	0.669129	0.949677	0.291398
65 <pt<100 	5<chiso range<10 	0.392395	8.35763e-05	2.31953	0.169134
65 <pt<100 	5<chiso range<11 	0.392395	2.21993e-05	2.36343	0.166018
65 <pt<100 	5<chiso range<12 	0.392395	9.62459e-06	2.1554	0.182048
65 <pt<100 	5<chiso range<13 	0.392395	0.830243	1.22027	0.358812
65 <pt<100 	6<chiso range<11 	0.392395	0.000131301	3.50766	0.111831
65 <pt<100 	6<chiso range<12 	0.392395	6.61055e-05	2.95251	0.13288
65 <pt<100 	6<chiso range<13 	0.392395	0.000149619	3.50456	0.111924
65 <pt<100 	7<chiso range<12 	0.392395	2.91065e-05	2.71727	0.144397
65 <pt<100 	7<chiso range<13 	0.392395	0.000149489	3.31251	0.118413
65 <pt<100 	8<chiso range<13 	0.392395	1.3767	2.61037	0.377075
#######################################################################################
100 <pt<400 	3<chiso range<8 	0.0118576	0.168641	0.442415	0.354381
100 <pt<400 	3<chiso range<9 	0.0118576	0.175156	0.98483	0.165814
