pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
25  <pt<30 	3<chiso range<8 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	3<chiso range<9 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	3<chiso range<10 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	3<chiso range<11 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	3<chiso range<12 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	3<chiso range<13 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	4<chiso range<9 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	4<chiso range<10 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	4<chiso range<11 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	4<chiso range<12 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	4<chiso range<13 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	5<chiso range<10 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	5<chiso range<11 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	5<chiso range<12 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	5<chiso range<13 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	6<chiso range<11 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	6<chiso range<12 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	6<chiso range<13 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	7<chiso range<12 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	7<chiso range<13 	13.9149	9.08868	7.64786	0.631055
25  <pt<30 	8<chiso range<13 	13.9149	9.08868	7.64786	0.631055
#######################################################################################
30  <pt<35 	3<chiso range<8 	8.86951	6.26479	3.43567	0.75814
30  <pt<35 	3<chiso range<9 	8.86951	5.80508	3.46093	0.885435
30  <pt<35 	3<chiso range<10 	8.86951	5.14236	3.62237	1.02893
30  <pt<35 	3<chiso range<11 	8.86951	5.00521	3.66857	1.05335
30  <pt<35 	3<chiso range<12 	8.86951	5.60962	3.42865	0.950779
30  <pt<35 	3<chiso range<13 	8.86951	5.64203	3.46486	0.931489
30  <pt<35 	4<chiso range<9 	8.86951	5.76103	3.44954	0.901129
30  <pt<35 	4<chiso range<10 	8.86951	5.04234	3.63234	1.05364
30  <pt<35 	4<chiso range<11 	8.86951	4.89545	3.68931	1.07718
30  <pt<35 	4<chiso range<12 	8.86951	5.58291	3.42481	0.959644
30  <pt<35 	4<chiso range<13 	8.86951	5.61148	3.46031	0.941543
30  <pt<35 	5<chiso range<10 	8.86951	5.01238	3.75258	1.02786
30  <pt<35 	5<chiso range<11 	8.86951	4.39897	3.79034	1.17946
30  <pt<35 	5<chiso range<12 	8.86951	5.47482	3.42486	0.991191
30  <pt<35 	5<chiso range<13 	8.86951	5.49723	3.45332	0.976533
30  <pt<35 	6<chiso range<11 	8.86951	5.84033	3.48864	0.868298
30  <pt<35 	6<chiso range<12 	8.86951	6.10357	3.21327	0.860787
30  <pt<35 	6<chiso range<13 	8.86951	6.00542	3.27091	0.875625
