pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
25 <pt<30 	3<chiso range<8 	18.5631	4.97663	13.9149	1.9202	9.08868	0.984719	0.631055
25 <pt<30 	3<chiso range<9 	18.5631	4.97663	13.9149	1.7599	9.08868	1.13076	0.631055
25 <pt<30 	3<chiso range<10 	18.5631	4.97663	13.9149	2.20571	9.08868	0.777174	0.631055
25 <pt<30 	3<chiso range<11 	18.5631	4.97663	13.9149	2.18293	9.08868	0.791744	0.631055
25 <pt<30 	3<chiso range<12 	18.5631	4.97663	13.9149	2.01433	9.08868	0.909792	0.631055
25 <pt<30 	3<chiso range<13 	18.5631	4.97663	13.9149	2.0874	9.08868	0.856291	0.631055
25 <pt<30 	4<chiso range<9 	18.5631	4.97663	13.9149	1.60453	9.08868	1.30016	0.631055
25 <pt<30 	4<chiso range<10 	18.5631	4.97663	13.9149	2.1075	9.08868	0.842222	0.631055
25 <pt<30 	4<chiso range<11 	18.5631	4.97663	13.9149	2.09228	9.08868	0.852848	0.631055
25 <pt<30 	4<chiso range<12 	18.5631	4.97663	13.9149	1.91843	9.08868	0.986198	0.631055
25 <pt<30 	4<chiso range<13 	18.5631	4.97663	13.9149	2.00468	9.08868	0.91715	0.631055
25 <pt<30 	5<chiso range<10 	18.5631	4.97663	13.9149	1.87743	9.08868	1.02124	0.631055
25 <pt<30 	5<chiso range<11 	18.5631	4.97663	13.9149	1.88517	9.08868	1.01451	0.631055
25 <pt<30 	5<chiso range<12 	18.5631	4.97663	13.9149	1.71394	9.08868	1.17768	0.631055
25 <pt<30 	5<chiso range<13 	18.5631	4.97663	13.9149	1.82379	9.08868	1.06947	0.631055
25 <pt<30 	6<chiso range<11 	18.5631	4.97663	13.9149	2.04904	9.08868	0.883902	0.631055
25 <pt<30 	6<chiso range<12 	18.5631	4.97663	13.9149	1.80973	9.08868	1.08259	0.631055
25 <pt<30 	6<chiso range<13 	18.5631	4.97663	13.9149	1.93645	9.08868	0.97126	0.631055
25 <pt<30 	7<chiso range<12 	18.5631	4.97663	13.9149	2.11975	9.08868	0.83378	0.631055
25 <pt<30 	7<chiso range<13 	18.5631	4.97663	13.9149	2.22494	9.08868	0.765113	0.631055
25 <pt<30 	8<chiso range<13 	18.5631	4.97663	13.9149	2.35171	9.08868	0.690519	0.631055
#######################################################################################
30 <pt<35 	3<chiso range<8 	10.7597	2.66969	8.86951	2.60392	6.26479	0.0344643	0.75814
30 <pt<35 	3<chiso range<9 	10.7597	2.66969	8.86951	2.96811	5.80508	0.145961	0.885435
30 <pt<35 	3<chiso range<10 	10.7597	2.66969	8.86951	3.6273	5.14236	0.400043	1.02893
30 <pt<35 	3<chiso range<11 	10.7597	2.66969	8.86951	3.80701	5.00521	0.454893	1.05335
30 <pt<35 	3<chiso range<12 	10.7597	2.66969	8.86951	3.12776	5.60962	0.220202	0.950779
30 <pt<35 	3<chiso range<13 	10.7597	2.66969	8.86951	3.08502	5.64203	0.19925	0.931489
30 <pt<35 	4<chiso range<9 	10.7597	2.66969	8.86951	2.97043	5.76103	0.148412	0.901129
30 <pt<35 	4<chiso range<10 	10.7597	2.66969	8.86951	3.6864	5.04234	0.422027	1.05364
30 <pt<35 	4<chiso range<11 	10.7597	2.66969	8.86951	3.89744	4.89545	0.485014	1.07718
30 <pt<35 	4<chiso range<12 	10.7597	2.66969	8.86951	3.13011	5.58291	0.222282	0.959644
30 <pt<35 	4<chiso range<13 	10.7597	2.66969	8.86951	3.09018	5.61148	0.202585	0.941543
30 <pt<35 	5<chiso range<10 	10.7597	2.66969	8.86951	3.72187	5.01238	0.420948	1.02786
30 <pt<35 	5<chiso range<11 	10.7597	2.66969	8.86951	4.28077	4.39897	0.601511	1.17946
30 <pt<35 	5<chiso range<12 	10.7597	2.66969	8.86951	3.15584	5.47482	0.23633	0.991191
30 <pt<35 	5<chiso range<13 	10.7597	2.66969	8.86951	3.1206	5.49723	0.219129	0.976533
30 <pt<35 	6<chiso range<11 	10.7597	2.66969	8.86951	3.15387	5.84033	0.21987	0.868298
30 <pt<35 	6<chiso range<12 	10.7597	2.66969	8.86951	2.59466	6.10357	0.0437179	0.860787
30 <pt<35 	6<chiso range<13 	10.7597	2.66969	8.86951	2.65554	6.00542	0.00800059	0.875625
30 <pt<35 	7<chiso range<12 	10.7597	2.66969	8.86951	2.93182	5.76778	0.136345	0.9335
30 <pt<35 	7<chiso range<13 	10.7597	2.66969	8.86951	2.96389	5.68135	0.150579	0.944783
30 <pt<35 	8<chiso range<13 	10.7597	2.66969	8.86951	3.54205	5.12949	0.381168	1.05354
#######################################################################################
35 <pt<40 	3<chiso range<8 	7.8608	1.70353	6.84779	2.24344	4.18507	0.301789	0.909442
35 <pt<40 	3<chiso range<9 	7.8608	1.70353	6.84779	2.00176	4.37198	0.190824	0.892773
35 <pt<40 	3<chiso range<10 	7.8608	1.70353	6.84779	1.59828	4.78647	0.0834225	0.791042
35 <pt<40 	3<chiso range<11 	7.8608	1.70353	6.84779	1.14576	3.89006	0.301167	0.903573
35 <pt<40 	3<chiso range<12 	7.8608	1.70353	6.84779	1.11566	3.89006	0.325982	0.903573
35 <pt<40 	3<chiso range<13 	7.8608	1.70353	6.84779	1.05911	3.89006	0.376418	0.903573
35 <pt<40 	4<chiso range<9 	7.8608	1.70353	6.84779	1.60282	4.77124	0.0795353	0.794408
35 <pt<40 	4<chiso range<10 	7.8608	1.70353	6.84779	1.25124	5.14865	0.453858	0.683442
35 <pt<40 	4<chiso range<11 	7.8608	1.70353	6.84779	1.47404	4.9388	0.197567	0.749997
35 <pt<40 	4<chiso range<12 	7.8608	1.70353	6.84779	1.43766	4.95028	0.235021	0.747513
35 <pt<40 	4<chiso range<13 	7.8608	1.70353	6.84779	1.26601	5.12622	0.435725	0.692066
35 <pt<40 	5<chiso range<10 	7.8608	1.70353	6.84779	1.55966	4.92226	0.118031	0.758982
35 <pt<40 	5<chiso range<11 	7.8608	1.70353	6.84779	1.19751	3.89006	0.261416	0.903573
35 <pt<40 	5<chiso range<12 	7.8608	1.70353	6.84779	1.14691	3.89006	0.300243	0.903573
35 <pt<40 	5<chiso range<13 	7.8608	1.70353	6.84779	1.06689	3.89006	0.369161	0.903573
35 <pt<40 	6<chiso range<11 	7.8608	1.70353	6.84779	1.06351	3.89006	0.372304	0.903573
35 <pt<40 	6<chiso range<12 	7.8608	1.70353	6.84779	1.03141	3.89006	0.403145	0.903573
35 <pt<40 	6<chiso range<13 	7.8608	1.70353	6.84779	0.94316	3.89006	0.49875	0.903573
35 <pt<40 	7<chiso range<12 	7.8608	1.70353	6.84779	0.684898	3.89006	0.920099	0.903573
35 <pt<40 	7<chiso range<13 	7.8608	1.70353	6.84779	0.534719	3.89006	1.35227	0.903573
35 <pt<40 	8<chiso range<13 	7.8608	1.70353	6.84779	0.280261	3.89006	3.14172	0.903573
#######################################################################################
40 <pt<50 	3<chiso range<8 	8.4561	2.00227	8.37742	1.00916	6.94036	0.789995	0.540488
40 <pt<50 	3<chiso range<9 	8.4561	2.00227	8.37742	1.22839	6.7282	0.511237	0.597678
40 <pt<50 	3<chiso range<10 	8.4561	2.00227	8.37742	1.0535	6.89742	0.724811	0.552833
40 <pt<50 	3<chiso range<11 	8.4561	2.00227	8.37742	1.17729	6.77529	0.570139	0.588035
40 <pt<50 	3<chiso range<12 	8.4561	2.00227	8.37742	1.10061	6.86756	0.65756	0.559722
40 <pt<50 	3<chiso range<13 	8.4561	2.00227	8.37742	1.27366	6.70288	0.462733	0.603042
40 <pt<50 	4<chiso range<9 	8.4561	2.00227	8.37742	1.30405	6.66457	0.434725	0.61175
40 <pt<50 	4<chiso range<10 	8.4561	2.00227	8.37742	1.08509	6.87487	0.679639	0.557561
40 <pt<50 	4<chiso range<11 	8.4561	2.00227	8.37742	1.22025	6.74007	0.521983	0.596417
40 <pt<50 	4<chiso range<12 	8.4561	2.00227	8.37742	1.12905	6.84839	0.619758	0.56359
40 <pt<50 	4<chiso range<13 	8.4561	2.00227	8.37742	1.32845	6.66076	0.409791	0.611797
40 <pt<50 	5<chiso range<10 	8.4561	2.00227	8.37742	0.706084	7.17208	1.44665	0.482339
40 <pt<50 	5<chiso range<11 	8.4561	2.00227	8.37742	0.986712	6.9374	0.825926	0.549247
40 <pt<50 	5<chiso range<12 	8.4561	2.00227	8.37742	0.894052	7.05651	0.976653	0.509691
40 <pt<50 	5<chiso range<13 	8.4561	2.00227	8.37742	1.13066	6.85396	0.610119	0.563814
40 <pt<50 	6<chiso range<11 	8.4561	2.00227	8.37742	1.24871	6.76381	0.485426	0.58593
40 <pt<50 	6<chiso range<12 	8.4561	2.00227	8.37742	1.05505	6.91778	0.692934	0.546412
40 <pt<50 	6<chiso range<13 	8.4561	2.00227	8.37742	1.37165	6.72037	0.338152	0.575738
40 <pt<50 	7<chiso range<12 	8.4561	2.00227	8.37742	1.22045	6.78837	0.511007	0.580729
40 <pt<50 	7<chiso range<13 	8.4561	2.00227	8.37742	1.67171	6.5063	0.147508	0.29762
40 <pt<50 	8<chiso range<13 	8.4561	2.00227	8.37742	1.69833	6.49079	0.133076	0.299567
#######################################################################################
50 <pt<65 	3<chiso range<8 	5.20297	0.199162	6.74107	1.18953	2.58262	0.515068	1.91351
50 <pt<65 	3<chiso range<9 	5.20297	0.199162	6.74107	1.07031	2.58262	0.503533	1.91351
50 <pt<65 	3<chiso range<10 	5.20297	0.199162	6.74107	0.972826	2.58262	0.491996	1.91351
50 <pt<65 	3<chiso range<11 	5.20297	0.199162	6.74107	0.548939	4.13663	0.493843	0.66365
50 <pt<65 	3<chiso range<12 	5.20297	0.199162	6.74107	0.726649	3.95372	0.568017	0.710162
