pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
25 <pt<30 	3<chiso range<8 	40.1555	36.5675	6.3108	0.568549
25 <pt<30 	3<chiso range<9 	40.1555	33.707	5.82769	1.10653
25 <pt<30 	3<chiso range<10 	40.1555	33.6037	5.82343	1.12508
25 <pt<30 	3<chiso range<11 	40.1555	32.138	5.56419	1.44091
25 <pt<30 	3<chiso range<12 	40.1555	32.2982	5.5968	1.40389
25 <pt<30 	3<chiso range<13 	40.1555	30.7788	5.34316	1.7549
25 <pt<30 	4<chiso range<9 	40.1555	35.9004	6.18241	0.688259
25 <pt<30 	4<chiso range<10 	40.1555	35.4172	6.1212	0.77408
25 <pt<30 	4<chiso range<11 	40.1555	33.3936	5.76852	1.17221
25 <pt<30 	4<chiso range<12 	40.1555	33.4234	5.78105	1.16451
25 <pt<30 	4<chiso range<13 	40.1555	31.5276	5.4665	1.57832
25 <pt<30 	5<chiso range<10 	40.1555	32.7856	5.67196	1.29936
25 <pt<30 	5<chiso range<11 	40.1555	30.8691	5.3366	1.74013
25 <pt<30 	5<chiso range<12 	40.1555	31.2718	5.41335	1.64107
25 <pt<30 	5<chiso range<13 	40.1555	29.4084	5.10416	2.10556
25 <pt<30 	6<chiso range<11 	40.1555	29.931	5.19082	1.96973
25 <pt<30 	6<chiso range<12 	40.1555	30.5477	5.30351	1.81159
25 <pt<30 	6<chiso range<13 	40.1555	28.4996	4.95881	2.35054
25 <pt<30 	7<chiso range<12 	40.1555	30.4791	5.31443	1.82078
25 <pt<30 	7<chiso range<13 	40.1555	28.0954	4.90862	2.45692
25 <pt<30 	8<chiso range<13 	40.1555	24.6241	4.30143	3.61075
#######################################################################################
30 <pt<35 	3<chiso range<8 	16.1687	7.02454	11.3547	0.805319
30 <pt<35 	3<chiso range<9 	16.1687	6.92337	11.1911	0.826132
30 <pt<35 	3<chiso range<10 	16.1687	17.7169	4.22354	0.366565
30 <pt<35 	3<chiso range<11 	16.1687	16.1579	3.86285	0.00279586
30 <pt<35 	3<chiso range<12 	16.1687	15.7648	3.77062	0.107118
30 <pt<35 	3<chiso range<13 	16.1687	15.23	3.659	0.256546
30 <pt<35 	4<chiso range<9 	16.1687	16.2884	3.90124	0.0306826
30 <pt<35 	4<chiso range<10 	16.1687	16.4832	3.94274	0.0797669
30 <pt<35 	4<chiso range<11 	16.1687	14.9606	3.58652	0.336845
30 <pt<35 	4<chiso range<12 	16.1687	14.6329	3.50926	0.437642
30 <pt<35 	4<chiso range<13 	16.1687	14.1603	3.40515	0.589812
30 <pt<35 	5<chiso range<10 	16.1687	17.7309	4.22452	0.369793
30 <pt<35 	5<chiso range<11 	16.1687	15.5441	3.71826	0.167982
30 <pt<35 	5<chiso range<12 	16.1687	15.0818	3.6099	0.301089
