pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
25  <pt<30 	3<chiso range<8 	27.3319	31.9405	10.521	0.438038
25  <pt<30 	3<chiso range<9 	27.3319	34.917	10.2191	0.742247
25  <pt<30 	3<chiso range<10 	27.3319	35.0893	10.2317	0.758173
25  <pt<30 	3<chiso range<11 	27.3319	36.4683	10.0744	0.906893
25  <pt<30 	3<chiso range<12 	27.3319	36.343	10.0987	0.892303
25  <pt<30 	3<chiso range<13 	27.3319	37.8637	9.96587	1.05679
25  <pt<30 	4<chiso range<9 	27.3319	32.7286	10.403	0.518764
25  <pt<30 	4<chiso range<10 	27.3319	33.2924	10.3904	0.573655
25  <pt<30 	4<chiso range<11 	27.3319	35.2045	10.1771	0.77356
25  <pt<30 	4<chiso range<12 	27.3319	35.2156	10.1928	0.773458
25  <pt<30 	4<chiso range<13 	27.3319	37.1075	10.0274	0.974889
25  <pt<30 	5<chiso range<10 	27.3319	36.0199	10.1111	0.859254
25  <pt<30 	5<chiso range<11 	27.3319	37.7852	9.92169	1.05358
25  <pt<30 	5<chiso range<12 	27.3319	37.4183	9.97514	1.01115
25  <pt<30 	5<chiso range<13 	27.3319	39.264	9.82417	1.21457
25  <pt<30 	6<chiso range<11 	27.3319	38.656	9.87436	1.14682
25  <pt<30 	6<chiso range<12 	27.3319	38.0948	9.94373	1.08238
25  <pt<30 	6<chiso range<13 	27.3319	40.1547	9.76796	1.31274
25  <pt<30 	7<chiso range<12 	27.3319	38.2885	9.97792	1.09808
25  <pt<30 	7<chiso range<13 	27.3319	40.68	9.7663	1.36675
25  <pt<30 	8<chiso range<13 	27.3319	44.1733	9.44382	1.78332
#######################################################################################
30  <pt<35 	3<chiso range<8 	18.8299	26.1071	21.9684	0.331258
30  <pt<35 	3<chiso range<9 	18.8299	26.1071	21.9684	0.331258
30  <pt<35 	3<chiso range<10 	18.8299	17.4167	7.27192	0.194337
30  <pt<35 	3<chiso range<11 	18.8299	18.967	7.07001	0.0193918
30  <pt<35 	3<chiso range<12 	18.8299	19.3639	7.01812	0.0760888
30  <pt<35 	3<chiso range<13 	18.8299	19.8864	6.98496	0.151254
30  <pt<35 	4<chiso range<9 	18.8299	18.8012	7.11062	0.00403622
30  <pt<35 	4<chiso range<10 	18.8299	18.5833	7.13016	0.0345855
30  <pt<35 	4<chiso range<11 	18.8299	20.1105	6.93553	0.184643
30  <pt<35 	4<chiso range<12 	18.8299	20.4412	6.89425	0.233717
30  <pt<35 	4<chiso range<13 	18.8299	20.9606	6.84865	0.311112
30  <pt<35 	5<chiso range<10 	18.8299	17.3106	7.28278	0.208615
30  <pt<35 	5<chiso range<11 	18.8299	19.5124	6.99847	0.0975213
30  <pt<35 	5<chiso range<12 	18.8299	19.9822	6.93931	0.166054
30  <pt<35 	5<chiso range<13 	18.8299	20.6485	6.88241	0.264239
30  <pt<35 	6<chiso range<11 	18.8299	23.0125	6.59276	0.634423
30  <pt<35 	6<chiso range<12 	18.8299	23.1203	6.58064	0.651973
30  <pt<35 	6<chiso range<13 	18.8299	23.2819	6.58637	0.675941
30  <pt<35 	7<chiso range<12 	18.8299	23.2469	6.54571	0.674793
30  <pt<35 	7<chiso range<13 	18.8299	23.3103	6.58949	0.679931
30  <pt<35 	8<chiso range<13 	18.8299	23.3314	6.58123	0.683991
#######################################################################################
35  <pt<40 	3<chiso range<8 	12.5276	14.7969	6.15147	0.368904
35  <pt<40 	3<chiso range<9 	12.5276	15.8594	5.93973	0.560935
35  <pt<40 	3<chiso range<10 	12.5276	15.9325	5.93556	0.573644
35  <pt<40 	3<chiso range<11 	12.5276	15.8766	5.94601	0.563235
35  <pt<40 	3<chiso range<12 	12.5276	15.8088	5.95488	0.55101
35  <pt<40 	3<chiso range<13 	12.5276	15.7002	5.97204	0.531242
35  <pt<40 	4<chiso range<9 	12.5276	14.7081	6.12744	0.355858
35  <pt<40 	4<chiso range<10 	12.5276	15.0169	6.08907	0.408814
35  <pt<40 	4<chiso range<11 	12.5276	15.1335	6.07822	0.428727
35  <pt<40 	4<chiso range<12 	12.5276	15.1182	6.07711	0.426288
35  <pt<40 	4<chiso range<13 	12.5276	14.9841	6.08978	0.403381
35  <pt<40 	5<chiso range<10 	12.5276	15.9036	5.93591	0.568742
35  <pt<40 	5<chiso range<11 	12.5276	15.8312	5.95085	0.555148
35  <pt<40 	5<chiso range<12 	12.5276	15.7499	5.96108	0.540556
35  <pt<40 	5<chiso range<13 	12.5276	15.6184	5.98143	0.516733
35  <pt<40 	6<chiso range<11 	12.5276	17.0958	5.73355	0.796749
35  <pt<40 	6<chiso range<12 	12.5276	16.8677	5.76582	0.752729
35  <pt<40 	6<chiso range<13 	12.5276	16.634	5.80015	0.707982
35  <pt<40 	7<chiso range<12 	12.5276	16.3904	5.83926	0.661522
35  <pt<40 	7<chiso range<13 	12.5276	16.1326	5.88323	0.612759
35  <pt<40 	8<chiso range<13 	12.5276	16.7443	5.76934	0.730881
#######################################################################################
40  <pt<50 	3<chiso range<8 	16.6363	16.3862	5.96123	0.0419544
40  <pt<50 	3<chiso range<9 	16.6363	16.4347	5.98362	0.033692
40  <pt<50 	3<chiso range<10 	16.6363	16.2202	6.03156	0.0689871
40  <pt<50 	3<chiso range<11 	16.6363	17.0539	5.85173	0.0713635
