pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	128.268	113.025	16.1927	0.94135
20  <pt<25 	3<chiso range<9 	128.268	109.975	16.3112	1.1215
20  <pt<25 	3<chiso range<10 	128.268	107.426	16.404	1.27054
20  <pt<25 	3<chiso range<11 	128.268	106.506	16.4338	1.32422
20  <pt<25 	3<chiso range<12 	128.268	107.787	16.3769	1.2506
20  <pt<25 	3<chiso range<13 	128.268	108.892	16.3444	1.18548
20  <pt<25 	4<chiso range<9 	128.268	116.625	16.0566	0.725122
20  <pt<25 	4<chiso range<10 	128.268	112.676	16.1976	0.962612
20  <pt<25 	4<chiso range<11 	128.268	111.061	16.2517	1.05878
20  <pt<25 	4<chiso range<12 	128.268	112.029	16.2128	1.00162
20  <pt<25 	4<chiso range<13 	128.268	112.848	16.1946	0.952169
20  <pt<25 	5<chiso range<10 	128.268	112.291	16.2138	0.985395
20  <pt<25 	5<chiso range<11 	128.268	110.404	16.2769	1.09751
20  <pt<25 	5<chiso range<12 	128.268	111.606	16.2291	1.02667
20  <pt<25 	5<chiso range<13 	128.268	112.602	16.206	0.966679
20  <pt<25 	6<chiso range<11 	128.268	112.578	16.146	0.971758
20  <pt<25 	6<chiso range<12 	128.268	113.494	16.1313	0.915859
20  <pt<25 	6<chiso range<13 	128.268	114.317	16.1267	0.865087
20  <pt<25 	7<chiso range<12 	128.268	106.401	16.4414	1.33
20  <pt<25 	7<chiso range<13 	128.268	108.808	16.3603	1.18946
20  <pt<25 	8<chiso range<13 	128.268	103.588	16.5235	1.49363
#######################################################################################
25  <pt<30 	3<chiso range<8 	73.837	64.334	11.5978	0.81938
25  <pt<30 	3<chiso range<9 	73.837	61.8423	11.7466	1.02112
25  <pt<30 	3<chiso range<10 	73.837	62.7505	11.692	0.948212
25  <pt<30 	3<chiso range<11 	73.837	61.1203	11.7829	1.07925
25  <pt<30 	3<chiso range<12 	73.837	59.4576	11.9041	1.20794
25  <pt<30 	3<chiso range<13 	73.837	60.6495	11.8396	1.11385
25  <pt<30 	4<chiso range<9 	73.837	64.0032	11.6053	0.847354
25  <pt<30 	4<chiso range<10 	73.837	64.683	11.5698	0.791198
25  <pt<30 	4<chiso range<11 	73.837	62.6651	11.6798	0.956515
25  <pt<30 	4<chiso range<12 	73.837	60.7741	11.8063	1.10643
25  <pt<30 	4<chiso range<13 	73.837	61.9388	11.7494	1.01266
25  <pt<30 	5<chiso range<10 	73.837	63.8596	11.6178	0.858803
25  <pt<30 	5<chiso range<11 	73.837	61.4943	11.7483	1.05059
25  <pt<30 	5<chiso range<12 	73.837	59.368	11.8933	1.21657
25  <pt<30 	5<chiso range<13 	73.837	60.8919	11.8164	1.09552
25  <pt<30 	6<chiso range<11 	73.837	60.5529	11.8161	1.12424
25  <pt<30 	6<chiso range<12 	73.837	58.1061	11.9858	1.31246
25  <pt<30 	6<chiso range<13 	73.837	60.0859	11.8818	1.15732
25  <pt<30 	7<chiso range<12 	73.837	55.0055	12.2204	1.54099
25  <pt<30 	7<chiso range<13 	73.837	57.9146	12.0534	1.32099
25  <pt<30 	8<chiso range<13 	73.837	55.5845	12.1966	1.49652
#######################################################################################
30  <pt<40 	3<chiso range<8 	84.2128	81.2463	11.8289	0.250784
30  <pt<40 	3<chiso range<9 	84.2128	80.0986	11.9069	0.345531
30  <pt<40 	3<chiso range<10 	84.2128	81.0591	11.8278	0.266635
30  <pt<40 	3<chiso range<11 	84.2128	79.589	11.9432	0.387149
