pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	562.63	153.398	0.272645	0.469349	0.0284498	6.91409
20 <pt<25 	3<chiso range<9 	562.63	153.398	0.272645	0.466149	0.0282475	6.85032
20 <pt<25 	3<chiso range<10 	562.63	153.398	0.272645	0.477878	0.0289605	7.08667
20 <pt<25 	3<chiso range<11 	562.63	153.398	0.272645	0.473052	0.0286532	6.99424
20 <pt<25 	3<chiso range<12 	562.63	153.398	0.272645	0.474419	0.028744	7.01971
20 <pt<25 	3<chiso range<13 	562.63	153.398	0.272645	0.465401	0.0282021	6.83483
20 <pt<25 	4<chiso range<9 	562.63	153.398	0.272645	0.442099	0.0267864	6.32614
20 <pt<25 	4<chiso range<10 	562.63	153.398	0.272645	0.459172	0.0278206	6.70465
20 <pt<25 	4<chiso range<11 	562.63	153.398	0.272645	0.455855	0.0276041	6.63707
20 <pt<25 	4<chiso range<12 	562.63	153.398	0.272645	0.459061	0.0278115	6.70286
20 <pt<25 	4<chiso range<13 	562.63	153.398	0.272645	0.450413	0.027293	6.51334
20 <pt<25 	5<chiso range<10 	562.63	153.398	0.272645	0.44538	0.0269832	6.40159
20 <pt<25 	5<chiso range<11 	562.63	153.398	0.272645	0.443486	0.0268507	6.36264
20 <pt<25 	5<chiso range<12 	562.63	153.398	0.272645	0.448502	0.0271701	6.47246
20 <pt<25 	5<chiso range<13 	562.63	153.398	0.272645	0.439764	0.0266492	6.27109
20 <pt<25 	6<chiso range<11 	562.63	153.398	0.272645	0.432799	0.0261727	6.11914
20 <pt<25 	6<chiso range<12 	562.63	153.398	0.272645	0.440239	0.0266518	6.2883
20 <pt<25 	6<chiso range<13 	562.63	153.398	0.272645	0.431182	0.0261136	6.07107
20 <pt<25 	7<chiso range<12 	562.63	153.398	0.272645	0.466895	0.0282973	6.86463
20 <pt<25 	7<chiso range<13 	562.63	153.398	0.272645	0.451607	0.0273778	6.53677
20 <pt<25 	8<chiso range<13 	562.63	153.398	0.272645	0.460269	0.0278797	6.72979
#######################################################################################
25 <pt<30 	3<chiso range<8 	300.206	65.6566	0.218705	0.402879	0.0389377	4.72996
