pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	153.398	156.966	9.28842	0.384134
20 <pt<25 	3<chiso range<9 	153.398	155.896	9.22225	0.270867
20 <pt<25 	3<chiso range<10 	153.398	159.818	9.45504	0.679003
20 <pt<25 	3<chiso range<11 	153.398	158.204	9.3545	0.513763
20 <pt<25 	3<chiso range<12 	153.398	158.662	9.38427	0.560939
20 <pt<25 	3<chiso range<13 	153.398	155.646	9.20743	0.244151
20 <pt<25 	4<chiso range<9 	153.398	147.852	8.74516	0.634179
20 <pt<25 	4<chiso range<10 	153.398	153.562	9.08279	0.0180561
20 <pt<25 	4<chiso range<11 	153.398	152.453	9.01185	0.104862
20 <pt<25 	4<chiso range<12 	153.398	153.525	9.0798	0.0139871
20 <pt<25 	4<chiso range<13 	153.398	150.633	8.91058	0.310305
20 <pt<25 	5<chiso range<10 	153.398	148.95	8.80937	0.504917
20 <pt<25 	5<chiso range<11 	153.398	148.316	8.76584	0.57975
20 <pt<25 	5<chiso range<12 	153.398	149.994	8.87037	0.383749
20 <pt<25 	5<chiso range<13 	153.398	147.072	8.70042	0.727091
20 <pt<25 	6<chiso range<11 	153.398	144.742	8.54401	1.01311
20 <pt<25 	6<chiso range<12 	153.398	147.231	8.70085	0.708781
20 <pt<25 	6<chiso range<13 	153.398	144.202	8.52531	1.07867
20 <pt<25 	7<chiso range<12 	153.398	156.145	9.23858	0.29734
20 <pt<25 	7<chiso range<13 	153.398	151.032	8.9385	0.264698
20 <pt<25 	8<chiso range<13 	153.398	153.929	9.10196	0.0583391
#######################################################################################
25 <pt<30 	3<chiso range<8 	65.6566	71.2518	6.76651	0.826896
25 <pt<30 	3<chiso range<9 	65.6566	71.2137	6.77069	0.820758
25 <pt<30 	3<chiso range<10 	65.6566	70.014	6.65434	0.654821
25 <pt<30 	3<chiso range<11 	65.6566	71.2413	6.77245	0.82462
25 <pt<30 	3<chiso range<12 	65.6566	72.5683	6.89929	1.0018
25 <pt<30 	3<chiso range<13 	65.6566	71.8046	6.82531	0.900765
25 <pt<30 	4<chiso range<9 	65.6566	68.1048	6.46926	0.378436
25 <pt<30 	4<chiso range<10 	65.6566	67.1781	6.37954	0.238497
25 <pt<30 	4<chiso range<11 	65.6566	68.8378	6.53718	0.486632
25 <pt<30 	4<chiso range<12 	65.6566	70.5114	6.6956	0.725073
25 <pt<30 	4<chiso range<13 	65.6566	69.8668	6.63485	0.634558
25 <pt<30 	5<chiso range<10 	65.6566	67.1585	6.37711	0.235514
25 <pt<30 	5<chiso range<11 	65.6566	69.1674	6.56854	0.534487
25 <pt<30 	5<chiso range<12 	65.6566	71.1162	6.75323	0.808443
25 <pt<30 	5<chiso range<13 	65.6566	70.2992	6.67598	0.695419
25 <pt<30 	6<chiso range<11 	65.6566	69.2872	6.58183	0.55161
25 <pt<30 	6<chiso range<12 	65.6566	71.5885	6.79808	0.872585
25 <pt<30 	6<chiso range<13 	65.6566	70.5919	6.70523	0.736037
25 <pt<30 	7<chiso range<12 	65.6566	69.1433	6.57867	0.530001
25 <pt<30 	7<chiso range<13 	65.6566	68.3228	6.50025	0.410169
25 <pt<30 	8<chiso range<13 	65.6566	72.4558	6.89196	0.986541
#######################################################################################
30 <pt<40 	3<chiso range<8 	53.4744	56.1245	6.53722	0.405386
30 <pt<40 	3<chiso range<9 	53.4744	56.1492	6.54972	0.408384
30 <pt<40 	3<chiso range<10 	53.4744	54.8652	6.39049	0.217636
30 <pt<40 	3<chiso range<11 	53.4744	56.3818	6.57029	0.442507
30 <pt<40 	3<chiso range<12 	53.4744	56.4726	6.57894	0.455727
30 <pt<40 	3<chiso range<13 	53.4744	55.4879	6.47075	0.311169
30 <pt<40 	4<chiso range<9 	53.4744	56.6214	6.60275	0.47662
30 <pt<40 	4<chiso range<10 	53.4744	55.0436	6.4075	0.244901
30 <pt<40 	4<chiso range<11 	53.4744	56.7649	6.61251	0.497617
30 <pt<40 	4<chiso range<12 	53.4744	56.8231	6.61731	0.506052
30 <pt<40 	4<chiso range<13 	53.4744	55.691	6.49289	0.341389
30 <pt<40 	5<chiso range<10 	53.4744	54.2686	6.32142	0.125636
30 <pt<40 	5<chiso range<11 	53.4744	56.382	6.5718	0.442436
30 <pt<40 	5<chiso range<12 	53.4744	56.5014	6.58311	0.459813
30 <pt<40 	5<chiso range<13 	53.4744	55.2463	6.44513	0.274921
30 <pt<40 	6<chiso range<11 	53.4744	55.9168	6.52152	0.374514
30 <pt<40 	6<chiso range<12 	53.4744	56.1296	6.54247	0.405841
30 <pt<40 	6<chiso range<13 	53.4744	54.6977	6.38584	0.191564
30 <pt<40 	7<chiso range<12 	53.4744	58.2478	6.79654	0.702328
30 <pt<40 	7<chiso range<13 	53.4744	56.1922	6.56772	0.413812
30 <pt<40 	8<chiso range<13 	53.4744	54.7203	6.39153	0.19493
#######################################################################################
40 <pt<50 	3<chiso range<8 	21.2986	23.7342	4.18206	0.582392
40 <pt<50 	3<chiso range<9 	21.2986	23.5369	4.14216	0.54037
40 <pt<50 	3<chiso range<10 	21.2986	23.7484	4.18301	0.585655
40 <pt<50 	3<chiso range<11 	21.2986	22.8977	4.03293	0.396511
40 <pt<50 	3<chiso range<12 	21.2986	23.6566	4.17049	0.565401
40 <pt<50 	3<chiso range<13 	21.2986	23.9043	4.21096	0.61879
40 <pt<50 	4<chiso range<9 	21.2986	23.8096	4.19643	0.598366
40 <pt<50 	4<chiso range<10 	21.2986	24.0211	4.23755	0.64247
40 <pt<50 	4<chiso range<11 	21.2986	23.0117	4.05885	0.422065
40 <pt<50 	4<chiso range<12 	21.2986	23.8605	4.21289	0.60811
40 <pt<50 	4<chiso range<13 	21.2986	24.134	4.25754	0.665971
40 <pt<50 	5<chiso range<10 	21.2986	23.7408	4.18732	0.583237
40 <pt<50 	5<chiso range<11 	21.2986	22.5866	3.98275	0.323395
40 <pt<50 	5<chiso range<12 	21.2986	23.6239	4.17054	0.557554
40 <pt<50 	5<chiso range<13 	21.2986	23.9489	4.22343	0.627523
40 <pt<50 	6<chiso range<11 	21.2986	23.735	4.18569	0.582078
40 <pt<50 	6<chiso range<12 	21.2986	24.8262	4.38446	0.804569
40 <pt<50 	6<chiso range<13 	21.2986	25.1378	4.4335	0.865952
40 <pt<50 	7<chiso range<12 	21.2986	22.6082	3.9945	0.327851
40 <pt<50 	7<chiso range<13 	21.2986	23.143	4.08232	0.451802
40 <pt<50 	8<chiso range<13 	21.2986	24.1381	4.25031	0.668069
#######################################################################################
50 <pt<70 	3<chiso range<8 	15.1091	12.4609	3.12337	0.847866
50 <pt<70 	3<chiso range<9 	15.1091	12.0275	3.027	1.01804
50 <pt<70 	3<chiso range<10 	15.1091	12.2185	3.07603	0.939718
50 <pt<70 	3<chiso range<11 	15.1091	11.0791	2.79752	1.44056
50 <pt<70 	3<chiso range<12 	15.1091	10.9141	2.75375	1.52338
50 <pt<70 	3<chiso range<13 	15.1091	10.3917	2.62504	1.79708
50 <pt<70 	4<chiso range<9 	15.1091	11.5207	2.92148	1.22828
50 <pt<70 	4<chiso range<10 	15.1091	11.8052	2.99184	1.1043
50 <pt<70 	4<chiso range<11 	15.1091	10.5821	2.68875	1.68368
50 <pt<70 	4<chiso range<12 	15.1091	10.4511	2.65109	1.75701
50 <pt<70 	4<chiso range<13 	15.1091	9.92795	2.5203	2.05577
50 <pt<70 	5<chiso range<10 	15.1091	12.6167	3.17807	0.78425
50 <pt<70 	5<chiso range<11 	15.1091	10.9527	2.77024	1.50038
50 <pt<70 	5<chiso range<12 	15.1091	10.7488	2.71508	1.60596
50 <pt<70 	5<chiso range<13 	15.1091	10.0927	2.55287	1.965
50 <pt<70 	6<chiso range<11 	15.1091	10.1263	2.55995	1.94644
50 <pt<70 	6<chiso range<12 	15.1091	10.0199	2.52943	2.01199
50 <pt<70 	6<chiso range<13 	15.1091	9.36545	2.36812	2.4254
50 <pt<70 	7<chiso range<12 	15.1091	9.3493	2.36336	2.43712
50 <pt<70 	7<chiso range<13 	15.1091	8.71941	2.20772	2.89425
50 <pt<70 	8<chiso range<13 	15.1091	8.21198	2.09295	3.29541
#######################################################################################
70 <pt<400 	3<chiso range<8 	9.3894	6.6196	1.85402	1.49394
70 <pt<400 	3<chiso range<9 	9.3894	6.51192	1.82337	1.57811
70 <pt<400 	3<chiso range<10 	9.3894	6.54784	1.83713	1.54674
70 <pt<400 	3<chiso range<11 	9.3894	6.39119	1.79933	1.66629
70 <pt<400 	3<chiso range<12 	9.3894	6.12033	1.72192	1.8985
70 <pt<400 	3<chiso range<13 	9.3894	6.2584	1.76171	1.77725
70 <pt<400 	4<chiso range<9 	9.3894	6.17039	1.72981	1.8609
70 <pt<400 	4<chiso range<10 	9.3894	6.27711	1.76262	1.76572
70 <pt<400 	4<chiso range<11 	9.3894	6.1193	1.72599	1.89462
70 <pt<400 	4<chiso range<12 	9.3894	5.85693	1.65028	2.14053
70 <pt<400 	4<chiso range<13 	9.3894	6.05633	1.70563	1.95416
70 <pt<400 	5<chiso range<10 	9.3894	6.16148	1.73981	1.85533
70 <pt<400 	5<chiso range<11 	9.3894	5.99775	1.70183	1.99294
70 <pt<400 	5<chiso range<12 	9.3894	5.70544	1.61582	2.27993
70 <pt<400 	5<chiso range<13 	9.3894	5.94685	1.68229	2.04635
70 <pt<400 	6<chiso range<11 	9.3894	5.92298	1.68542	2.05671
70 <pt<400 	6<chiso range<12 	9.3894	5.59859	1.58839	2.38657
70 <pt<400 	6<chiso range<13 	9.3894	5.87867	1.66613	2.10712
70 <pt<400 	7<chiso range<12 	9.3894	5.37267	1.52688	2.63068
70 <pt<400 	7<chiso range<13 	9.3894	5.73833	1.62828	2.24229
70 <pt<400 	8<chiso range<13 	9.3894	5.88479	1.66645	2.10304
#######################################################################################
