pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	203.817	174.866	20.6829	1.39976
20  <pt<25 	3<chiso range<9 	203.817	175.852	20.6442	1.35462
20  <pt<25 	3<chiso range<10 	203.817	171.944	20.7601	1.5353
20  <pt<25 	3<chiso range<11 	203.817	173.439	20.699	1.46761
20  <pt<25 	3<chiso range<12 	203.817	173.036	20.7204	1.48554
20  <pt<25 	3<chiso range<13 	203.817	176.092	20.6372	1.34345
20  <pt<25 	4<chiso range<9 	203.817	184.116	20.4047	0.965513
20  <pt<25 	4<chiso range<10 	203.817	178.355	20.5673	1.23798
20  <pt<25 	4<chiso range<11 	203.817	179.362	20.5195	1.19179
20  <pt<25 	4<chiso range<12 	203.817	178.264	20.5671	1.24242
20  <pt<25 	4<chiso range<13 	203.817	181.186	20.491	1.10444
20  <pt<25 	5<chiso range<10 	203.817	182.944	20.4357	1.0214
20  <pt<25 	5<chiso range<11 	203.817	183.464	20.3991	0.99774
20  <pt<25 	5<chiso range<12 	203.817	181.756	20.4663	1.07792
20  <pt<25 	5<chiso range<13 	203.817	184.717	20.3933	0.936582
20  <pt<25 	6<chiso range<11 	203.817	187.178	20.257	0.821395
20  <pt<25 	6<chiso range<12 	203.817	184.518	20.366	0.947609
20  <pt<25 	6<chiso range<13 	203.817	187.575	20.2952	0.800288
20  <pt<25 	7<chiso range<12 	203.817	175.779	20.6519	1.35765
20  <pt<25 	7<chiso range<13 	203.817	180.921	20.5139	1.11612
20  <pt<25 	8<chiso range<13 	203.817	177.71	20.5767	1.26877
#######################################################################################
25  <pt<30 	3<chiso range<8 	119.671	104.079	14.986	1.04044
25  <pt<30 	3<chiso range<9 	119.671	104.254	15.0009	1.02774
25  <pt<30 	3<chiso range<10 	119.671	105.398	14.9414	0.955265
25  <pt<30 	3<chiso range<11 	119.671	104.176	15.002	1.03286
25  <pt<30 	3<chiso range<12 	119.671	102.879	15.0646	1.11467
25  <pt<30 	3<chiso range<13 	119.671	103.606	15.0265	1.06911
25  <pt<30 	4<chiso range<9 	119.671	107.243	14.847	0.837071
25  <pt<30 	4<chiso range<10 	119.671	108.127	14.8025	0.779868
25  <pt<30 	4<chiso range<11 	119.671	106.55	14.873	0.882203
25  <pt<30 	4<chiso range<12 	119.671	104.965	14.9434	0.984113
25  <pt<30 	4<chiso range<13 	119.671	105.533	14.9189	0.947657
25  <pt<30 	5<chiso range<10 	119.671	108.115	14.8013	0.780742
25  <pt<30 	5<chiso range<11 	119.671	106.192	14.8893	0.905281
25  <pt<30 	5<chiso range<12 	119.671	104.343	14.9726	1.02374
25  <pt<30 	5<chiso range<13 	119.671	105.078	14.9399	0.97678
25  <pt<30 	6<chiso range<11 	119.671	106.255	14.8922	0.900874
25  <pt<30 	6<chiso range<12 	119.671	104.098	14.984	1.03931
25  <pt<30 	6<chiso range<13 	119.671	104.93	14.9509	0.985961
25  <pt<30 	7<chiso range<12 	119.671	106.766	14.9004	0.866084
25  <pt<30 	7<chiso range<13 	119.671	107.356	14.8728	0.828022
25  <pt<30 	8<chiso range<13 	119.671	103.2	15.0594	1.09374
#######################################################################################
30  <pt<40 	3<chiso range<8 	137.031	126.427	15.1387	0.700456
30  <pt<40 	3<chiso range<9 	137.031	126.477	15.1588	0.696229
30  <pt<40 	3<chiso range<10 	137.031	127.637	15.0757	0.623122
30  <pt<40 	3<chiso range<11 	137.031	126.153	15.1602	0.717537
30  <pt<40 	3<chiso range<12 	137.031	126.055	15.1607	0.723977
30  <pt<40 	3<chiso range<13 	137.031	127.158	15.119	0.653019
30  <pt<40 	4<chiso range<9 	137.031	125.975	15.1801	0.728322
30  <pt<40 	4<chiso range<10 	137.031	127.418	15.0781	0.637547
30  <pt<40 	4<chiso range<11 	137.031	125.734	15.1761	0.744394
30  <pt<40 	4<chiso range<12 	137.031	125.673	15.1746	0.748488
30  <pt<40 	4<chiso range<13 	137.031	126.943	15.1265	0.666909
30  <pt<40 	5<chiso range<10 	137.031	128.232	15.0457	0.584818
30  <pt<40 	5<chiso range<11 	137.031	126.166	15.1631	0.716542
30  <pt<40 	5<chiso range<12 	137.031	126.033	15.1638	0.72528
30  <pt<40 	5<chiso range<13 	137.031	127.437	15.1105	0.634923
30  <pt<40 	6<chiso range<11 	137.031	126.693	15.145	0.682602
30  <pt<40 	6<chiso range<12 	137.031	126.458	15.1481	0.697975
30  <pt<40 	6<chiso range<13 	137.031	128.056	15.0893	0.594792
30  <pt<40 	7<chiso range<12 	137.031	124.441	15.2804	0.823931
30  <pt<40 	7<chiso range<13 	137.031	126.626	15.1817	0.685365
30  <pt<40 	8<chiso range<13 	137.031	128.038	15.0974	0.595665
#######################################################################################
40  <pt<50 	3<chiso range<8 	73.6064	68.0049	10.4821	0.534387
40  <pt<50 	3<chiso range<9 	73.6064	68.1381	10.4607	0.522747
40  <pt<50 	3<chiso range<10 	73.6064	67.959	10.4821	0.538766
40  <pt<50 	3<chiso range<11 	73.6064	68.821	10.4184	0.459322
40  <pt<50 	3<chiso range<12 	73.6064	68.107	10.4793	0.524787
40  <pt<50 	3<chiso range<13 	73.6064	67.8504	10.4912	0.54865
40  <pt<50 	4<chiso range<9 	73.6064	67.8733	10.4944	0.546301
40  <pt<50 	4<chiso range<10 	73.6064	67.697	10.5162	0.561933
40  <pt<50 	4<chiso range<11 	73.6064	68.7106	10.4398	0.468955
40  <pt<50 	4<chiso range<12 	73.6064	67.9091	10.5086	0.542156
