pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	562.63	153.398	203.817	156.966	174.866	0.384134	1.39976
20 <pt<25 	3<chiso range<9 	562.63	153.398	203.817	155.896	175.852	0.270867	1.35462
20 <pt<25 	3<chiso range<10 	562.63	153.398	203.817	159.818	171.944	0.679003	1.5353
20 <pt<25 	3<chiso range<11 	562.63	153.398	203.817	158.204	173.439	0.513763	1.46761
20 <pt<25 	3<chiso range<12 	562.63	153.398	203.817	158.662	173.036	0.560939	1.48554
20 <pt<25 	3<chiso range<13 	562.63	153.398	203.817	155.646	176.092	0.244151	1.34345
20 <pt<25 	4<chiso range<9 	562.63	153.398	203.817	147.852	184.116	0.634179	0.965513
20 <pt<25 	4<chiso range<10 	562.63	153.398	203.817	153.562	178.355	0.0180561	1.23798
20 <pt<25 	4<chiso range<11 	562.63	153.398	203.817	152.453	179.362	0.104862	1.19179
20 <pt<25 	4<chiso range<12 	562.63	153.398	203.817	153.525	178.264	0.0139871	1.24242
20 <pt<25 	4<chiso range<13 	562.63	153.398	203.817	150.633	181.186	0.310305	1.10444
20 <pt<25 	5<chiso range<10 	562.63	153.398	203.817	148.95	182.944	0.504917	1.0214
20 <pt<25 	5<chiso range<11 	562.63	153.398	203.817	148.316	183.464	0.57975	0.99774
20 <pt<25 	5<chiso range<12 	562.63	153.398	203.817	149.994	181.756	0.383749	1.07792
20 <pt<25 	5<chiso range<13 	562.63	153.398	203.817	147.072	184.717	0.727091	0.936582
20 <pt<25 	6<chiso range<11 	562.63	153.398	203.817	144.742	187.178	1.01311	0.821395
20 <pt<25 	6<chiso range<12 	562.63	153.398	203.817	147.231	184.518	0.708781	0.947609
20 <pt<25 	6<chiso range<13 	562.63	153.398	203.817	144.202	187.575	1.07867	0.800288
20 <pt<25 	7<chiso range<12 	562.63	153.398	203.817	156.145	175.779	0.29734	1.35765
20 <pt<25 	7<chiso range<13 	562.63	153.398	203.817	151.032	180.921	0.264698	1.11612
20 <pt<25 	8<chiso range<13 	562.63	153.398	203.817	153.929	177.71	0.0583391	1.26877
#######################################################################################
25 <pt<30 	3<chiso range<8 	300.206	65.6566	119.671	71.2518	104.079	0.826896	1.04044
25 <pt<30 	3<chiso range<9 	300.206	65.6566	119.671	71.2137	104.254	0.820758	1.02774
25 <pt<30 	3<chiso range<10 	300.206	65.6566	119.671	70.014	105.398	0.654821	0.955265
25 <pt<30 	3<chiso range<11 	300.206	65.6566	119.671	71.2413	104.176	0.82462	1.03286
25 <pt<30 	3<chiso range<12 	300.206	65.6566	119.671	72.5683	102.879	1.0018	1.11467
25 <pt<30 	3<chiso range<13 	300.206	65.6566	119.671	71.8046	103.606	0.900765	1.06911
25 <pt<30 	4<chiso range<9 	300.206	65.6566	119.671	68.1048	107.243	0.378436	0.837071
25 <pt<30 	4<chiso range<10 	300.206	65.6566	119.671	67.1781	108.127	0.238497	0.779868
25 <pt<30 	4<chiso range<11 	300.206	65.6566	119.671	68.8378	106.55	0.486632	0.882203
25 <pt<30 	4<chiso range<12 	300.206	65.6566	119.671	70.5114	104.965	0.725073	0.984113
25 <pt<30 	4<chiso range<13 	300.206	65.6566	119.671	69.8668	105.533	0.634558	0.947657
25 <pt<30 	5<chiso range<10 	300.206	65.6566	119.671	67.1585	108.115	0.235514	0.780742
25 <pt<30 	5<chiso range<11 	300.206	65.6566	119.671	69.1674	106.192	0.534487	0.905281
25 <pt<30 	5<chiso range<12 	300.206	65.6566	119.671	71.1162	104.343	0.808443	1.02374
25 <pt<30 	5<chiso range<13 	300.206	65.6566	119.671	70.2992	105.078	0.695419	0.97678
25 <pt<30 	6<chiso range<11 	300.206	65.6566	119.671	69.2872	106.255	0.55161	0.900874
25 <pt<30 	6<chiso range<12 	300.206	65.6566	119.671	71.5885	104.098	0.872585	1.03931
25 <pt<30 	6<chiso range<13 	300.206	65.6566	119.671	70.5919	104.93	0.736037	0.985961
25 <pt<30 	7<chiso range<12 	300.206	65.6566	119.671	69.1433	106.766	0.530001	0.866084
25 <pt<30 	7<chiso range<13 	300.206	65.6566	119.671	68.3228	107.356	0.410169	0.828022
