pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	351.391	94.6897	0.269471	0.492953	0.0408845	5.46618
20 <pt<25 	3<chiso range<9 	351.391	94.6897	0.269471	0.507167	0.0421154	5.64392
20 <pt<25 	3<chiso range<10 	351.391	94.6897	0.269471	0.517453	0.0429405	5.77501
20 <pt<25 	3<chiso range<11 	351.391	94.6897	0.269471	0.521229	0.0432362	5.82285
20 <pt<25 	3<chiso range<12 	351.391	94.6897	0.269471	0.512155	0.0424449	5.71762
20 <pt<25 	3<chiso range<13 	351.391	94.6897	0.269471	0.503321	0.0417454	5.60181
20 <pt<25 	4<chiso range<9 	351.391	94.6897	0.269471	0.464603	0.0385268	5.06484
20 <pt<25 	4<chiso range<10 	351.391	94.6897	0.269471	0.482378	0.0399796	5.32539
20 <pt<25 	4<chiso range<11 	351.391	94.6897	0.269471	0.490375	0.0406285	5.43717
20 <pt<25 	4<chiso range<12 	351.391	94.6897	0.269471	0.483295	0.0400114	5.34408
20 <pt<25 	4<chiso range<13 	351.391	94.6897	0.269471	0.476249	0.0394685	5.23906
20 <pt<25 	5<chiso range<10 	351.391	94.6897	0.269471	0.481892	0.0399563	5.31633
20 <pt<25 	5<chiso range<11 	351.391	94.6897	0.269471	0.491564	0.0407395	5.45154
20 <pt<25 	5<chiso range<12 	351.391	94.6897	0.269471	0.483145	0.040008	5.34078
20 <pt<25 	5<chiso range<13 	351.391	94.6897	0.269471	0.475008	0.0393806	5.21924
20 <pt<25 	6<chiso range<11 	351.391	94.6897	0.269471	0.478824	0.0394954	5.30069
20 <pt<25 	6<chiso range<12 	351.391	94.6897	0.269471	0.4711	0.0388851	5.18525
20 <pt<25 	6<chiso range<13 	351.391	94.6897	0.269471	0.463411	0.0383373	5.05878
20 <pt<25 	7<chiso range<12 	351.391	94.6897	0.269471	0.507366	0.0420751	5.65406
20 <pt<25 	7<chiso range<13 	351.391	94.6897	0.269471	0.491143	0.0407786	5.43599
20 <pt<25 	8<chiso range<13 	351.391	94.6897	0.269471	0.516518	0.0428058	5.77134
#######################################################################################
25 <pt<30 	3<chiso range<8 	183.885	39.5935	0.215317	0.444095	0.0565344	4.04671
25 <pt<30 	3<chiso range<9 	183.885	39.5935	0.215317	0.46591	0.0593811	4.22009
25 <pt<30 	3<chiso range<10 	183.885	39.5935	0.215317	0.45462	0.0579263	4.13117
25 <pt<30 	3<chiso range<11 	183.885	39.5935	0.215317	0.467572	0.0595868	4.23341
25 <pt<30 	3<chiso range<12 	183.885	39.5935	0.215317	0.481464	0.0615269	4.32571
25 <pt<30 	3<chiso range<13 	183.885	39.5935	0.215317	0.468144	0.059878	4.22237
25 <pt<30 	4<chiso range<9 	183.885	39.5935	0.215317	0.435856	0.0553828	3.98209
25 <pt<30 	4<chiso range<10 	183.885	39.5935	0.215317	0.427654	0.054359	3.9062
25 <pt<30 	4<chiso range<11 	183.885	39.5935	0.215317	0.444885	0.0565677	4.05829
25 <pt<30 	4<chiso range<12 	183.885	39.5935	0.215317	0.461876	0.0588766	4.18773
25 <pt<30 	4<chiso range<13 	183.885	39.5935	0.215317	0.449199	0.0573397	4.07889
25 <pt<30 	5<chiso range<10 	183.885	39.5935	0.215317	0.430878	0.0547914	3.93422
25 <pt<30 	5<chiso range<11 	183.885	39.5935	0.215317	0.451445	0.0574257	4.11189
25 <pt<30 	5<chiso range<12 	183.885	39.5935	0.215317	0.471029	0.0601008	4.25472
25 <pt<30 	5<chiso range<13 	183.885	39.5935	0.215317	0.455123	0.0581607	4.12317
25 <pt<30 	6<chiso range<11 	183.885	39.5935	0.215317	0.458246	0.0584151	4.15867
25 <pt<30 	6<chiso range<12 	183.885	39.5935	0.215317	0.481048	0.0615497	4.31735
25 <pt<30 	6<chiso range<13 	183.885	39.5935	0.215317	0.460758	0.0590458	4.1568
25 <pt<30 	7<chiso range<12 	183.885	39.5935	0.215317	0.507407	0.065336	4.47059
25 <pt<30 	7<chiso range<13 	183.885	39.5935	0.215317	0.478596	0.0616928	4.26759
25 <pt<30 	8<chiso range<13 	183.885	39.5935	0.215317	0.500745	0.0645268	4.42341
#######################################################################################
30 <pt<40 	3<chiso range<8 	194.455	34.2185	0.175971	0.306603	0.0504376	2.58997
30 <pt<40 	3<chiso range<9 	194.455	34.2185	0.175971	0.315127	0.0518804	2.68224
30 <pt<40 	3<chiso range<10 	194.455	34.2185	0.175971	0.304801	0.0500418	2.57444
