pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	94.6897	102.461	8.33018	0.932909
20 <pt<25 	3<chiso range<9 	94.6897	105.416	8.5814	1.24995
20 <pt<25 	3<chiso range<10 	94.6897	107.553	8.74928	1.47021
20 <pt<25 	3<chiso range<11 	94.6897	108.338	8.80938	1.54929
20 <pt<25 	3<chiso range<12 	94.6897	106.452	8.64783	1.36014
20 <pt<25 	3<chiso range<13 	94.6897	104.616	8.50559	1.16703
20 <pt<25 	4<chiso range<9 	94.6897	96.5685	7.84973	0.239346
20 <pt<25 	4<chiso range<10 	94.6897	100.263	8.14556	0.684213
20 <pt<25 	4<chiso range<11 	94.6897	101.925	8.27767	0.874074
20 <pt<25 	4<chiso range<12 	94.6897	100.454	8.15168	0.70713
20 <pt<25 	4<chiso range<13 	94.6897	98.9893	8.0414	0.534683
20 <pt<25 	5<chiso range<10 	94.6897	100.162	8.14096	0.672193
20 <pt<25 	5<chiso range<11 	94.6897	102.172	8.30039	0.90144
20 <pt<25 	5<chiso range<12 	94.6897	100.423	8.15106	0.703381
20 <pt<25 	5<chiso range<13 	94.6897	98.7314	8.02363	0.503725
20 <pt<25 	6<chiso range<11 	94.6897	99.5246	8.04533	0.600957
20 <pt<25 	6<chiso range<12 	94.6897	97.919	7.92125	0.407676
20 <pt<25 	6<chiso range<13 	94.6897	96.3209	7.81038	0.20885
20 <pt<25 	7<chiso range<12 	94.6897	105.457	8.57271	1.256
20 <pt<25 	7<chiso range<13 	94.6897	102.085	8.30896	0.890039
20 <pt<25 	8<chiso range<13 	94.6897	107.359	8.72137	1.45267
#######################################################################################
25 <pt<30 	3<chiso range<8 	39.5935	47.9601	6.00352	1.39362
25 <pt<30 	3<chiso range<9 	39.5935	50.316	6.30607	1.70035
25 <pt<30 	3<chiso range<10 	39.5935	49.0968	6.15151	1.54487
25 <pt<30 	3<chiso range<11 	39.5935	50.4955	6.32789	1.72285
25 <pt<30 	3<chiso range<12 	39.5935	51.9958	6.53454	1.89796
25 <pt<30 	3<chiso range<13 	39.5935	50.5573	6.3596	1.72398
25 <pt<30 	4<chiso range<9 	39.5935	47.0704	5.88086	1.2714
25 <pt<30 	4<chiso range<10 	39.5935	46.1846	5.77221	1.14187
25 <pt<30 	4<chiso range<11 	39.5935	48.0455	6.00681	1.40707
25 <pt<30 	4<chiso range<12 	39.5935	49.8804	6.25253	1.64524
25 <pt<30 	4<chiso range<13 	39.5935	48.5114	6.0896	1.46445
25 <pt<30 	5<chiso range<10 	39.5935	46.5328	5.81821	1.19269
25 <pt<30 	5<chiso range<11 	39.5935	48.7539	6.098	1.5022
25 <pt<30 	5<chiso range<12 	39.5935	50.8689	6.38274	1.76655
