pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	256.679	101.165	17.0604	9.1155
20  <pt<25 	3<chiso range<9 	256.679	98.4927	17.2234	9.18438
20  <pt<25 	3<chiso range<10 	256.679	96.1352	17.3234	9.26745
20  <pt<25 	3<chiso range<11 	256.679	95.2882	17.3552	9.29928
20  <pt<25 	3<chiso range<12 	256.679	96.85	17.2533	9.26368
20  <pt<25 	3<chiso range<13 	256.679	98.7695	17.1784	9.19233
20  <pt<25 	4<chiso range<9 	256.679	107.301	16.7615	8.91197
20  <pt<25 	4<chiso range<10 	256.679	103.31	16.9389	9.05425
20  <pt<25 	4<chiso range<11 	256.679	101.592	17.0132	9.11569
20  <pt<25 	4<chiso range<12 	256.679	102.671	16.9418	9.09042
20  <pt<25 	4<chiso range<13 	256.679	104.223	16.8932	9.0247
20  <pt<25 	5<chiso range<10 	256.679	103.629	16.9343	9.03787
20  <pt<25 	5<chiso range<11 	256.679	101.524	17.0243	9.11374
20  <pt<25 	5<chiso range<12 	256.679	102.772	16.9426	9.08402
20  <pt<25 	5<chiso range<13 	256.679	104.555	16.8868	9.00846
20  <pt<25 	6<chiso range<11 	256.679	104.259	16.7736	9.0869
20  <pt<25 	6<chiso range<12 	256.679	105.06	16.7531	9.05021
20  <pt<25 	6<chiso range<13 	256.679	106.697	16.7316	8.964
20  <pt<25 	7<chiso range<12 	256.679	97.9662	17.2146	9.21966
20  <pt<25 	7<chiso range<13 	256.679	101.532	17.07	9.08887
20  <pt<25 	8<chiso range<13 	256.679	96.0705	17.2917	9.28818
#######################################################################################
25  <pt<30 	3<chiso range<8 	144.283	57.4787	12.1418	7.14921
25  <pt<30 	3<chiso range<9 	144.283	55.2488	12.326	7.22328
25  <pt<30 	3<chiso range<10 	144.283	56.4512	12.232	7.18049
25  <pt<30 	3<chiso range<11 	144.283	55.0622	12.3382	7.23127
25  <pt<30 	3<chiso range<12 	144.283	53.7849	12.4831	7.24965
25  <pt<30 	3<chiso range<13 	144.283	55.2728	12.3851	7.18688
25  <pt<30 	4<chiso range<9 	144.283	58.244	12.056	7.13661
25  <pt<30 	4<chiso range<10 	144.283	59.1193	11.9995	7.09727
25  <pt<30 	4<chiso range<11 	144.283	57.2988	12.135	7.16804
25  <pt<30 	4<chiso range<12 	144.283	55.8084	12.287	7.20067
25  <pt<30 	4<chiso range<13 	144.283	57.2133	12.2066	7.133
25  <pt<30 	5<chiso range<10 	144.283	58.8021	12.0287	7.10641
25  <pt<30 	5<chiso range<11 	144.283	56.6236	12.1911	7.19044
25  <pt<30 	5<chiso range<12 	144.283	54.9203	12.3699	7.22421
25  <pt<30 	5<chiso range<13 	144.283	56.6689	12.2655	7.14313
25  <pt<30 	6<chiso range<11 	144.283	56.0622	12.2685	7.19084
25  <pt<30 	6<chiso range<12 	144.283	54.117	12.4791	7.22536
25  <pt<30 	6<chiso range<13 	144.283	56.3038	12.3401	7.12954
25  <pt<30 	7<chiso range<12 	144.283	51.9499	12.7614	7.23534
25  <pt<30 	7<chiso range<13 	144.283	54.9206	12.5464	7.12255
25  <pt<30 	8<chiso range<13 	144.283	52.4439	12.7354	7.21132
#######################################################################################
30  <pt<40 	3<chiso range<8 	160.233	78.0024	12.3	6.68541
30  <pt<40 	3<chiso range<9 	160.233	77.0889	12.3934	6.70874
30  <pt<40 	3<chiso range<10 	160.233	78.0866	12.2681	6.69593
30  <pt<40 	3<chiso range<11 	160.233	77.0764	12.4038	6.70412
30  <pt<40 	3<chiso range<12 	160.233	77.1255	12.3739	6.71635
30  <pt<40 	3<chiso range<13 	160.233	77.7529	12.3466	6.68039
30  <pt<40 	4<chiso range<9 	160.233	78.2869	12.2637	6.682
30  <pt<40 	4<chiso range<10 	160.233	79.2667	12.153	6.66225
30  <pt<40 	4<chiso range<11 	160.233	77.9662	12.3075	6.68428
30  <pt<40 	4<chiso range<12 	160.233	77.9302	12.2844	6.69978
30  <pt<40 	4<chiso range<13 	160.233	78.5497	12.2633	6.66079
30  <pt<40 	5<chiso range<10 	160.233	81.6402	11.9773	6.56181
30  <pt<40 	5<chiso range<11 	160.233	79.8948	12.1741	6.59911
30  <pt<40 	5<chiso range<12 	160.233	79.6115	12.1645	6.6276
30  <pt<40 	5<chiso range<13 	160.233	80.1575	12.1557	6.58749
30  <pt<40 	6<chiso range<11 	160.233	81.2819	12.0708	6.54067
30  <pt<40 	6<chiso range<12 	160.233	80.7475	12.0733	6.58358
30  <pt<40 	6<chiso range<13 	160.233	81.2474	12.0751	6.5412
30  <pt<40 	7<chiso range<12 	160.233	78.4208	12.3208	6.64017
30  <pt<40 	7<chiso range<13 	160.233	79.4249	12.2915	6.57431
30  <pt<40 	8<chiso range<13 	160.233	77.4511	12.4066	6.67241
#######################################################################################
40  <pt<50 	3<chiso range<8 	73.7001	40.6105	8.61225	3.84216
40  <pt<50 	3<chiso range<9 	73.7001	40.8898	8.57306	3.82714
40  <pt<50 	3<chiso range<10 	73.7001	40.8881	8.60222	3.81436
40  <pt<50 	3<chiso range<11 	73.7001	41.5924	8.5025	3.77627
40  <pt<50 	3<chiso range<12 	73.7001	41.289	8.5546	3.78873
40  <pt<50 	3<chiso range<13 	73.7001	40.9627	8.56879	3.82054
40  <pt<50 	4<chiso range<9 	73.7001	41.1688	8.58868	3.78769
40  <pt<50 	4<chiso range<10 	73.7001	41.1518	8.61791	3.77682
40  <pt<50 	4<chiso range<11 	73.7001	41.8913	8.50314	3.74083
40  <pt<50 	4<chiso range<12 	73.7001	41.5175	8.56348	3.75812
40  <pt<50 	4<chiso range<13 	73.7001	41.1211	8.58121	3.79655
40  <pt<50 	5<chiso range<10 	73.7001	41.2961	8.58615	3.77398
40  <pt<50 	5<chiso range<11 	73.7001	42.146	8.45918	3.73016
40  <pt<50 	5<chiso range<12 	73.7001	41.6819	8.53232	3.75258
40  <pt<50 	5<chiso range<13 	73.7001	41.2372	8.55233	3.7958
40  <pt<50 	6<chiso range<11 	73.7001	41.2761	8.54258	3.79557
40  <pt<50 	6<chiso range<12 	73.7001	40.8492	8.62106	3.81054
40  <pt<50 	6<chiso range<13 	73.7001	40.3572	8.64215	3.85817
40  <pt<50 	7<chiso range<12 	73.7001	42.3629	8.46592	3.70157
40  <pt<50 	7<chiso range<13 	73.7001	41.705	8.49465	3.7665
40  <pt<50 	8<chiso range<13 	73.7001	41.4424	8.50935	3.79085
#######################################################################################
50  <pt<65 	3<chiso range<8 	55.6017	35.6549	7.27406	2.74218
50  <pt<65 	3<chiso range<9 	55.6017	36.7243	7.12437	2.64969
50  <pt<65 	3<chiso range<10 	55.6017	36.7169	7.11459	2.65438
50  <pt<65 	3<chiso range<11 	55.6017	37.294	7.06218	2.59236
50  <pt<65 	3<chiso range<12 	55.6017	37.6956	7.02503	2.5489
50  <pt<65 	3<chiso range<13 	55.6017	38.003	7.02178	2.5063
50  <pt<65 	4<chiso range<9 	55.6017	37.4493	7.05858	2.57168
50  <pt<65 	4<chiso range<10 	55.6017	37.3413	7.05566	2.58805
50  <pt<65 	4<chiso range<11 	55.6017	37.9493	7.02416	2.5131
50  <pt<65 	4<chiso range<12 	55.6017	38.3395	6.99429	2.46804
50  <pt<65 	4<chiso range<13 	55.6017	38.5687	6.98018	2.44019
50  <pt<65 	5<chiso range<10 	55.6017	36.7785	7.0931	2.65373
50  <pt<65 	5<chiso range<11 	55.6017	37.5672	7.02482	2.56725
50  <pt<65 	5<chiso range<12 	55.6017	38.1295	6.99943	2.49623
50  <pt<65 	5<chiso range<13 	55.6017	38.4189	6.98192	2.46104
50  <pt<65 	6<chiso range<11 	55.6017	38.1995	6.98545	2.49121
50  <pt<65 	6<chiso range<12 	55.6017	38.7186	6.95049	2.42905
50  <pt<65 	6<chiso range<13 	55.6017	38.9878	6.93752	2.39479
50  <pt<65 	7<chiso range<12 	55.6017	39.131	6.90499	2.38533
50  <pt<65 	7<chiso range<13 	55.6017	39.3695	6.89808	2.35315
50  <pt<65 	8<chiso range<13 	55.6017	40.4146	6.81632	2.22805
#######################################################################################
65  <pt<100 	3<chiso range<8 	40.8635	30.666	6.37643	1.59925
65  <pt<100 	3<chiso range<9 	40.8635	30.5477	6.41299	1.60858
65  <pt<100 	3<chiso range<10 	40.8635	31.0785	6.39274	1.53064
65  <pt<100 	3<chiso range<11 	40.8635	31.3744	6.37896	1.48756
