pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	211.068	58.8748	0.278938	0.372585	0.0344957	2.71476
20 <pt<25 	3<chiso range<9 	211.068	58.8748	0.278938	0.348218	0.0321868	2.15245
20 <pt<25 	3<chiso range<10 	211.068	58.8748	0.278938	0.357001	0.0330328	2.36321
20 <pt<25 	3<chiso range<11 	211.068	58.8748	0.278938	0.343731	0.031768	2.03958
20 <pt<25 	3<chiso range<12 	211.068	58.8748	0.278938	0.353518	0.0327402	2.27795
20 <pt<25 	3<chiso range<13 	211.068	58.8748	0.278938	0.342836	0.0317513	2.01247
20 <pt<25 	4<chiso range<9 	211.068	58.8748	0.278938	0.33867	0.0313406	1.90591
20 <pt<25 	4<chiso range<10 	211.068	58.8748	0.278938	0.350164	0.0324311	2.19624
20 <pt<25 	4<chiso range<11 	211.068	58.8748	0.278938	0.335789	0.0310455	1.83123
20 <pt<25 	4<chiso range<12 	211.068	58.8748	0.278938	0.347553	0.0322153	2.1299
20 <pt<25 	4<chiso range<13 	211.068	58.8748	0.278938	0.335989	0.0311317	1.83258
20 <pt<25 	5<chiso range<10 	211.068	58.8748	0.278938	0.321463	0.029748	1.42952
20 <pt<25 	5<chiso range<11 	211.068	58.8748	0.278938	0.309797	0.0286141	1.07847
20 <pt<25 	5<chiso range<12 	211.068	58.8748	0.278938	0.325515	0.0301545	1.54463
20 <pt<25 	5<chiso range<13 	211.068	58.8748	0.278938	0.314948	0.0291655	1.23469
20 <pt<25 	6<chiso range<11 	211.068	58.8748	0.278938	0.300783	0.0277563	0.787043
20 <pt<25 	6<chiso range<12 	211.068	58.8748	0.278938	0.319846	0.0296178	1.38121
20 <pt<25 	6<chiso range<13 	211.068	58.8748	0.278938	0.308559	0.0285614	1.03711
20 <pt<25 	7<chiso range<12 	211.068	58.8748	0.278938	0.334066	0.0309496	1.78123
20 <pt<25 	7<chiso range<13 	211.068	58.8748	0.278938	0.318301	0.0294645	1.33596
20 <pt<25 	8<chiso range<13 	211.068	58.8748	0.278938	0.307282	0.0283925	0.998306
#######################################################################################
25 <pt<30 	3<chiso range<8 	116.148	26.0812	0.224551	0.294376	0.0444206	1.5719
25 <pt<30 	3<chiso range<9 	116.148	26.0812	0.224551	0.270868	0.041012	1.12934
25 <pt<30 	3<chiso range<10 	116.148	26.0812	0.224551	0.267017	0.0403726	1.05184
25 <pt<30 	3<chiso range<11 	116.148	26.0812	0.224551	0.263871	0.039957	0.984047
25 <pt<30 	3<chiso range<12 	116.148	26.0812	0.224551	0.26147	0.0395038	0.934557
25 <pt<30 	3<chiso range<13 	116.148	26.0812	0.224551	0.264439	0.0398776	1.00025
25 <pt<30 	4<chiso range<9 	116.148	26.0812	0.224551	0.261365	0.0395556	0.930679
25 <pt<30 	4<chiso range<10 	116.148	26.0812	0.224551	0.258089	0.0389915	0.860125
25 <pt<30 	4<chiso range<11 	116.148	26.0812	0.224551	0.255295	0.038611	0.796239
25 <pt<30 	4<chiso range<12 	116.148	26.0812	0.224551	0.253526	0.0382626	0.757256
25 <pt<30 	4<chiso range<13 	116.148	26.0812	0.224551	0.257536	0.0387975	0.850172
25 <pt<30 	5<chiso range<10 	116.148	26.0812	0.224551	0.249942	0.0377321	0.672917
25 <pt<30 	5<chiso range<11 	116.148	26.0812	0.224551	0.248073	0.0375162	0.626971
25 <pt<30 	5<chiso range<12 	116.148	26.0812	0.224551	0.246706	0.0372144	0.595322
25 <pt<30 	5<chiso range<13 	116.148	26.0812	0.224551	0.251836	0.0379089	0.71974
25 <pt<30 	6<chiso range<11 	116.148	26.0812	0.224551	0.240506	0.0363447	0.438979
25 <pt<30 	6<chiso range<12 	116.148	26.0812	0.224551	0.240165	0.0362099	0.431196
25 <pt<30 	6<chiso range<13 	116.148	26.0812	0.224551	0.246911	0.0371479	0.601907
25 <pt<30 	7<chiso range<12 	116.148	26.0812	0.224551	0.196629	0.0296977	0.940222
25 <pt<30 	7<chiso range<13 	116.148	26.0812	0.224551	0.209345	0.0315279	0.482317
25 <pt<30 	8<chiso range<13 	116.148	26.0812	0.224551	0.226818	0.0341504	0.0663701
#######################################################################################
30 <pt<40 	3<chiso range<8 	114.171	19.5424	0.171168	0.242995	0.0414037	1.7348
30 <pt<40 	3<chiso range<9 	114.171	19.5424	0.171168	0.229484	0.039237	1.48626
30 <pt<40 	3<chiso range<10 	114.171	19.5424	0.171168	0.227091	0.0387406	1.44353
30 <pt<40 	3<chiso range<11 	114.171	19.5424	0.171168	0.227305	0.0387435	1.44894
30 <pt<40 	3<chiso range<12 	114.171	19.5424	0.171168	0.227118	0.038753	1.44376
30 <pt<40 	3<chiso range<13 	114.171	19.5424	0.171168	0.220257	0.0376192	1.3049
30 <pt<40 	4<chiso range<9 	114.171	19.5424	0.171168	0.240946	0.0412195	1.69284
30 <pt<40 	4<chiso range<10 	114.171	19.5424	0.171168	0.235977	0.0402669	1.60949
30 <pt<40 	4<chiso range<11 	114.171	19.5424	0.171168	0.235221	0.0400963	1.59748
30 <pt<40 	4<chiso range<12 	114.171	19.5424	0.171168	0.234053	0.0399442	1.57433
30 <pt<40 	4<chiso range<13 	114.171	19.5424	0.171168	0.225721	0.0385632	1.41464
30 <pt<40 	5<chiso range<10 	114.171	19.5424	0.171168	0.251777	0.0429208	1.87809
30 <pt<40 	5<chiso range<11 	114.171	19.5424	0.171168	0.248718	0.0423537	1.83101
30 <pt<40 	5<chiso range<12 	114.171	19.5424	0.171168	0.246019	0.0419518	1.78422
