pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	58.8748	73.7209	6.6547	2.23092
20 <pt<25 	3<chiso range<9 	58.8748	68.8996	6.20874	1.61463
20 <pt<25 	3<chiso range<10 	58.8748	70.6373	6.37228	1.84589
20 <pt<25 	3<chiso range<11 	58.8748	68.0117	6.12791	1.49103
20 <pt<25 	3<chiso range<12 	58.8748	69.9483	6.31614	1.75321
20 <pt<25 	3<chiso range<13 	58.8748	67.8347	6.12536	1.46275
20 <pt<25 	4<chiso range<9 	58.8748	67.0103	6.04588	1.34563
20 <pt<25 	4<chiso range<10 	58.8748	69.2846	6.25651	1.66383
20 <pt<25 	4<chiso range<11 	58.8748	66.4404	5.98867	1.26332
20 <pt<25 	4<chiso range<12 	58.8748	68.7679	6.21514	1.59177
20 <pt<25 	4<chiso range<13 	58.8748	66.4798	6.00599	1.26624
20 <pt<25 	5<chiso range<10 	58.8748	63.6057	5.73865	0.824392
20 <pt<25 	5<chiso range<11 	58.8748	61.2974	5.51936	0.438928
20 <pt<25 	5<chiso range<12 	58.8748	64.4075	5.81739	0.951062
20 <pt<25 	5<chiso range<13 	58.8748	62.3167	5.62649	0.611731
20 <pt<25 	6<chiso range<11 	58.8748	59.5138	5.35365	0.119358
20 <pt<25 	6<chiso range<12 	58.8748	63.2857	5.71373	0.771983
20 <pt<25 	6<chiso range<13 	58.8748	61.0524	5.50983	0.395221
20 <pt<25 	7<chiso range<12 	58.8748	66.0995	5.9708	1.21001
20 <pt<25 	7<chiso range<13 	58.8748	62.9801	5.68406	0.722248
20 <pt<25 	8<chiso range<13 	58.8748	60.7999	5.47674	0.351505
#######################################################################################
25 <pt<30 	3<chiso range<8 	26.0812	32.7675	4.86507	1.37435
25 <pt<30 	3<chiso range<9 	26.0812	30.1508	4.49225	0.905916
25 <pt<30 	3<chiso range<10 	26.0812	29.7221	4.42201	0.823359
25 <pt<30 	3<chiso range<11 	26.0812	29.3719	4.37671	0.751866
25 <pt<30 	3<chiso range<12 	26.0812	29.1047	4.32674	0.698794
25 <pt<30 	3<chiso range<13 	26.0812	29.4351	4.36742	0.767936
25 <pt<30 	4<chiso range<9 	26.0812	29.093	4.33266	0.695139
25 <pt<30 	4<chiso range<10 	26.0812	28.7283	4.27063	0.619838
25 <pt<30 	4<chiso range<11 	26.0812	28.4173	4.2291	0.552387
25 <pt<30 	4<chiso range<12 	26.0812	28.2204	4.19065	0.51047
25 <pt<30 	4<chiso range<13 	26.0812	28.6668	4.24899	0.608521
25 <pt<30 	5<chiso range<10 	26.0812	27.8214	4.13259	0.421092
25 <pt<30 	5<chiso range<11 	26.0812	27.6134	4.10918	0.372872
25 <pt<30 	5<chiso range<12 	26.0812	27.4613	4.07579	0.338609
25 <pt<30 	5<chiso range<13 	26.0812	28.0323	4.15156	0.469968
25 <pt<30 	6<chiso range<11 	26.0812	26.7711	3.98077	0.173308
25 <pt<30 	6<chiso range<12 	26.0812	26.7331	3.9657	0.164385
25 <pt<30 	6<chiso range<13 	26.0812	27.4841	4.06814	0.34485
25 <pt<30 	7<chiso range<12 	26.0812	21.8872	3.25267	1.2894
25 <pt<30 	7<chiso range<13 	26.0812	23.3025	3.4528	0.804767
25 <pt<30 	8<chiso range<13 	26.0812	25.2475	3.73997	0.222916
#######################################################################################
30 <pt<40 	3<chiso range<8 	19.5424	26.8754	4.52384	1.62097
30 <pt<40 	3<chiso range<9 	19.5424	25.3811	4.28747	1.36181
30 <pt<40 	3<chiso range<10 	19.5424	25.1164	4.23299	1.3168
30 <pt<40 	3<chiso range<11 	19.5424	25.1401	4.23322	1.32233
30 <pt<40 	3<chiso range<12 	19.5424	25.1193	4.23437	1.31706
30 <pt<40 	3<chiso range<13 	19.5424	24.3606	4.11058	1.17215
30 <pt<40 	4<chiso range<9 	19.5424	26.6487	4.50415	1.57772
30 <pt<40 	4<chiso range<10 	19.5424	26.0992	4.39979	1.49025
30 <pt<40 	4<chiso range<11 	19.5424	26.0155	4.38104	1.47753
30 <pt<40 	4<chiso range<12 	19.5424	25.8863	4.36454	1.45351
30 <pt<40 	4<chiso range<13 	19.5424	24.9648	4.21375	1.28683
30 <pt<40 	5<chiso range<10 	19.5424	27.8467	4.68966	1.77077
30 <pt<40 	5<chiso range<11 	19.5424	27.5084	4.62757	1.72142
30 <pt<40 	5<chiso range<12 	19.5424	27.2099	4.58381	1.67274
30 <pt<40 	5<chiso range<13 	19.5424	26.0117	4.389	1.47398
30 <pt<40 	6<chiso range<11 	19.5424	28.2872	4.76002	1.83714
30 <pt<40 	6<chiso range<12 	19.5424	27.7423	4.67812	1.75282
30 <pt<40 	6<chiso range<13 	19.5424	26.3034	4.4426	1.52186
30 <pt<40 	7<chiso range<12 	19.5424	26.3013	4.42342	1.52798
30 <pt<40 	7<chiso range<13 	19.5424	24.7968	4.18059	1.25686
30 <pt<40 	8<chiso range<13 	19.5424	21.7069	3.67112	0.589602
#######################################################################################
40 <pt<50 	3<chiso range<8 	7.45045	9.07739	2.53574	0.641604
40 <pt<50 	3<chiso range<9 	7.45045	9.30385	2.58736	0.716329
40 <pt<50 	3<chiso range<10 	7.45045	9.21733	2.56085	0.689958
40 <pt<50 	3<chiso range<11 	7.45045	9.01493	2.50949	0.623425
40 <pt<50 	3<chiso range<12 	7.45045	9.27284	2.5842	0.705205
40 <pt<50 	3<chiso range<13 	7.45045	9.26466	2.58459	0.701933
40 <pt<50 	4<chiso range<9 	7.45045	9.37368	2.60518	0.738233
40 <pt<50 	4<chiso range<10 	7.45045	9.26924	2.5743	0.706518
