pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	75.5547	124.502	15.8562	3.08695
20  <pt<25 	3<chiso range<9 	75.5547	128.899	15.6374	3.41133
20  <pt<25 	3<chiso range<10 	75.5547	127.261	15.7264	3.28787
20  <pt<25 	3<chiso range<11 	75.5547	129.68	15.6028	3.46895
20  <pt<25 	3<chiso range<12 	75.5547	128.054	15.7124	3.34127
20  <pt<25 	3<chiso range<13 	75.5547	130.153	15.6262	3.49402
20  <pt<25 	4<chiso range<9 	75.5547	130.874	15.581	3.55043
20  <pt<25 	4<chiso range<10 	75.5547	128.768	15.6838	3.39288
20  <pt<25 	4<chiso range<11 	75.5547	131.403	15.5412	3.59356
20  <pt<25 	4<chiso range<12 	75.5547	129.406	15.6739	3.43573
20  <pt<25 	4<chiso range<13 	75.5547	131.714	15.5729	3.60622
20  <pt<25 	5<chiso range<10 	75.5547	134.286	15.4464	3.80226
20  <pt<25 	5<chiso range<11 	75.5547	136.382	15.3295	3.96799
20  <pt<25 	5<chiso range<12 	75.5547	133.658	15.4915	3.75066
20  <pt<25 	5<chiso range<13 	75.5547	135.781	15.4028	3.91009
20  <pt<25 	6<chiso range<11 	75.5547	138.078	15.2494	4.10005
20  <pt<25 	6<chiso range<12 	75.5547	134.747	15.4416	3.8333
20  <pt<25 	6<chiso range<13 	75.5547	137.033	15.347	4.00588
20  <pt<25 	7<chiso range<12 	75.5547	132.251	15.5489	3.64632
20  <pt<25 	7<chiso range<13 	75.5547	135.443	15.4081	3.88681
20  <pt<25 	8<chiso range<13 	75.5547	137.557	15.2931	4.05427
#######################################################################################
25  <pt<30 	3<chiso range<8 	45.8338	78.5311	11.7696	2.77811
25  <pt<30 	3<chiso range<9 	45.8338	81.3096	11.626	3.05142
25  <pt<30 	3<chiso range<10 	45.8338	81.6605	11.5874	3.09187
25  <pt<30 	3<chiso range<11 	45.8338	82.1225	11.5756	3.13493
25  <pt<30 	3<chiso range<12 	45.8338	82.2489	11.5418	3.15506
25  <pt<30 	3<chiso range<13 	45.8338	81.8135	11.5476	3.11577
25  <pt<30 	4<chiso range<9 	45.8338	82.3603	11.5544	3.16126
25  <pt<30 	4<chiso range<10 	45.8338	82.6608	11.5159	3.19793
