pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	211.068	58.8748	75.5547	73.7209	124.502	2.23092	3.08695
20 <pt<25 	3<chiso range<9 	211.068	58.8748	75.5547	68.8996	128.899	1.61463	3.41133
20 <pt<25 	3<chiso range<10 	211.068	58.8748	75.5547	70.6373	127.261	1.84589	3.28787
20 <pt<25 	3<chiso range<11 	211.068	58.8748	75.5547	68.0117	129.68	1.49103	3.46895
20 <pt<25 	3<chiso range<12 	211.068	58.8748	75.5547	69.9483	128.054	1.75321	3.34127
20 <pt<25 	3<chiso range<13 	211.068	58.8748	75.5547	67.8347	130.153	1.46275	3.49402
20 <pt<25 	4<chiso range<9 	211.068	58.8748	75.5547	67.0103	130.874	1.34563	3.55043
20 <pt<25 	4<chiso range<10 	211.068	58.8748	75.5547	69.2846	128.768	1.66383	3.39288
20 <pt<25 	4<chiso range<11 	211.068	58.8748	75.5547	66.4404	131.403	1.26332	3.59356
20 <pt<25 	4<chiso range<12 	211.068	58.8748	75.5547	68.7679	129.406	1.59177	3.43573
20 <pt<25 	4<chiso range<13 	211.068	58.8748	75.5547	66.4798	131.714	1.26624	3.60622
20 <pt<25 	5<chiso range<10 	211.068	58.8748	75.5547	63.6057	134.286	0.824392	3.80226
20 <pt<25 	5<chiso range<11 	211.068	58.8748	75.5547	61.2974	136.382	0.438928	3.96799
20 <pt<25 	5<chiso range<12 	211.068	58.8748	75.5547	64.4075	133.658	0.951062	3.75066
20 <pt<25 	5<chiso range<13 	211.068	58.8748	75.5547	62.3167	135.781	0.611731	3.91009
20 <pt<25 	6<chiso range<11 	211.068	58.8748	75.5547	59.5138	138.078	0.119358	4.10005
20 <pt<25 	6<chiso range<12 	211.068	58.8748	75.5547	63.2857	134.747	0.771983	3.8333
20 <pt<25 	6<chiso range<13 	211.068	58.8748	75.5547	61.0524	137.033	0.395221	4.00588
20 <pt<25 	7<chiso range<12 	211.068	58.8748	75.5547	66.0995	132.251	1.21001	3.64632
20 <pt<25 	7<chiso range<13 	211.068	58.8748	75.5547	62.9801	135.443	0.722248	3.88681
20 <pt<25 	8<chiso range<13 	211.068	58.8748	75.5547	60.7999	137.557	0.351505	4.05427
#######################################################################################
25 <pt<30 	3<chiso range<8 	116.148	26.0812	45.8338	32.7675	78.5311	1.37435	2.77811
25 <pt<30 	3<chiso range<9 	116.148	26.0812	45.8338	30.1508	81.3096	0.905916	3.05142
25 <pt<30 	3<chiso range<10 	116.148	26.0812	45.8338	29.7221	81.6605	0.823359	3.09187
25 <pt<30 	3<chiso range<11 	116.148	26.0812	45.8338	29.3719	82.1225	0.751866	3.13493
25 <pt<30 	3<chiso range<12 	116.148	26.0812	45.8338	29.1047	82.2489	0.698794	3.15506
25 <pt<30 	3<chiso range<13 	116.148	26.0812	45.8338	29.4351	81.8135	0.767936	3.11577
25 <pt<30 	4<chiso range<9 	116.148	26.0812	45.8338	29.093	82.3603	0.695139	3.16126
25 <pt<30 	4<chiso range<10 	116.148	26.0812	45.8338	28.7283	82.6608	0.619838	3.19793
25 <pt<30 	4<chiso range<11 	116.148	26.0812	45.8338	28.4173	83.1573	0.552387	3.2462
25 <pt<30 	4<chiso range<12 	116.148	26.0812	45.8338	28.2204	83.1609	0.51047	3.25322
