pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	211.068	58.8748	0.278938	0.374	0.034435	2.76063
20 <pt<25 	3<chiso range<9 	211.068	58.8748	0.278938	0.349518	0.0321359	2.19631
20 <pt<25 	3<chiso range<10 	211.068	58.8748	0.278938	0.358335	0.0329795	2.40748
20 <pt<25 	3<chiso range<11 	211.068	58.8748	0.278938	0.344993	0.0317168	2.08266
20 <pt<25 	3<chiso range<12 	211.068	58.8748	0.278938	0.354864	0.0326889	2.3227
20 <pt<25 	3<chiso range<13 	211.068	58.8748	0.278938	0.344146	0.0317039	2.05679
20 <pt<25 	4<chiso range<9 	211.068	58.8748	0.278938	0.339944	0.0312942	1.94945
20 <pt<25 	4<chiso range<10 	211.068	58.8748	0.278938	0.351481	0.0323814	2.24028
20 <pt<25 	4<chiso range<11 	211.068	58.8748	0.278938	0.337016	0.0309995	1.87353
20 <pt<25 	4<chiso range<12 	211.068	58.8748	0.278938	0.348881	0.0321641	2.17458
20 <pt<25 	4<chiso range<13 	211.068	58.8748	0.278938	0.337271	0.0310864	1.87649
20 <pt<25 	5<chiso range<10 	211.068	58.8748	0.278938	0.322695	0.0297069	1.47297
20 <pt<25 	5<chiso range<11 	211.068	58.8748	0.278938	0.310942	0.0285754	1.12
20 <pt<25 	5<chiso range<12 	211.068	58.8748	0.278938	0.32678	0.0301125	1.58879
20 <pt<25 	5<chiso range<13 	211.068	58.8748	0.278938	0.316166	0.029126	1.27818
20 <pt<25 	6<chiso range<11 	211.068	58.8748	0.278938	0.301879	0.0277194	0.82763
20 <pt<25 	6<chiso range<12 	211.068	58.8748	0.278938	0.321082	0.0295772	1.4249
20 <pt<25 	6<chiso range<13 	211.068	58.8748	0.278938	0.309744	0.0285232	1.08005
20 <pt<25 	7<chiso range<12 	211.068	58.8748	0.278938	0.335328	0.030904	1.8247
20 <pt<25 	7<chiso range<13 	211.068	58.8748	0.278938	0.31949	0.0294217	1.37832
20 <pt<25 	8<chiso range<13 	211.068	58.8748	0.278938	0.308388	0.0283504	1.0388
#######################################################################################
