pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	211.068	58.8748	75.3676	74.0008	124.244	2.27765	3.08694
20 <pt<25 	3<chiso range<9 	211.068	58.8748	75.3676	69.1568	128.689	1.65913	3.41366
20 <pt<25 	3<chiso range<10 	211.068	58.8748	75.3676	70.9013	127.038	1.89089	3.28943
20 <pt<25 	3<chiso range<11 	211.068	58.8748	75.3676	68.2614	129.488	1.53467	3.47237
20 <pt<25 	3<chiso range<12 	211.068	58.8748	75.3676	70.2145	127.823	1.79868	3.34232
20 <pt<25 	3<chiso range<13 	211.068	58.8748	75.3676	68.0939	129.936	1.50774	3.49576
20 <pt<25 	4<chiso range<9 	211.068	58.8748	75.3676	67.2625	130.674	1.38978	3.55307
20 <pt<25 	4<chiso range<10 	211.068	58.8748	75.3676	69.5451	128.552	1.70856	3.39463
20 <pt<25 	4<chiso range<11 	211.068	58.8748	75.3676	66.6831	131.228	1.30613	3.59754
20 <pt<25 	4<chiso range<12 	211.068	58.8748	75.3676	69.0308	129.183	1.63714	3.43739
20 <pt<25 	4<chiso range<13 	211.068	58.8748	75.3676	66.7336	131.511	1.31076	3.6087
20 <pt<25 	5<chiso range<10 	211.068	58.8748	75.3676	63.8496	134.099	0.868328	3.80555
20 <pt<25 	5<chiso range<11 	211.068	58.8748	75.3676	61.5241	136.238	0.480778	3.9736
20 <pt<25 	5<chiso range<12 	211.068	58.8748	75.3676	64.6577	133.457	0.995732	3.7532
20 <pt<25 	5<chiso range<13 	211.068	58.8748	75.3676	62.5576	135.601	0.655613	3.91383
20 <pt<25 	6<chiso range<11 	211.068	58.8748	75.3676	59.7308	137.957	0.160145	4.10694
20 <pt<25 	6<chiso range<12 	211.068	58.8748	75.3676	63.5304	134.558	0.816151	3.83651
20 <pt<25 	6<chiso range<13 	211.068	58.8748	75.3676	61.2869	136.867	0.438487	4.01039
20 <pt<25 	7<chiso range<12 	211.068	58.8748	75.3676	66.3491	132.059	1.254	3.64948
20 <pt<25 	7<chiso range<13 	211.068	58.8748	75.3676	63.2153	135.284	0.764946	3.89199
20 <pt<25 	8<chiso range<13 	211.068	58.8748	75.3676	61.0186	137.441	0.392123	4.06205
#######################################################################################
25 <pt<30 	3<chiso range<8 	116.148	26.0812	45.7429	32.6175	78.6327	1.34061	2.79087
25 <pt<30 	3<chiso range<9 	116.148	26.0812	45.7429	29.9972	81.4259	0.870172	3.06589
25 <pt<30 	3<chiso range<10 	116.148	26.0812	45.7429	29.5776	81.7564	0.789171	3.10459
25 <pt<30 	3<chiso range<11 	116.148	26.0812	45.7429	29.232	82.207	0.718432	3.14649
25 <pt<30 	3<chiso range<12 	116.148	26.0812	45.7429	28.969	82.3247	0.666108	3.16621
25 <pt<30 	3<chiso range<13 	116.148	26.0812	45.7429	29.3022	81.8814	0.736037	3.12641
25 <pt<30 	4<chiso range<9 	116.148	26.0812	45.7429	28.954	82.4439	0.661737	3.17288
25 <pt<30 	4<chiso range<10 	116.148	26.0812	45.7429	28.599	82.7212	0.588347	3.20781
25 <pt<30 	4<chiso range<11 	116.148	26.0812	45.7429	28.295	83.1989	0.522208	3.25379
25 <pt<30 	4<chiso range<12 	116.148	26.0812	45.7429	28.0994	83.2015	0.480524	3.2613
25 <pt<30 	4<chiso range<13 	116.148	26.0812	45.7429	28.5467	82.6201	0.578994	3.20677
25 <pt<30 	5<chiso range<10 	116.148	26.0812	45.7429	27.6908	83.5552	0.388755	3.2972
25 <pt<30 	5<chiso range<11 	116.148	26.0812	45.7429	27.4897	83.9381	0.342014	3.3314
25 <pt<30 	5<chiso range<12 	116.148	26.0812	45.7429	27.3396	83.8894	0.308119	3.33507
25 <pt<30 	5<chiso range<13 	116.148	26.0812	45.7429	27.9119	83.1814	0.440075	3.268
25 <pt<30 	6<chiso range<11 	116.148	26.0812	45.7429	26.6666	84.9693	0.146629	3.44197
25 <pt<30 	6<chiso range<12 	116.148	26.0812	45.7429	26.6253	84.6974	0.136867	3.42171
25 <pt<30 	6<chiso range<13 	116.148	26.0812	45.7429	27.375	83.7602	0.317305	3.33056
25 <pt<30 	7<chiso range<12 	116.148	26.0812	45.7429	21.7877	89.5217	1.3173	3.93196
25 <pt<30 	7<chiso range<13 	116.148	26.0812	45.7429	23.1995	87.9251	0.833001	3.7698
25 <pt<30 	8<chiso range<13 	116.148	26.0812	45.7429	25.1433	86.0292	0.250225	3.56781
#######################################################################################
30 <pt<40 	3<chiso range<8 	114.171	19.5424	52.7521	26.384	84.3024	1.5077	2.72147
30 <pt<40 	3<chiso range<9 	114.171	19.5424	52.7521	24.9103	85.9016	1.24786	2.87926
30 <pt<40 	3<chiso range<10 	114.171	19.5424	52.7521	24.6684	86.0273	1.20684	2.89934
30 <pt<40 	3<chiso range<11 	114.171	19.5424	52.7521	24.6991	85.9528	1.21393	2.89416
30 <pt<40 	3<chiso range<12 	114.171	19.5424	52.7521	24.6698	86.0351	1.2068	2.89957
30 <pt<40 	3<chiso range<13 	114.171	19.5424	52.7521	23.9133	86.8424	1.05997	2.9819
30 <pt<40 	4<chiso range<9 	114.171	19.5424	52.7521	26.1228	84.7399	1.45706	2.75512
30 <pt<40 	4<chiso range<10 	114.171	19.5424	52.7521	25.6356	85.0781	1.3799	2.79888
30 <pt<40 	4<chiso range<11 	114.171	19.5424	52.7521	25.5621	85.0981	1.36903	2.80409
30 <pt<40 	4<chiso range<12 	114.171	19.5424	52.7521	25.4243	85.2989	1.34289	2.82157
30 <pt<40 	4<chiso range<13 	114.171	19.5424	52.7521	24.506	86.2762	1.17411	2.92111
30 <pt<40 	5<chiso range<10 	114.171	19.5424	52.7521	27.4172	83.2386	1.66987	2.61249
30 <pt<40 	5<chiso range<11 	114.171	19.5424	52.7521	27.0961	83.4975	1.6231	2.64258
30 <pt<40 	5<chiso range<12 	114.171	19.5424	52.7521	26.7446	83.9065	1.56475	2.68055
30 <pt<40 	5<chiso range<13 	114.171	19.5424	52.7521	25.5415	85.2197	1.36205	2.81105
30 <pt<40 	6<chiso range<11 	114.171	19.5424	52.7521	27.853	82.7946	1.73628	2.56866
30 <pt<40 	6<chiso range<12 	114.171	19.5424	52.7521	27.3053	83.3979	1.65026	2.6254
30 <pt<40 	6<chiso range<13 	114.171	19.5424	52.7521	25.8207	84.9906	1.40824	2.7842
30 <pt<40 	7<chiso range<12 	114.171	19.5424	52.7521	25.8498	84.8226	1.42057	2.77869
30 <pt<40 	7<chiso range<13 	114.171	19.5424	52.7521	24.3489	86.3835	1.14592	2.93578
30 <pt<40 	8<chiso range<13 	114.171	19.5424	52.7521	21.2834	89.5602	0.473091	3.26568
#######################################################################################
40 <pt<50 	3<chiso range<8 	54.4232	7.45045	28.6141	9.06394	43.3362	0.6382	1.92775
40 <pt<50 	3<chiso range<9 	54.4232	7.45045	28.6141	9.30154	42.9956	0.716707	1.87984
40 <pt<50 	3<chiso range<10 	54.4232	7.45045	28.6141	9.20159	43.1271	0.685898	1.90146
40 <pt<50 	3<chiso range<11 	54.4232	7.45045	28.6141	8.99594	43.3698	0.618011	1.93732
40 <pt<50 	3<chiso range<12 	54.4232	7.45045	28.6141	9.25545	43.1282	0.700759	1.89784
40 <pt<50 	3<chiso range<13 	54.4232	7.45045	28.6141	9.25217	43.1289	0.699059	1.89673
40 <pt<50 	4<chiso range<9 	54.4232	7.45045	28.6141	9.39238	42.8328	0.745397	1.85565
40 <pt<50 	4<chiso range<10 	54.4232	7.45045	28.6141	9.27206	42.9865	0.708527	1.88016
40 <pt<50 	4<chiso range<11 	54.4232	7.45045	28.6141	9.02456	43.2831	0.627568	1.92385
40 <pt<50 	4<chiso range<12 	54.4232	7.45045	28.6141	9.32089	43.0131	0.721083	1.87978
40 <pt<50 	4<chiso range<13 	54.4232	7.45045	28.6141	9.31138	43.0248	0.717437	1.88038
40 <pt<50 	5<chiso range<10 	54.4232	7.45045	28.6141	9.25703	43.0753	0.704051	1.89452
40 <pt<50 	5<chiso range<11 	54.4232	7.45045	28.6141	8.9509	43.4347	0.603019	1.94757
40 <pt<50 	5<chiso range<12 	54.4232	7.45045	28.6141	9.31577	43.0923	0.719148	1.8916
40 <pt<50 	5<chiso range<13 	54.4232	7.45045	28.6141	9.30693	43.0953	0.715475	1.89042
40 <pt<50 	6<chiso range<11 	54.4232	7.45045	28.6141	9.34286	43.1104	0.727707	1.89485
40 <pt<50 	6<chiso range<12 	54.4232	7.45045	28.6141	9.73452	42.7357	0.841343	1.83374
40 <pt<50 	6<chiso range<13 	54.4232	7.45045	28.6141	9.68494	42.7716	0.825968	1.83735
40 <pt<50 	7<chiso range<12 	54.4232	7.45045	28.6141	8.86677	43.5521	0.572533	1.96156
40 <pt<50 	7<chiso range<13 	54.4232	7.45045	28.6141	8.90061	43.5111	0.583045	1.95304
40 <pt<50 	8<chiso range<13 	54.4232	7.45045	28.6141	9.54342	42.8087	0.7888	1.84895
#######################################################################################
50 <pt<65 	3<chiso range<8 	38.8912	5.50686	22.5784	3.51738	35.0172	1.2405	1.96282
50 <pt<65 	3<chiso range<9 	38.8912	5.50686	22.5784	4.0143	34.6402	0.79994	1.87223
50 <pt<65 	3<chiso range<10 	38.8912	5.50686	22.5784	4.16209	34.4864	0.695896	1.84168
50 <pt<65 	3<chiso range<11 	38.8912	5.50686	22.5784	3.73714	34.8208	1.0284	1.91958
50 <pt<65 	3<chiso range<12 	38.8912	5.50686	22.5784	3.70716	34.7805	1.06528	1.91925
50 <pt<65 	3<chiso range<13 	38.8912	5.50686	22.5784	3.4154	35.0129	1.3489	1.97326
50 <pt<65 	4<chiso range<9 	38.8912	5.50686	22.5784	3.60632	35.0698	1.12192	1.95615
50 <pt<65 	4<chiso range<10 	38.8912	5.50686	22.5784	3.82187	34.8756	0.941177	1.91362
50 <pt<65 	4<chiso range<11 	38.8912	5.50686	22.5784	3.41732	35.202	1.31966	1.98847
50 <pt<65 	4<chiso range<12 	38.8912	5.50686	22.5784	3.42721	35.1146	1.32629	1.97944
50 <pt<65 	4<chiso range<13 	38.8912	5.50686	22.5784	3.15392	35.3598	1.63837	2.03227
50 <pt<65 	5<chiso range<10 	38.8912	5.50686	22.5784	4.22121	34.6918	0.634115	1.85037
50 <pt<65 	5<chiso range<11 	38.8912	5.50686	22.5784	3.6858	34.9893	1.05204	1.93937
50 <pt<65 	5<chiso range<12 	38.8912	5.50686	22.5784	3.66811	34.883	1.08889	1.93268
50 <pt<65 	5<chiso range<13 	38.8912	5.50686	22.5784	3.31372	35.1802	1.44849	2.00046
50 <pt<65 	6<chiso range<11 	38.8912	5.50686	22.5784	3.56389	35.0067	1.17923	1.95523
50 <pt<65 	6<chiso range<12 	38.8912	5.50686	22.5784	3.54839	34.9217	1.21301	1.94976
50 <pt<65 	6<chiso range<13 	38.8912	5.50686	22.5784	3.17223	35.307	1.62538	2.02646
50 <pt<65 	7<chiso range<12 	38.8912	5.50686	22.5784	3.40457	35.0257	1.36309	1.97606
50 <pt<65 	7<chiso range<13 	38.8912	5.50686	22.5784	2.98053	35.4903	1.87993	2.06531
50 <pt<65 	8<chiso range<13 	38.8912	5.50686	22.5784	3.32904	35.0892	1.44858	1.99294
#######################################################################################
65 <pt<400 	3<chiso range<8 	46.7367	3.94273	34.7096	3.60573	42.5836	0.215334	1.14812
65 <pt<400 	3<chiso range<9 	46.7367	3.94273	34.7096	3.38294	42.8108	0.381974	1.18524
65 <pt<400 	3<chiso range<10 	46.7367	3.94273	34.7096	3.11303	43.0852	0.614511	1.23032
65 <pt<400 	3<chiso range<11 	46.7367	3.94273	34.7096	2.85172	43.3863	0.875983	1.278
65 <pt<400 	3<chiso range<12 	46.7367	3.94273	34.7096	2.82468	43.4245	0.904615	1.28373
65 <pt<400 	3<chiso range<13 	46.7367	3.94273	34.7096	2.91476	43.3533	0.803962	1.27095
65 <pt<400 	4<chiso range<9 	46.7367	3.94273	34.7096	3.33462	42.8723	0.420218	1.1948
65 <pt<400 	4<chiso range<10 	46.7367	3.94273	34.7096	3.03261	43.1785	0.69083	1.24513
65 <pt<400 	4<chiso range<11 	46.7367	3.94273	34.7096	2.74381	43.512	0.997628	1.29796
65 <pt<400 	4<chiso range<12 	46.7367	3.94273	34.7096	2.72605	43.5409	1.0171	1.30214
65 <pt<400 	4<chiso range<13 	46.7367	3.94273	34.7096	2.83259	43.4556	0.890634	1.28692
65 <pt<400 	5<chiso range<10 	46.7367	3.94273	34.7096	3.12846	43.0828	0.598931	1.22921
65 <pt<400 	5<chiso range<11 	46.7367	3.94273	34.7096	2.77444	43.4934	0.959502	1.29417
65 <pt<400 	5<chiso range<12 	46.7367	3.94273	34.7096	2.74939	43.5304	0.98708	1.29967
65 <pt<400 	5<chiso range<13 	46.7367	3.94273	34.7096	2.86822	43.4354	0.84922	1.28267
65 <pt<400 	6<chiso range<11 	46.7367	3.94273	34.7096	2.37439	43.8968	1.50303	1.36118
65 <pt<400 	6<chiso range<12 	46.7367	3.94273	34.7096	2.40914	43.8727	1.44545	1.35669
65 <pt<400 	6<chiso range<13 	46.7367	3.94273	34.7096	2.57865	43.7342	1.19668	1.33199
65 <pt<400 	7<chiso range<12 	46.7367	3.94273	34.7096	2.0919	44.1683	1.99534	1.40879
65 <pt<400 	7<chiso range<13 	46.7367	3.94273	34.7096	2.33166	44.0215	1.55261	1.3778
65 <pt<400 	8<chiso range<13 	46.7367	3.94273	34.7096	2.25111	44.0873	1.69145	1.38968
#######################################################################################
