pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	211.062	58.8748	151.418	73.7195	124.497	2.23073	1.69784
20 <pt<25 	3<chiso range<9 	211.062	58.8748	151.418	68.8983	128.894	1.61443	1.44041
20 <pt<25 	3<chiso range<10 	211.062	58.8748	151.418	70.636	127.257	1.8457	1.53635
20 <pt<25 	3<chiso range<11 	211.062	58.8748	151.418	68.0104	129.675	1.49083	1.39355
20 <pt<25 	3<chiso range<12 	211.062	58.8748	151.418	69.947	128.049	1.75302	1.48733
20 <pt<25 	3<chiso range<13 	211.062	58.8748	151.418	67.8334	130.149	1.46255	1.36113
20 <pt<25 	4<chiso range<9 	211.062	58.8748	151.418	67.009	130.869	1.34543	1.31888
20 <pt<25 	4<chiso range<10 	211.062	58.8748	151.418	69.2833	128.764	1.66364	1.44444
20 <pt<25 	4<chiso range<11 	211.062	58.8748	151.418	66.4391	131.398	1.26311	1.28821
20 <pt<25 	4<chiso range<12 	211.062	58.8748	151.418	68.7666	129.402	1.59158	1.40465
20 <pt<25 	4<chiso range<13 	211.062	58.8748	151.418	66.4785	131.71	1.26603	1.26556
20 <pt<25 	5<chiso range<10 	211.062	58.8748	151.418	63.6045	134.281	0.824191	1.10946
20 <pt<25 	5<chiso range<11 	211.062	58.8748	151.418	61.2962	136.377	0.438714	0.981193
20 <pt<25 	5<chiso range<12 	211.062	58.8748	151.418	64.4063	133.653	0.950864	1.14677
20 <pt<25 	5<chiso range<13 	211.062	58.8748	151.418	62.3154	135.776	0.611506	1.01555
20 <pt<25 	6<chiso range<11 	211.062	58.8748	151.418	59.5127	138.073	0.119153	0.875134
20 <pt<25 	6<chiso range<12 	211.062	58.8748	151.418	63.2845	134.742	0.771779	1.07996
20 <pt<25 	6<chiso range<13 	211.062	58.8748	151.418	61.0512	137.028	0.395007	0.937655
20 <pt<25 	7<chiso range<12 	211.062	58.8748	151.418	66.0982	132.246	1.2098	1.23304
20 <pt<25 	7<chiso range<13 	211.062	58.8748	151.418	62.9788	135.438	0.722027	1.03714
20 <pt<25 	8<chiso range<13 	211.062	58.8748	151.418	60.7987	137.552	0.351289	0.906695
#######################################################################################
25 <pt<30 	3<chiso range<8 	116.148	26.0812	89.63	32.7675	78.5311	1.37435	0.943014
25 <pt<30 	3<chiso range<9 	116.148	26.0812	89.63	30.1508	81.3096	0.905916	0.715672
25 <pt<30 	3<chiso range<10 	116.148	26.0812	89.63	29.7221	81.6605	0.823359	0.687773
25 <pt<30 	3<chiso range<11 	116.148	26.0812	89.63	29.3719	82.1225	0.751866	0.648562
25 <pt<30 	3<chiso range<12 	116.148	26.0812	89.63	29.1047	82.2489	0.698794	0.63951
25 <pt<30 	3<chiso range<13 	116.148	26.0812	89.63	29.4351	81.8135	0.767936	0.676894
25 <pt<30 	4<chiso range<9 	116.148	26.0812	89.63	29.093	82.3603	0.695139	0.629172
25 <pt<30 	4<chiso range<10 	116.148	26.0812	89.63	28.7283	82.6608	0.619838	0.605181
25 <pt<30 	4<chiso range<11 	116.148	26.0812	89.63	28.4173	83.1573	0.552387	0.562961
25 <pt<30 	4<chiso range<12 	116.148	26.0812	89.63	28.2204	83.1609	0.51047	0.56381
25 <pt<30 	4<chiso range<13 	116.148	26.0812	89.63	28.6668	82.5827	0.608521	0.613411
25 <pt<30 	5<chiso range<10 	116.148	26.0812	89.63	27.8214	83.4868	0.421092	0.536177
25 <pt<30 	5<chiso range<11 	116.148	26.0812	89.63	27.6134	83.8889	0.372872	0.501288
25 <pt<30 	5<chiso range<12 	116.148	26.0812	89.63	27.4613	83.8435	0.338609	0.506371
25 <pt<30 	5<chiso range<13 	116.148	26.0812	89.63	28.0323	83.1403	0.469968	0.566974
25 <pt<30 	6<chiso range<11 	116.148	26.0812	89.63	26.7711	84.9705	0.173308	0.409418
25 <pt<30 	6<chiso range<12 	116.148	26.0812	89.63	26.7331	84.6873	0.164385	0.434615
25 <pt<30 	6<chiso range<13 	116.148	26.0812	89.63	27.4841	83.7478	0.34485	0.515788
25 <pt<30 	7<chiso range<12 	116.148	26.0812	89.63	21.8872	89.5133	1.2894	0.0104887
25 <pt<30 	7<chiso range<13 	116.148	26.0812	89.63	23.3025	87.9122	0.804767	0.153615
