pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	95.9934	20.2425	0.210874	0.290524	0.0560002	1.42232
20 <pt<25 	3<chiso range<9 	95.9934	20.2425	0.210874	0.288153	0.0550493	1.40382
20 <pt<25 	3<chiso range<10 	95.9934	20.2425	0.210874	0.276596	0.0530499	1.23887
20 <pt<25 	3<chiso range<11 	95.9934	20.2425	0.210874	0.254359	0.0484973	0.89665
20 <pt<25 	3<chiso range<12 	95.9934	20.2425	0.210874	0.259603	0.0495793	0.982852
20 <pt<25 	3<chiso range<13 	95.9934	20.2425	0.210874	0.246412	0.0470422	0.755452
20 <pt<25 	4<chiso range<9 	95.9934	20.2425	0.210874	0.280602	0.0535423	1.3023
20 <pt<25 	4<chiso range<10 	95.9934	20.2425	0.210874	0.267327	0.0512539	1.10144
20 <pt<25 	4<chiso range<11 	95.9934	20.2425	0.210874	0.242334	0.0461489	0.681709
20 <pt<25 	4<chiso range<12 	95.9934	20.2425	0.210874	0.249497	0.047606	0.811308
20 <pt<25 	4<chiso range<13 	95.9934	20.2425	0.210874	0.23556	0.0449309	0.549424
20 <pt<25 	5<chiso range<10 	95.9934	20.2425	0.210874	0.237205	0.0452372	0.582068
20 <pt<25 	5<chiso range<11 	95.9934	20.2425	0.210874	0.213937	0.0405595	0.0755218
20 <pt<25 	5<chiso range<12 	95.9934	20.2425	0.210874	0.224591	0.0426956	0.321277
20 <pt<25 	5<chiso range<13 	95.9934	20.2425	0.210874	0.212796	0.04045	0.0475186
20 <pt<25 	6<chiso range<11 	95.9934	20.2425	0.210874	0.184601	0.0350207	0.75021
20 <pt<25 	6<chiso range<12 	95.9934	20.2425	0.210874	0.199479	0.0379475	0.30028
20 <pt<25 	6<chiso range<13 	95.9934	20.2425	0.210874	0.189944	0.0361294	0.579303
20 <pt<25 	7<chiso range<12 	95.9934	20.2425	0.210874	0.211216	0.0402633	0.00849725
20 <pt<25 	7<chiso range<13 	95.9934	20.2425	0.210874	0.197404	0.037611	0.358137
20 <pt<25 	8<chiso range<13 	95.9934	20.2425	0.210874	0.19115	0.0360854	0.546589
#######################################################################################
25 <pt<30 	3<chiso range<8 	53.3489	7.36711	0.138093	0.227209	0.0682913	1.30494
25 <pt<30 	3<chiso range<9 	53.3489	7.36711	0.138093	0.200993	0.0607236	1.03584
25 <pt<30 	3<chiso range<10 	53.3489	7.36711	0.138093	0.199491	0.0602957	1.01828
25 <pt<30 	3<chiso range<11 	53.3489	7.36711	0.138093	0.189229	0.057995	0.881731
25 <pt<30 	3<chiso range<12 	53.3489	7.36711	0.138093	0.18143	0.0558072	0.776548
25 <pt<30 	3<chiso range<13 	53.3489	7.36711	0.138093	0.182461	0.0562236	0.789135
25 <pt<30 	4<chiso range<9 	53.3489	7.36711	0.138093	0.172228	0.051915	0.657517
25 <pt<30 	4<chiso range<10 	53.3489	7.36711	0.138093	0.17428	0.0524826	0.689505
25 <pt<30 	4<chiso range<11 	53.3489	7.36711	0.138093	0.167064	0.0510717	0.567261
25 <pt<30 	4<chiso range<12 	53.3489	7.36711	0.138093	0.161383	0.0495936	0.469617
25 <pt<30 	4<chiso range<13 	53.3489	7.36711	0.138093	0.163931	0.0504663	0.511985
25 <pt<30 	5<chiso range<10 	53.3489	7.36711	0.138093	0.157612	0.0473677	0.412074
25 <pt<30 	5<chiso range<11 	53.3489	7.36711	0.138093	0.15269	0.0466837	0.312679
25 <pt<30 	5<chiso range<12 	53.3489	7.36711	0.138093	0.147976	0.0454902	0.217255
25 <pt<30 	5<chiso range<13 	53.3489	7.36711	0.138093	0.15194	0.0467972	0.295894
25 <pt<30 	6<chiso range<11 	53.3489	7.36711	0.138093	0.143573	0.043948	0.124693
25 <pt<30 	6<chiso range<12 	53.3489	7.36711	0.138093	0.139296	0.0428804	0.0280546
25 <pt<30 	6<chiso range<13 	53.3489	7.36711	0.138093	0.144725	0.04463	0.148599
25 <pt<30 	7<chiso range<12 	53.3489	7.36711	0.138093	0.123027	0.0384103	0.392239
25 <pt<30 	7<chiso range<13 	53.3489	7.36711	0.138093	0.130868	0.0409032	0.176637
25 <pt<30 	8<chiso range<13 	53.3489	7.36711	0.138093	0.137126	0.0434742	0.0222432
#######################################################################################
30 <pt<40 	3<chiso range<8 	58.8411	5.8979	0.100234	0.224311	0.0700056	1.77238
30 <pt<40 	3<chiso range<9 	58.8411	5.8979	0.100234	0.221595	0.0704673	1.72223
30 <pt<40 	3<chiso range<10 	58.8411	5.8979	0.100234	0.217474	0.0688064	1.70391
30 <pt<40 	3<chiso range<11 	58.8411	5.8979	0.100234	0.22107	0.0695697	1.7369
30 <pt<40 	3<chiso range<12 	58.8411	5.8979	0.100234	0.216662	0.0683766	1.70274
30 <pt<40 	3<chiso range<13 	58.8411	5.8979	0.100234	0.201908	0.0642061	1.58355
30 <pt<40 	4<chiso range<9 	58.8411	5.8979	0.100234	0.20639	0.0660486	1.60724
30 <pt<40 	4<chiso range<10 	58.8411	5.8979	0.100234	0.204106	0.0648424	1.60191
30 <pt<40 	4<chiso range<11 	58.8411	5.8979	0.100234	0.209562	0.0660919	1.65418
30 <pt<40 	4<chiso range<12 	58.8411	5.8979	0.100234	0.205704	0.0650739	1.62077
30 <pt<40 	4<chiso range<13 	58.8411	5.8979	0.100234	0.190255	0.0606973	1.48311
30 <pt<40 	5<chiso range<10 	58.8411	5.8979	0.100234	0.213758	0.0687256	1.65184
30 <pt<40 	5<chiso range<11 	58.8411	5.8979	0.100234	0.219605	0.0698586	1.70875
30 <pt<40 	5<chiso range<12 	58.8411	5.8979	0.100234	0.213689	0.0681671	1.66436
30 <pt<40 	5<chiso range<13 	58.8411	5.8979	0.100234	0.194714	0.0626927	1.50703
30 <pt<40 	6<chiso range<11 	58.8411	5.8979	0.100234	0.248447	0.079424	1.86609
30 <pt<40 	6<chiso range<12 	58.8411	5.8979	0.100234	0.23601	0.0756766	1.79416
30 <pt<40 	6<chiso range<13 	58.8411	5.8979	0.100234	0.208793	0.0676927	1.6037
30 <pt<40 	7<chiso range<12 	58.8411	5.8979	0.100234	0.211325	0.0678741	1.63672
30 <pt<40 	7<chiso range<13 	58.8411	5.8979	0.100234	0.185483	0.0603484	1.41261
