pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	75.7394	62.7576	10.9777	1.18256
20  <pt<25 	3<chiso range<9 	75.7394	62.461	10.9161	1.21641
20  <pt<25 	3<chiso range<10 	75.7394	63.6662	10.827	1.1151
20  <pt<25 	3<chiso range<11 	75.7394	65.3431	10.5933	0.981403
20  <pt<25 	3<chiso range<12 	75.7394	64.9828	10.6463	1.01036
20  <pt<25 	3<chiso range<13 	75.7394	66.1506	10.5245	0.911093
20  <pt<25 	4<chiso range<9 	75.7394	63.0486	10.8401	1.17073
20  <pt<25 	4<chiso range<10 	75.7394	64.4828	10.7369	1.0484
20  <pt<25 	4<chiso range<11 	75.7394	66.3521	10.4807	0.895675
20  <pt<25 	4<chiso range<12 	75.7394	65.823	10.5522	0.939747
20  <pt<25 	4<chiso range<13 	75.7394	67.0619	10.4263	0.83227
20  <pt<25 	5<chiso range<10 	75.7394	67.0667	10.4236	0.832025
20  <pt<25 	5<chiso range<11 	75.7394	68.7406	10.2106	0.685445
20  <pt<25 	5<chiso range<12 	75.7394	67.8826	10.3162	0.761598
20  <pt<25 	5<chiso range<13 	75.7394	68.8893	10.2132	0.67071
20  <pt<25 	6<chiso range<11 	75.7394	71.329	9.97947	0.441947
20  <pt<25 	6<chiso range<12 	75.7394	70.0831	10.1109	0.559426
20  <pt<25 	6<chiso range<13 	75.7394	70.9361	10.0347	0.478669
20  <pt<25 	7<chiso range<12 	75.7394	69.1619	10.2125	0.644064
20  <pt<25 	7<chiso range<13 	75.7394	70.373	10.098	0.531432
20  <pt<25 	8<chiso range<13 	75.7394	70.4993	10.0108	0.523445
#######################################################################################
25  <pt<30 	3<chiso range<8 	45.9732	39.1322	8.09794	0.844783
25  <pt<30 	3<chiso range<9 	45.9732	40.5773	7.90197	0.682855
25  <pt<30 	3<chiso range<10 	45.9732	40.7033	7.8853	0.66832
25  <pt<30 	3<chiso range<11 	45.9732	41.5511	7.83704	0.564256
25  <pt<30 	3<chiso range<12 	45.9732	41.9624	7.79551	0.514501
25  <pt<30 	3<chiso range<13 	45.9732	41.95	7.80708	0.515327
25  <pt<30 	4<chiso range<9 	45.9732	42.0299	7.67583	0.513729
25  <pt<30 	4<chiso range<10 	45.9732	42.021	7.67187	0.515155
25  <pt<30 	4<chiso range<11 	45.9732	42.7441	7.64884	0.422169
25  <pt<30 	4<chiso range<12 	45.9732	43.0156	7.63729	0.387258
25  <pt<30 	4<chiso range<13 	45.9732	42.9305	7.65844	0.3973
25  <pt<30 	5<chiso range<10 	45.9732	42.7774	7.55749	0.422865
25  <pt<30 	5<chiso range<11 	45.9732	43.4333	7.5537	0.336246
25  <pt<30 	5<chiso range<12 	45.9732	43.6627	7.54891	0.306071
25  <pt<30 	5<chiso range<13 	45.9732	43.5122	7.57892	0.324716
25  <pt<30 	6<chiso range<11 	45.9732	43.904	7.49558	0.276056
