pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	95.9934	20.2425	75.3676	26.1709	62.7576	1.18046	1.14869
20 <pt<25 	3<chiso range<9 	95.9934	20.2425	75.3676	25.9574	62.461	1.1577	1.18235
20 <pt<25 	3<chiso range<10 	95.9934	20.2425	75.3676	24.9162	63.6662	0.982429	1.08076
20 <pt<25 	3<chiso range<11 	95.9934	20.2425	75.3676	22.9131	65.3431	0.6141	0.946306
20 <pt<25 	3<chiso range<12 	95.9934	20.2425	75.3676	23.3855	64.9828	0.706945	0.975437
20 <pt<25 	3<chiso range<13 	95.9934	20.2425	75.3676	22.1972	66.1506	0.463378	0.875766
20 <pt<25 	4<chiso range<9 	95.9934	20.2425	75.3676	25.2771	63.0486	1.04861	1.13643
20 <pt<25 	4<chiso range<10 	95.9934	20.2425	75.3676	24.0813	64.4828	0.835208	1.01377
20 <pt<25 	4<chiso range<11 	95.9934	20.2425	75.3676	21.8299	66.3521	0.3836	0.8602
20 <pt<25 	4<chiso range<12 	95.9934	20.2425	75.3676	22.4751	65.823	0.522992	0.904513
20 <pt<25 	4<chiso range<13 	95.9934	20.2425	75.3676	21.2197	67.0619	0.242541	0.79661
20 <pt<25 	5<chiso range<10 	95.9934	20.2425	75.3676	21.3678	67.0667	0.277408	0.796356
20 <pt<25 	5<chiso range<11 	95.9934	20.2425	75.3676	19.2719	68.7406	0.266882	0.649031
20 <pt<25 	5<chiso range<12 	95.9934	20.2425	75.3676	20.2316	67.8826	0.00284711	0.725558
20 <pt<25 	5<chiso range<13 	95.9934	20.2425	75.3676	19.169	68.8893	0.295967	0.634307
20 <pt<25 	6<chiso range<11 	95.9934	20.2425	75.3676	16.6292	71.329	1.15066	0.404691
20 <pt<25 	6<chiso range<12 	95.9934	20.2425	75.3676	17.9694	70.0831	0.668026	0.522654
20 <pt<25 	6<chiso range<13 	95.9934	20.2425	75.3676	17.1105	70.9361	0.966759	0.441618
20 <pt<25 	7<chiso range<12 	95.9934	20.2425	75.3676	19.0267	69.1619	0.336745	0.607657
20 <pt<25 	7<chiso range<13 	95.9934	20.2425	75.3676	17.7825	70.373	0.72941	0.494613
20 <pt<25 	8<chiso range<13 	95.9934	20.2425	75.3676	17.2192	70.4993	0.934412	0.486305
#######################################################################################
25 <pt<30 	3<chiso range<8 	53.3489	7.36711	45.7429	11.6665	39.1322	1.22959	0.816343
25 <pt<30 	3<chiso range<9 	53.3489	7.36711	45.7429	10.3204	40.5773	0.949849	0.65371
25 <pt<30 	3<chiso range<10 	53.3489	7.36711	45.7429	10.2433	40.7033	0.931614	0.639113
25 <pt<30 	3<chiso range<11 	53.3489	7.36711	45.7429	9.71636	41.5511	0.791063	0.53487
25 <pt<30 	3<chiso range<12 	53.3489	7.36711	45.7429	9.3159	41.9624	0.681927	0.484959
