pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	132.977	57.2264	0.430348	0.56666	0.0547945	2.48769
20 <pt<25 	3<chiso range<9 	132.977	57.2264	0.430348	0.526893	0.050917	1.89612
20 <pt<25 	3<chiso range<10 	132.977	57.2264	0.430348	0.537584	0.0519838	2.06287
20 <pt<25 	3<chiso range<11 	132.977	57.2264	0.430348	0.512146	0.0494944	1.65267
20 <pt<25 	3<chiso range<12 	132.977	57.2264	0.430348	0.526305	0.0509277	1.88418
20 <pt<25 	3<chiso range<13 	132.977	57.2264	0.430348	0.506576	0.0490394	1.55442
20 <pt<25 	4<chiso range<9 	132.977	57.2264	0.430348	0.50117	0.0484903	1.46054
20 <pt<25 	4<chiso range<10 	132.977	57.2264	0.430348	0.516996	0.0500413	1.73153
20 <pt<25 	4<chiso range<11 	132.977	57.2264	0.430348	0.490733	0.0474447	1.27274
20 <pt<25 	4<chiso range<12 	132.977	57.2264	0.430348	0.508439	0.0492354	1.58607
20 <pt<25 	4<chiso range<13 	132.977	57.2264	0.430348	0.487994	0.0472642	1.21965
20 <pt<25 	5<chiso range<10 	132.977	57.2264	0.430348	0.465416	0.0450583	0.778278
20 <pt<25 	5<chiso range<11 	132.977	57.2264	0.430348	0.444192	0.0429418	0.322387
20 <pt<25 	5<chiso range<12 	132.977	57.2264	0.430348	0.468304	0.0453598	0.836774
20 <pt<25 	5<chiso range<13 	132.977	57.2264	0.430348	0.450038	0.0435942	0.451663
20 <pt<25 	6<chiso range<11 	132.977	57.2264	0.430348	0.42995	0.0415357	0.00958465
20 <pt<25 	6<chiso range<12 	132.977	57.2264	0.430348	0.459293	0.0444696	0.650892
20 <pt<25 	6<chiso range<13 	132.977	57.2264	0.430348	0.439693	0.0425763	0.219486
20 <pt<25 	7<chiso range<12 	132.977	57.2264	0.430348	0.479109	0.0463792	1.05135
20 <pt<25 	7<chiso range<13 	132.977	57.2264	0.430348	0.452333	0.0437807	0.50216
20 <pt<25 	8<chiso range<13 	132.977	57.2264	0.430348	0.435986	0.042141	0.133786
#######################################################################################
25 <pt<30 	3<chiso range<8 	70.3855	24.4037	0.346715	0.465091	0.0724532	1.63383
25 <pt<30 	3<chiso range<9 	70.3855	24.4037	0.346715	0.42511	0.0664508	1.17975
25 <pt<30 	3<chiso range<10 	70.3855	24.4037	0.346715	0.413321	0.0645556	1.03176
25 <pt<30 	3<chiso range<11 	70.3855	24.4037	0.346715	0.410795	0.0642186	0.997844
25 <pt<30 	3<chiso range<12 	70.3855	24.4037	0.346715	0.40587	0.0633614	0.933615
25 <pt<30 	3<chiso range<13 	70.3855	24.4037	0.346715	0.408934	0.0637682	0.975708
25 <pt<30 	4<chiso range<9 	70.3855	24.4037	0.346715	0.393262	0.0615106	0.756733
25 <pt<30 	4<chiso range<10 	70.3855	24.4037	0.346715	0.383986	0.0599736	0.621459
25 <pt<30 	4<chiso range<11 	70.3855	24.4037	0.346715	0.384138	0.0600062	0.623654
25 <pt<30 	4<chiso range<12 	70.3855	24.4037	0.346715	0.381403	0.0595193	0.582805
25 <pt<30 	4<chiso range<13 	70.3855	24.4037	0.346715	0.386894	0.0603146	0.666159
25 <pt<30 	5<chiso range<10 	70.3855	24.4037	0.346715	0.361556	0.0564743	0.262794
25 <pt<30 	5<chiso range<11 	70.3855	24.4037	0.346715	0.365352	0.0571103	0.326336
25 <pt<30 	5<chiso range<12 	70.3855	24.4037	0.346715	0.363986	0.0568103	0.304014
25 <pt<30 	5<chiso range<13 	70.3855	24.4037	0.346715	0.371693	0.0579392	0.431109
25 <pt<30 	6<chiso range<11 	70.3855	24.4037	0.346715	0.350518	0.0546622	0.069575
25 <pt<30 	6<chiso range<12 	70.3855	24.4037	0.346715	0.351366	0.0547743	0.0849143
25 <pt<30 	6<chiso range<13 	70.3855	24.4037	0.346715	0.361847	0.0563509	0.268534
25 <pt<30 	7<chiso range<12 	70.3855	24.4037	0.346715	0.291677	0.0455921	1.20718
25 <pt<30 	7<chiso range<13 	70.3855	24.4037	0.346715	0.31092	0.0485196	0.737741
25 <pt<30 	8<chiso range<13 	70.3855	24.4037	0.346715	0.337772	0.0526824	0.169751
#######################################################################################
30 <pt<40 	3<chiso range<8 	72.1733	19.23	0.266442	0.373294	0.0668099	1.59934
