pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	57.2264	70.2422	6.62008	1.96611
20 <pt<25 	3<chiso range<9 	57.2264	65.3128	6.15141	1.31456
20 <pt<25 	3<chiso range<10 	57.2264	66.6379	6.2805	1.49853
20 <pt<25 	3<chiso range<11 	57.2264	63.4847	5.97955	1.04662
20 <pt<25 	3<chiso range<12 	57.2264	65.2398	6.15313	1.30233
20 <pt<25 	3<chiso range<13 	57.2264	62.7942	5.92511	0.939696
20 <pt<25 	4<chiso range<9 	57.2264	62.1242	5.85861	0.836
20 <pt<25 	4<chiso range<10 	57.2264	64.0859	6.04613	1.13453
20 <pt<25 	4<chiso range<11 	57.2264	60.8303	5.73206	0.628727
20 <pt<25 	4<chiso range<12 	57.2264	63.0252	5.9489	0.974768
20 <pt<25 	4<chiso range<13 	57.2264	60.4909	5.71079	0.571637
20 <pt<25 	5<chiso range<10 	57.2264	57.6921	5.44412	0.0855418
20 <pt<25 	5<chiso range<11 	57.2264	55.0613	5.18801	0.417328
20 <pt<25 	5<chiso range<12 	57.2264	58.0501	5.48069	0.150291
20 <pt<25 	5<chiso range<13 	57.2264	55.7859	5.26739	0.273475
20 <pt<25 	6<chiso range<11 	57.2264	53.2958	5.01795	0.783308
20 <pt<25 	6<chiso range<12 	57.2264	56.9331	5.37303	0.0545874
20 <pt<25 	6<chiso range<13 	57.2264	54.5035	5.1443	0.529304
20 <pt<25 	7<chiso range<12 	57.2264	59.3895	5.60369	0.386014
20 <pt<25 	7<chiso range<13 	57.2264	56.0704	5.28969	0.218538
20 <pt<25 	8<chiso range<13 	57.2264	54.0441	5.09122	0.625056
#######################################################################################
25 <pt<30 	3<chiso range<8 	24.4037	31.202	4.78048	1.4221
25 <pt<30 	3<chiso range<9 	24.4037	28.5198	4.38494	0.93869
25 <pt<30 	3<chiso range<10 	24.4037	27.7289	4.25977	0.780606
25 <pt<30 	3<chiso range<11 	24.4037	27.5594	4.23766	0.74468
25 <pt<30 	3<chiso range<12 	24.4037	27.229	4.1809	0.675764
25 <pt<30 	3<chiso range<13 	24.4037	27.4346	4.20758	0.720343
25 <pt<30 	4<chiso range<9 	24.4037	26.3832	4.05903	0.487678
25 <pt<30 	4<chiso range<10 	24.4037	25.7609	3.95742	0.342951
25 <pt<30 	4<chiso range<11 	24.4037	25.771	3.95958	0.345314
25 <pt<30 	4<chiso range<12 	24.4037	25.5876	3.92732	0.301452
25 <pt<30 	4<chiso range<13 	24.4037	25.956	3.97966	0.390058
25 <pt<30 	5<chiso range<10 	24.4037	24.2561	3.72652	0.039608
25 <pt<30 	5<chiso range<11 	24.4037	24.5107	3.76858	0.0283927
25 <pt<30 	5<chiso range<12 	24.4037	24.4191	3.74859	0.00410821
25 <pt<30 	5<chiso range<13 	24.4037	24.9361	3.82292	0.139265
25 <pt<30 	6<chiso range<11 	24.4037	23.5156	3.60675	0.246233
25 <pt<30 	6<chiso range<12 	24.4037	23.5725	3.6141	0.229988
25 <pt<30 	6<chiso range<13 	24.4037	24.2756	3.718	0.034454
25 <pt<30 	7<chiso range<12 	24.4037	19.5681	3.00852	1.6073
25 <pt<30 	7<chiso range<13 	24.4037	20.859	3.20152	1.10719
25 <pt<30 	8<chiso range<13 	24.4037	22.6604	3.47614	0.501505
#######################################################################################
30 <pt<40 	3<chiso range<8 	19.23	25.9113	4.58792	1.45628
30 <pt<40 	3<chiso range<9 	19.23	24.4131	4.34053	1.19412
30 <pt<40 	3<chiso range<10 	19.23	24.1109	4.27737	1.1411
30 <pt<40 	3<chiso range<11 	19.23	23.7959	4.21961	1.08207
30 <pt<40 	3<chiso range<12 	19.23	23.624	4.19413	1.04765
30 <pt<40 	3<chiso range<13 	19.23	22.9703	4.08208	0.916273
30 <pt<40 	4<chiso range<9 	19.23	25.2632	4.49666	1.34171
30 <pt<40 	4<chiso range<10 	19.23	24.7749	4.39679	1.26112
30 <pt<40 	4<chiso range<11 	19.23	24.3613	4.32148	1.18739
30 <pt<40 	4<chiso range<12 	19.23	24.0961	4.28035	1.13685
30 <pt<40 	4<chiso range<13 	19.23	23.2927	4.14152	0.980968
30 <pt<40 	5<chiso range<10 	19.23	26.1813	4.64115	1.49775
30 <pt<40 	5<chiso range<11 	19.23	25.4926	4.5174	1.38633
30 <pt<40 	5<chiso range<12 	19.23	25.041	4.44486	1.30735
30 <pt<40 	5<chiso range<13 	19.23	24.0589	4.2768	1.12909
30 <pt<40 	6<chiso range<11 	19.23	25.7656	4.56511	1.43164
30 <pt<40 	6<chiso range<12 	19.23	25.183	4.47175	1.33125
30 <pt<40 	6<chiso range<13 	19.23	24.0057	4.27013	1.1184
30 <pt<40 	7<chiso range<12 	19.23	23.5905	4.18192	1.0427
30 <pt<40 	7<chiso range<13 	19.23	22.4534	3.99009	0.807851
30 <pt<40 	8<chiso range<13 	19.23	19.8501	3.54153	0.175094
#######################################################################################
40 <pt<50 	3<chiso range<8 	7.08703	9.27275	2.61456	0.83598
40 <pt<50 	3<chiso range<9 	7.08703	9.40789	2.64629	0.877024
40 <pt<50 	3<chiso range<10 	7.08703	9.3293	2.62229	0.855081
40 <pt<50 	3<chiso range<11 	7.08703	9.05162	2.54779	0.771096
40 <pt<50 	3<chiso range<12 	7.08703	9.20692	2.59384	0.817279
40 <pt<50 	3<chiso range<13 	7.08703	9.15953	2.58338	0.802244
40 <pt<50 	4<chiso range<9 	7.08703	9.11792	2.56427	0.791995
40 <pt<50 	4<chiso range<10 	7.08703	9.06436	2.54881	0.775786
40 <pt<50 	4<chiso range<11 	7.08703	8.7798	2.47288	0.684534
40 <pt<50 	4<chiso range<12 	7.08703	8.98641	2.53325	0.74978
40 <pt<50 	4<chiso range<13 	7.08703	8.94569	2.52442	0.736272
40 <pt<50 	5<chiso range<10 	7.08703	8.82586	2.48283	0.700342
40 <pt<50 	5<chiso range<11 	7.08703	8.51653	2.40032	0.595546
40 <pt<50 	5<chiso range<12 	7.08703	8.7959	2.4817	0.688588
40 <pt<50 	5<chiso range<13 	7.08703	8.76506	2.47628	0.677641
40 <pt<50 	6<chiso range<11 	7.08703	9.04609	2.54908	0.768536
40 <pt<50 	6<chiso range<12 	7.08703	9.31487	2.62877	0.847484
40 <pt<50 	6<chiso range<13 	7.08703	9.22483	2.60796	0.819721
40 <pt<50 	7<chiso range<12 	7.08703	8.48752	2.39795	0.584036
40 <pt<50 	7<chiso range<13 	7.08703	8.47906	2.39961	0.580107
40 <pt<50 	8<chiso range<13 	7.08703	8.98415	2.53459	0.748492
#######################################################################################
50 <pt<65 	3<chiso range<8 	5.30708	3.91142	1.87552	0.744146
50 <pt<65 	3<chiso range<9 	5.30708	4.24045	2.0803	0.512729
50 <pt<65 	3<chiso range<10 	5.30708	4.26072	2.0833	0.502261
50 <pt<65 	3<chiso range<11 	5.30708	3.8693	1.8741	0.767184
50 <pt<65 	3<chiso range<12 	5.30708	3.78507	1.8109	0.840472
50 <pt<65 	3<chiso range<13 	5.30708	3.42052	1.63031	1.15718
50 <pt<65 	4<chiso range<9 	5.30708	3.67492	1.81968	0.896949
50 <pt<65 	4<chiso range<10 	5.30708	3.78348	1.86331	0.817685
50 <pt<65 	4<chiso range<11 	5.30708	3.42747	1.66838	1.12661
50 <pt<65 	4<chiso range<12 	5.30708	3.39558	1.62915	1.17331
50 <pt<65 	4<chiso range<13 	5.30708	3.06914	1.46553	1.52705
50 <pt<65 	5<chiso range<10 	5.30708	4.03371	2.03879	0.624571
50 <pt<65 	5<chiso range<11 	5.30708	3.58673	1.77021	0.971834
50 <pt<65 	5<chiso range<12 	5.30708	3.53511	1.70577	1.03881
50 <pt<65 	5<chiso range<13 	5.30708	3.13301	1.50054	1.44886
50 <pt<65 	6<chiso range<11 	5.30708	3.38881	1.6408	1.16911
50 <pt<65 	6<chiso range<12 	5.30708	3.34068	1.59169	1.23542
50 <pt<65 	6<chiso range<13 	5.30708	2.93524	1.39215	1.70372
50 <pt<65 	7<chiso range<12 	5.30708	3.26152	1.54766	1.32171
50 <pt<65 	7<chiso range<13 	5.30708	2.79224	1.31889	1.90679
50 <pt<65 	8<chiso range<13 	5.30708	2.99931	1.41894	1.6264
#######################################################################################
65 <pt<400 	3<chiso range<8 	3.57931	3.84822	1.77336	0.151639
65 <pt<400 	3<chiso range<9 	3.57931	3.52613	1.62026	0.0328219
65 <pt<400 	3<chiso range<10 	3.57931	3.24382	1.49135	0.224957
65 <pt<400 	3<chiso range<11 	3.57931	3.02534	1.40066	0.395506
65 <pt<400 	3<chiso range<12 	3.57931	2.94445	1.36703	0.464408
65 <pt<400 	3<chiso range<13 	3.57931	3.00934	1.39898	0.407418
65 <pt<400 	4<chiso range<9 	3.57931	3.33482	1.5352	0.159256
65 <pt<400 	4<chiso range<10 	3.57931	3.04538	1.40201	0.380832
65 <pt<400 	4<chiso range<11 	3.57931	2.80867	1.30491	0.590569
65 <pt<400 	4<chiso range<12 	3.57931	2.74756	1.27971	0.649952
65 <pt<400 	4<chiso range<13 	3.57931	2.82762	1.31942	0.569712
65 <pt<400 	5<chiso range<10 	3.57931	2.96579	1.36619	0.449074
65 <pt<400 	5<chiso range<11 	3.57931	2.70621	1.25958	0.693168
65 <pt<400 	5<chiso range<12 	3.57931	2.65	1.23676	0.751407
65 <pt<400 	5<chiso range<13 	3.57931	2.74798	1.28508	0.646909
65 <pt<400 	6<chiso range<11 	3.57931	2.32923	1.08587	1.15122
65 <pt<400 	6<chiso range<12 	3.57931	2.32263	1.08605	1.15711
65 <pt<400 	6<chiso range<13 	3.57931	2.4651	1.15534	0.9644
65 <pt<400 	7<chiso range<12 	3.57931	2.03498	0.957158	1.61345
65 <pt<400 	7<chiso range<13 	3.57931	2.23572	1.05428	1.27441
65 <pt<400 	8<chiso range<13 	3.57931	2.16353	1.01756	1.39135
#######################################################################################
