pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	132.977	57.2264	75.3676	70.2422	53.4772	1.96611	1.66951
20 <pt<25 	3<chiso range<9 	132.977	57.2264	75.3676	65.3128	58.0941	1.31456	1.34327
20 <pt<25 	3<chiso range<10 	132.977	57.2264	75.3676	66.6379	56.7986	1.49853	1.43504
20 <pt<25 	3<chiso range<11 	132.977	57.2264	75.3676	63.4847	59.813	1.04662	1.21757
20 <pt<25 	3<chiso range<12 	132.977	57.2264	75.3676	65.2398	58.2375	1.30233	1.32973
20 <pt<25 	3<chiso range<13 	132.977	57.2264	75.3676	62.7942	60.6989	0.939696	1.14871
20 <pt<25 	4<chiso range<9 	132.977	57.2264	75.3676	62.1242	61.3055	0.836	1.10479
20 <pt<25 	4<chiso range<10 	132.977	57.2264	75.3676	64.0859	59.4429	1.13453	1.24134
20 <pt<25 	4<chiso range<11 	132.977	57.2264	75.3676	60.8303	62.5813	0.628727	1.01075
20 <pt<25 	4<chiso range<12 	132.977	57.2264	75.3676	63.0252	60.5598	0.974768	1.15833
20 <pt<25 	4<chiso range<13 	132.977	57.2264	75.3676	60.4909	63.1456	0.571637	0.965205
20 <pt<25 	5<chiso range<10 	132.977	57.2264	75.3676	57.6921	65.7776	0.0855418	0.765394
20 <pt<25 	5<chiso range<11 	132.977	57.2264	75.3676	55.0613	68.2777	0.417328	0.572385
20 <pt<25 	5<chiso range<12 	132.977	57.2264	75.3676	58.0501	65.4963	0.150291	0.786382
20 <pt<25 	5<chiso range<13 	132.977	57.2264	75.3676	55.7859	67.8165	0.273475	0.606553
20 <pt<25 	6<chiso range<11 	132.977	57.2264	75.3676	53.2958	70.0672	0.783308	0.431158
20 <pt<25 	6<chiso range<12 	132.977	57.2264	75.3676	56.9331	66.6362	0.0545874	0.698931
20 <pt<25 	6<chiso range<13 	132.977	57.2264	75.3676	54.5035	69.1515	0.529304	0.502019
20 <pt<25 	7<chiso range<12 	132.977	57.2264	75.3676	59.3895	64.4452	0.386014	0.867608
20 <pt<25 	7<chiso range<13 	132.977	57.2264	75.3676	56.0704	67.8641	0.218538	0.603665
20 <pt<25 	8<chiso range<13 	132.977	57.2264	75.3676	54.0441	69.7936	0.625056	0.452582
#######################################################################################
25 <pt<30 	3<chiso range<8 	70.3855	24.4037	45.7429	31.202	35.6875	1.4221	1.04914
25 <pt<30 	3<chiso range<9 	70.3855	24.4037	45.7429	28.5198	38.488	0.93869	0.771833
25 <pt<30 	3<chiso range<10 	70.3855	24.4037	45.7429	27.7289	39.2267	0.780606	0.698367
25 <pt<30 	3<chiso range<11 	70.3855	24.4037	45.7429	27.5594	39.4714	0.74468	0.672681
25 <pt<30 	3<chiso range<12 	70.3855	24.4037	45.7429	27.229	39.7094	0.675764	0.649669
25 <pt<30 	3<chiso range<13 	70.3855	24.4037	45.7429	27.4346	39.4473	0.720343	0.677471
25 <pt<30 	4<chiso range<9 	70.3855	24.4037	45.7429	26.3832	40.6541	0.487678	0.550777
25 <pt<30 	4<chiso range<10 	70.3855	24.4037	45.7429	25.7609	41.2372	0.342951	0.49093
