pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	211.068	59.0635	0.279832	0.430217	0.0395699	3.8005
20 <pt<25 	3<chiso range<9 	211.068	59.0635	0.279832	0.396847	0.0364589	3.20951
20 <pt<25 	3<chiso range<10 	211.068	59.0635	0.279832	0.403667	0.0371218	3.33592
20 <pt<25 	3<chiso range<11 	211.068	59.0635	0.279832	0.386301	0.035487	3.00024
20 <pt<25 	3<chiso range<12 	211.068	59.0635	0.279832	0.394122	0.0362735	3.1508
20 <pt<25 	3<chiso range<13 	211.068	59.0635	0.279832	0.380311	0.0350044	2.87048
20 <pt<25 	4<chiso range<9 	211.068	59.0635	0.279832	0.372743	0.0343026	2.70858
20 <pt<25 	4<chiso range<10 	211.068	59.0635	0.279832	0.383942	0.0353612	2.9442
20 <pt<25 	4<chiso range<11 	211.068	59.0635	0.279832	0.366722	0.0337179	2.57698
20 <pt<25 	4<chiso range<12 	211.068	59.0635	0.279832	0.377114	0.0347503	2.79947
20 <pt<25 	4<chiso range<13 	211.068	59.0635	0.279832	0.363114	0.0334541	2.48945
20 <pt<25 	5<chiso range<10 	211.068	59.0635	0.279832	0.348891	0.0321103	2.15069
20 <pt<25 	5<chiso range<11 	211.068	59.0635	0.279832	0.334907	0.0307698	1.78992
20 <pt<25 	5<chiso range<12 	211.068	59.0635	0.279832	0.349593	0.0321994	2.16654
20 <pt<25 	5<chiso range<13 	211.068	59.0635	0.279832	0.336857	0.031021	1.83828
20 <pt<25 	6<chiso range<11 	211.068	59.0635	0.279832	0.319277	0.0293075	1.34591
20 <pt<25 	6<chiso range<12 	211.068	59.0635	0.279832	0.337807	0.0311022	1.86403
20 <pt<25 	6<chiso range<13 	211.068	59.0635	0.279832	0.324862	0.0299029	1.50589
20 <pt<25 	7<chiso range<12 	211.068	59.0635	0.279832	0.351046	0.0323352	2.20238
20 <pt<25 	7<chiso range<13 	211.068	59.0635	0.279832	0.333407	0.0306909	1.74564
20 <pt<25 	8<chiso range<13 	211.068	59.0635	0.279832	0.320747	0.0294662	1.38855
#######################################################################################
25 <pt<30 	3<chiso range<8 	116.148	26.2107	0.225666	0.328209	0.0498049	2.05889
25 <pt<30 	3<chiso range<9 	116.148	26.2107	0.225666	0.302443	0.0460507	1.66722
25 <pt<30 	3<chiso range<10 	116.148	26.2107	0.225666	0.296784	0.045137	1.57559
25 <pt<30 	3<chiso range<11 	116.148	26.2107	0.225666	0.290563	0.0442543	1.46645
25 <pt<30 	3<chiso range<12 	116.148	26.2107	0.225666	0.286789	0.0435796	1.40255
25 <pt<30 	3<chiso range<13 	116.148	26.2107	0.225666	0.288155	0.0436992	1.42997
25 <pt<30 	4<chiso range<9 	116.148	26.2107	0.225666	0.284659	0.043336	1.36128
25 <pt<30 	4<chiso range<10 	116.148	26.2107	0.225666	0.280356	0.0426094	1.28351
25 <pt<30 	4<chiso range<11 	116.148	26.2107	0.225666	0.274909	0.041833	1.17712
25 <pt<30 	4<chiso range<12 	116.148	26.2107	0.225666	0.27216	0.0413203	1.1252
25 <pt<30 	4<chiso range<13 	116.148	26.2107	0.225666	0.274865	0.0416405	1.18151
25 <pt<30 	5<chiso range<10 	116.148	26.2107	0.225666	0.269653	0.0409599	1.07389
25 <pt<30 	5<chiso range<11 	116.148	26.2107	0.225666	0.265001	0.0403131	0.975728
25 <pt<30 	5<chiso range<12 	116.148	26.2107	0.225666	0.262888	0.0398881	0.933151
