pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	211.239	59.2399	75.7451	77.086	118.208	2.19017	2.53487
20 <pt<25 	3<chiso range<9 	211.239	59.2399	75.7451	71.0992	123.317	1.58671	2.91307
20 <pt<25 	3<chiso range<10 	211.239	59.2399	75.7451	72.3983	122.221	1.72564	2.82848
20 <pt<25 	3<chiso range<11 	211.239	59.2399	75.7451	69.2349	124.915	1.37533	3.03392
20 <pt<25 	3<chiso range<12 	211.239	59.2399	75.7451	70.4403	124.349	1.50769	2.97683
20 <pt<25 	3<chiso range<13 	211.239	59.2399	75.7451	67.7253	127.034	1.18787	3.17237
20 <pt<25 	4<chiso range<9 	211.239	59.2399	75.7451	66.3803	128.339	1.02019	3.26993
20 <pt<25 	4<chiso range<10 	211.239	59.2399	75.7451	68.4905	126.505	1.27898	3.12931
20 <pt<25 	4<chiso range<11 	211.239	59.2399	75.7451	65.4305	128.985	0.899951	3.32862
20 <pt<25 	4<chiso range<12 	211.239	59.2399	75.7451	67.0824	128.046	1.10593	3.23903
20 <pt<25 	4<chiso range<13 	211.239	59.2399	75.7451	64.3562	130.747	0.752419	3.4419
20 <pt<25 	5<chiso range<10 	211.239	59.2399	75.7451	62.005	132.62	0.423587	3.5956
20 <pt<25 	5<chiso range<11 	211.239	59.2399	75.7451	59.5595	134.479	0.0512	3.75625
20 <pt<25 	5<chiso range<12 	211.239	59.2399	75.7451	61.9732	132.905	0.418153	3.61015
20 <pt<25 	5<chiso range<13 	211.239	59.2399	75.7451	59.5004	135.365	0.0415217	3.80045
20 <pt<25 	6<chiso range<11 	211.239	59.2399	75.7451	56.9135	136.742	0.391104	3.94386
20 <pt<25 	6<chiso range<12 	211.239	59.2399	75.7451	59.9927	134.635	0.11917	3.74961
20 <pt<25 	6<chiso range<13 	211.239	59.2399	75.7451	57.4407	137.219	0.297483	3.95043
20 <pt<25 	7<chiso range<12 	211.239	59.2399	75.7451	61.9937	133.118	0.4213	3.62782
20 <pt<25 	7<chiso range<13 	211.239	59.2399	75.7451	58.6111	136.511	0.10183	3.89273
20 <pt<25 	8<chiso range<13 	211.239	59.2399	75.7451	56.6091	138.194	0.443023	4.04252
#######################################################################################
25 <pt<30 	3<chiso range<8 	116.321	26.3814	45.9847	32.7319	77.2168	1.13405	2.56104
25 <pt<30 	3<chiso range<9 	116.321	26.3814	45.9847	29.8061	80.4264	0.667917	2.87902
25 <pt<30 	3<chiso range<10 	116.321	26.3814	45.9847	29.3391	80.7629	0.587268	2.92011
