pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	36.063	38.7415	4.66543	0.574116
20 <pt<25 	3<chiso range<9 	36.063	37.7934	4.54646	0.380604
20 <pt<25 	3<chiso range<10 	36.063	37.9772	4.5733	0.41856
20 <pt<25 	3<chiso range<11 	36.063	35.5161	4.2736	0.127972
20 <pt<25 	3<chiso range<12 	36.063	34.4546	4.14559	0.387979
20 <pt<25 	3<chiso range<13 	36.063	33.0498	3.97567	0.75791
20 <pt<25 	4<chiso range<9 	36.063	38.7355	4.67441	0.57173
20 <pt<25 	4<chiso range<10 	36.063	38.8481	4.69272	0.593494
20 <pt<25 	4<chiso range<11 	36.063	35.8263	4.32208	0.0547653
20 <pt<25 	4<chiso range<12 	36.063	34.5593	4.16753	0.360813
20 <pt<25 	4<chiso range<13 	36.063	32.9336	3.96981	0.7883
20 <pt<25 	5<chiso range<10 	36.063	38.9422	4.74251	0.607105
20 <pt<25 	5<chiso range<11 	36.063	35.0616	4.25661	0.235258
20 <pt<25 	5<chiso range<12 	36.063	33.5882	4.07163	0.607816
20 <pt<25 	5<chiso range<13 	36.063	31.6596	3.83396	1.14853
20 <pt<25 	6<chiso range<11 	36.063	35.3596	4.31158	0.163142
20 <pt<25 	6<chiso range<12 	36.063	33.47	4.06999	0.637102
20 <pt<25 	6<chiso range<13 	36.063	31.1121	3.77722	1.31073
20 <pt<25 	7<chiso range<12 	36.063	30.7323	3.71677	1.43423
20 <pt<25 	7<chiso range<13 	36.063	28.2404	3.41124	2.29318
20 <pt<25 	8<chiso range<13 	36.063	24.5523	2.94984	3.90214
#######################################################################################
25 <pt<30 	3<chiso range<8 	17.3003	17.0097	3.21762	0.0903152
25 <pt<30 	3<chiso range<9 	17.3003	16.7487	3.16097	0.174503
25 <pt<30 	3<chiso range<10 	17.3003	17.4101	3.2709	0.0335687
25 <pt<30 	3<chiso range<11 	17.3003	17.2202	3.2423	0.0247047
25 <pt<30 	3<chiso range<12 	17.3003	16.3837	3.07626	0.297959
25 <pt<30 	3<chiso range<13 	17.3003	15.9505	2.98826	0.451701
25 <pt<30 	4<chiso range<9 	17.3003	15.5791	2.95656	0.582163
25 <pt<30 	4<chiso range<10 	17.3003	16.5753	3.12454	0.232034
25 <pt<30 	4<chiso range<11 	17.3003	16.4295	3.10466	0.280482
25 <pt<30 	4<chiso range<12 	17.3003	15.5157	2.92034	0.611093
25 <pt<30 	4<chiso range<13 	17.3003	15.0696	2.82783	0.788838
25 <pt<30 	5<chiso range<10 	17.3003	16.9694	3.18896	0.103764
