pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	43.4777	40.8137	10.682	0.249391
20  <pt<25 	3<chiso range<9 	43.4777	41.6733	10.6042	0.170159
20  <pt<25 	3<chiso range<10 	43.4777	41.5659	10.6282	0.17988
20  <pt<25 	3<chiso range<11 	43.4777	43.9224	10.4516	0.0425485
20  <pt<25 	3<chiso range<12 	43.4777	44.9657	10.3801	0.143351
20  <pt<25 	3<chiso range<13 	43.4777	46.3396	10.2859	0.278235
20  <pt<25 	4<chiso range<9 	43.4777	40.9667	10.7043	0.234579
20  <pt<25 	4<chiso range<10 	43.4777	40.927	10.7233	0.237865
20  <pt<25 	4<chiso range<11 	43.4777	43.7991	10.4999	0.0306098
20  <pt<25 	4<chiso range<12 	43.4777	45.0214	10.4104	0.148284
20  <pt<25 	4<chiso range<13 	43.4777	46.6	10.2995	0.303151
20  <pt<25 	5<chiso range<10 	43.4777	41.393	10.8197	0.192676
20  <pt<25 	5<chiso range<11 	43.4777	44.9906	10.515	0.14388
20  <pt<25 	5<chiso range<12 	43.4777	46.3423	10.4008	0.275421
20  <pt<25 	5<chiso range<13 	43.4777	48.1812	10.2653	0.458194
20  <pt<25 	6<chiso range<11 	43.4777	44.9958	10.5813	0.14347
20  <pt<25 	6<chiso range<12 	43.4777	46.6729	10.4254	0.306482
20  <pt<25 	6<chiso range<13 	43.4777	48.8967	10.2563	0.528358
20  <pt<25 	7<chiso range<12 	43.4777	49.0074	10.1936	0.542468
20  <pt<25 	7<chiso range<13 	43.4777	51.3921	10.0295	0.789112
20  <pt<25 	8<chiso range<13 	43.4777	54.6764	9.76806	1.14646
#######################################################################################
25  <pt<30 	3<chiso range<8 	29.762	29.8233	7.91271	0.00774703
25  <pt<30 	3<chiso range<9 	29.762	30.0114	7.87125	0.0316849
25  <pt<30 	3<chiso range<10 	29.762	29.2259	7.90637	0.0678061
25  <pt<30 	3<chiso range<11 	29.762	29.4789	7.90221	0.0358254
25  <pt<30 	3<chiso range<12 	29.762	30.2153	7.80143	0.0581047
25  <pt<30 	3<chiso range<13 	29.762	30.573	7.74521	0.10471
25  <pt<30 	4<chiso range<9 	29.762	31.3262	7.7938	0.200698
25  <pt<30 	4<chiso range<10 	29.762	30.1451	7.8464	0.0488249
25  <pt<30 	4<chiso range<11 	29.762	30.3626	7.84834	0.0765257
25  <pt<30 	4<chiso range<12 	29.762	31.1402	7.73465	0.178185
25  <pt<30 	4<chiso range<13 	29.762	31.4899	7.6736	0.225175
25  <pt<30 	5<chiso range<10 	29.762	29.6644	7.86444	0.0124103
25  <pt<30 	5<chiso range<11 	29.762	29.9864	7.86392	0.0285354
25  <pt<30 	5<chiso range<12 	29.762	30.9698	7.72742	0.156301
25  <pt<30 	5<chiso range<13 	29.762	31.4011	7.65753	0.214051
25  <pt<30 	6<chiso range<11 	29.762	30.0968	7.93144	0.0422118
25  <pt<30 	6<chiso range<12 	29.762	31.2166	7.75615	0.187541
25  <pt<30 	6<chiso range<13 	29.762	31.6802	7.6708	0.250065
25  <pt<30 	7<chiso range<12 	29.762	32.0223	7.63392	0.296086
25  <pt<30 	7<chiso range<13 	29.762	32.482	7.55494	0.360029
25  <pt<30 	8<chiso range<13 	29.762	32.0302	7.49868	0.30248
#######################################################################################
30  <pt<35 	3<chiso range<8 	19.0188	20.174	5.86698	0.196899
30  <pt<35 	3<chiso range<9 	19.0188	20.436	5.84048	0.242651
30  <pt<35 	3<chiso range<10 	19.0188	20.448	5.85267	0.244196
30  <pt<35 	3<chiso range<11 	19.0188	20.2408	5.89471	0.207305
30  <pt<35 	3<chiso range<12 	19.0188	20.3941	5.88832	0.233564
30  <pt<35 	3<chiso range<13 	19.0188	20.4362	5.85221	0.242199
30  <pt<35 	4<chiso range<9 	19.0188	20.7288	5.84051	0.292783
30  <pt<35 	4<chiso range<10 	19.0188	20.7189	5.85684	0.290276
30  <pt<35 	4<chiso range<11 	19.0188	20.4466	5.91	0.241591
30  <pt<35 	4<chiso range<12 	19.0188	20.622	5.90149	0.27166
30  <pt<35 	4<chiso range<13 	19.0188	20.6404	5.85506	0.276957
30  <pt<35 	5<chiso range<10 	19.0188	20.3752	5.92269	0.229018
30  <pt<35 	5<chiso range<11 	19.0188	20.083	5.98518	0.177806
30  <pt<35 	5<chiso range<12 	19.0188	20.336	5.96686	0.220753
30  <pt<35 	5<chiso range<13 	19.0188	20.3722	5.90169	0.229324
30  <pt<35 	6<chiso range<11 	19.0188	20.5599	6.02787	0.255662
30  <pt<35 	6<chiso range<12 	19.0188	20.8185	6.00084	0.299908
30  <pt<35 	6<chiso range<13 	19.0188	20.7541	5.91198	0.293523
30  <pt<35 	7<chiso range<12 	19.0188	21.4202	5.87155	0.408989
30  <pt<35 	7<chiso range<13 	19.0188	21.3058	5.79297	0.394789
30  <pt<35 	8<chiso range<13 	19.0188	20.8945	5.82946	0.321762
#######################################################################################
