pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	79.6656	36.063	43.4777	38.7415	40.8137	0.574116	0.249391
20 <pt<25 	3<chiso range<9 	79.6656	36.063	43.4777	37.7934	41.6733	0.380604	0.170159
20 <pt<25 	3<chiso range<10 	79.6656	36.063	43.4777	37.9772	41.5659	0.41856	0.17988
20 <pt<25 	3<chiso range<11 	79.6656	36.063	43.4777	35.5161	43.9224	0.127972	0.0425485
20 <pt<25 	3<chiso range<12 	79.6656	36.063	43.4777	34.4546	44.9657	0.387979	0.143351
20 <pt<25 	3<chiso range<13 	79.6656	36.063	43.4777	33.0498	46.3396	0.75791	0.278235
20 <pt<25 	4<chiso range<9 	79.6656	36.063	43.4777	38.7355	40.9667	0.57173	0.234579
20 <pt<25 	4<chiso range<10 	79.6656	36.063	43.4777	38.8481	40.927	0.593494	0.237865
20 <pt<25 	4<chiso range<11 	79.6656	36.063	43.4777	35.8263	43.7991	0.0547653	0.0306098
20 <pt<25 	4<chiso range<12 	79.6656	36.063	43.4777	34.5593	45.0214	0.360813	0.148284
20 <pt<25 	4<chiso range<13 	79.6656	36.063	43.4777	32.9336	46.6	0.7883	0.303151
20 <pt<25 	5<chiso range<10 	79.6656	36.063	43.4777	38.9422	41.393	0.607105	0.192676
20 <pt<25 	5<chiso range<11 	79.6656	36.063	43.4777	35.0616	44.9906	0.235258	0.14388
20 <pt<25 	5<chiso range<12 	79.6656	36.063	43.4777	33.5882	46.3423	0.607816	0.275421
20 <pt<25 	5<chiso range<13 	79.6656	36.063	43.4777	31.6596	48.1812	1.14853	0.458194
20 <pt<25 	6<chiso range<11 	79.6656	36.063	43.4777	35.3596	44.9958	0.163142	0.14347
20 <pt<25 	6<chiso range<12 	79.6656	36.063	43.4777	33.47	46.6729	0.637102	0.306482
20 <pt<25 	6<chiso range<13 	79.6656	36.063	43.4777	31.1121	48.8967	1.31073	0.528358
20 <pt<25 	7<chiso range<12 	79.6656	36.063	43.4777	30.7323	49.0074	1.43423	0.542468
20 <pt<25 	7<chiso range<13 	79.6656	36.063	43.4777	28.2404	51.3921	2.29318	0.789112
20 <pt<25 	8<chiso range<13 	79.6656	36.063	43.4777	24.5523	54.6764	3.90214	1.14646
#######################################################################################
25 <pt<30 	3<chiso range<8 	47.1372	17.3003	29.762	17.0097	29.8233	0.0903152	0.00774703
25 <pt<30 	3<chiso range<9 	47.1372	17.3003	29.762	16.7487	30.0114	0.174503	0.0316849
25 <pt<30 	3<chiso range<10 	47.1372	17.3003	29.762	17.4101	29.2259	0.0335687	0.0678061
25 <pt<30 	3<chiso range<11 	47.1372	17.3003	29.762	17.2202	29.4789	0.0247047	0.0358254
25 <pt<30 	3<chiso range<12 	47.1372	17.3003	29.762	16.3837	30.2153	0.297959	0.0581047
25 <pt<30 	3<chiso range<13 	47.1372	17.3003	29.762	15.9505	30.573	0.451701	0.10471
25 <pt<30 	4<chiso range<9 	47.1372	17.3003	29.762	15.5791	31.3262	0.582163	0.200698
25 <pt<30 	4<chiso range<10 	47.1372	17.3003	29.762	16.5753	30.1451	0.232034	0.0488249
25 <pt<30 	4<chiso range<11 	47.1372	17.3003	29.762	16.4295	30.3626	0.280482	0.0765257
25 <pt<30 	4<chiso range<12 	47.1372	17.3003	29.762	15.5157	31.1402	0.611093	0.178185
25 <pt<30 	4<chiso range<13 	47.1372	17.3003	29.762	15.0696	31.4899	0.788838	0.225175
25 <pt<30 	5<chiso range<10 	47.1372	17.3003	29.762	16.9694	29.6644	0.103764	0.0124103
25 <pt<30 	5<chiso range<11 	47.1372	17.3003	29.762	16.7425	29.9864	0.176709	0.0285354
25 <pt<30 	5<chiso range<12 	47.1372	17.3003	29.762	15.612	30.9698	0.575993	0.156301
25 <pt<30 	5<chiso range<13 	47.1372	17.3003	29.762	15.0793	31.4011	0.78698	0.214051
25 <pt<30 	6<chiso range<11 	47.1372	17.3003	29.762	16.8685	30.0968	0.134676	0.0422118
25 <pt<30 	6<chiso range<12 	47.1372	17.3003	29.762	15.5246	31.2166	0.605826	0.187541
25 <pt<30 	6<chiso range<13 	47.1372	17.3003	29.762	14.9199	31.6802	0.848848	0.250065
25 <pt<30 	7<chiso range<12 	47.1372	17.3003	29.762	14.555	32.0223	1.0041	0.296086
