pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	79.6656	36.063	0.45268	0.612419	0.0711194	2.24607
20 <pt<25 	3<chiso range<9 	79.6656	36.063	0.45268	0.597928	0.0694788	2.09054
20 <pt<25 	3<chiso range<10 	79.6656	36.063	0.45268	0.601149	0.0698438	2.12573
20 <pt<25 	3<chiso range<11 	79.6656	36.063	0.45268	0.564925	0.0657192	1.70795
20 <pt<25 	3<chiso range<12 	79.6656	36.063	0.45268	0.548946	0.063888	1.5068
20 <pt<25 	3<chiso range<13 	79.6656	36.063	0.45268	0.527681	0.0614448	1.22063
20 <pt<25 	4<chiso range<9 	79.6656	36.063	0.45268	0.613449	0.0712453	2.25656
20 <pt<25 	4<chiso range<10 	79.6656	36.063	0.45268	0.615651	0.0714986	2.27936
20 <pt<25 	4<chiso range<11 	79.6656	36.063	0.45268	0.570855	0.0664079	1.77954
20 <pt<25 	4<chiso range<12 	79.6656	36.063	0.45268	0.551599	0.0642013	1.54077
20 <pt<25 	4<chiso range<13 	79.6656	36.063	0.45268	0.526873	0.0613597	1.20915
20 <pt<25 	5<chiso range<10 	79.6656	36.063	0.45268	0.621679	0.0722905	2.33778
20 <pt<25 	5<chiso range<11 	79.6656	36.063	0.45268	0.562401	0.0654631	1.67608
20 <pt<25 	5<chiso range<12 	79.6656	36.063	0.45268	0.539377	0.0628163	1.38017
20 <pt<25 	5<chiso range<13 	79.6656	36.063	0.45268	0.509619	0.059388	0.958768
20 <pt<25 	6<chiso range<11 	79.6656	36.063	0.45268	0.569035	0.0662375	1.75664
20 <pt<25 	6<chiso range<12 	79.6656	36.063	0.45268	0.53903	0.0627866	1.3753
20 <pt<25 	6<chiso range<13 	79.6656	36.063	0.45268	0.502376	0.0585605	0.848632
20 <pt<25 	7<chiso range<12 	79.6656	36.063	0.45268	0.494909	0.0576867	0.732046
20 <pt<25 	7<chiso range<13 	79.6656	36.063	0.45268	0.456278	0.0532176	0.0676148
20 <pt<25 	8<chiso range<13 	79.6656	36.063	0.45268	0.397442	0.0463833	1.1909
#######################################################################################
25 <pt<30 	3<chiso range<8 	47.1372	17.3003	0.36702	0.500062	0.0910984	1.46042
25 <pt<30 	3<chiso range<9 	47.1372	17.3003	0.36702	0.491705	0.0895887	1.39175
25 <pt<30 	3<chiso range<10 	47.1372	17.3003	0.36702	0.508299	0.0925185	1.52703
25 <pt<30 	3<chiso range<11 	47.1372	17.3003	0.36702	0.503956	0.0917604	1.49232
25 <pt<30 	3<chiso range<12 	47.1372	17.3003	0.36702	0.479236	0.0873199	1.28511
25 <pt<30 	3<chiso range<13 	47.1372	17.3003	0.36702	0.466121	0.0849542	1.16652
25 <pt<30 	4<chiso range<9 	47.1372	17.3003	0.36702	0.460922	0.0841082	1.11644
25 <pt<30 	4<chiso range<10 	47.1372	17.3003	0.36702	0.486299	0.0886119	1.34608
25 <pt<30 	4<chiso range<11 	47.1372	17.3003	0.36702	0.483246	0.0880831	1.3195
25 <pt<30 	4<chiso range<12 	47.1372	17.3003	0.36702	0.455762	0.0831251	1.06757
25 <pt<30 	4<chiso range<13 	47.1372	17.3003	0.36702	0.441988	0.0806338	0.929733
25 <pt<30 	5<chiso range<10 	47.1372	17.3003	0.36702	0.496031	0.09033	1.42822
25 <pt<30 	5<chiso range<11 	47.1372	17.3003	0.36702	0.491085	0.0894701	1.38666
25 <pt<30 	5<chiso range<12 	47.1372	17.3003	0.36702	0.457467	0.0834145	1.08431
25 <pt<30 	5<chiso range<13 	47.1372	17.3003	0.36702	0.441233	0.0804808	0.922119
25 <pt<30 	6<chiso range<11 	47.1372	17.3003	0.36702	0.4981	0.0907736	1.44403
25 <pt<30 	6<chiso range<12 	47.1372	17.3003	0.36702	0.457193	0.0833955	1.08127
25 <pt<30 	6<chiso range<13 	47.1372	17.3003	0.36702	0.438337	0.0799816	0.891666
25 <pt<30 	7<chiso range<12 	47.1372	17.3003	0.36702	0.427796	0.0780791	0.778389
