pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	36.063	35.4019	3.90187	0.169432
20 <pt<25 	3<chiso range<9 	36.063	34.5642	3.81211	0.393168
20 <pt<25 	3<chiso range<10 	36.063	34.7504	3.83208	0.342529
20 <pt<25 	3<chiso range<11 	36.063	32.6565	3.60628	0.944602
20 <pt<25 	3<chiso range<12 	36.063	31.7328	3.50597	1.23509
20 <pt<25 	3<chiso range<13 	36.063	30.5035	3.37208	1.64869
20 <pt<25 	4<chiso range<9 	36.063	35.4615	3.90881	0.153883
20 <pt<25 	4<chiso range<10 	36.063	35.5888	3.92269	0.120886
20 <pt<25 	4<chiso range<11 	36.063	32.9993	3.64407	0.840736
20 <pt<25 	4<chiso range<12 	36.063	31.8861	3.52319	1.18554
20 <pt<25 	4<chiso range<13 	36.063	30.4568	3.36747	1.66481
20 <pt<25 	5<chiso range<10 	36.063	35.9372	3.96669	0.0317141
20 <pt<25 	5<chiso range<11 	36.063	32.5105	3.59246	0.988877
20 <pt<25 	5<chiso range<12 	36.063	31.1796	3.44741	1.41654
20 <pt<25 	5<chiso range<13 	36.063	29.4594	3.25948	2.02597
20 <pt<25 	6<chiso range<11 	36.063	32.8941	3.63497	0.871782
20 <pt<25 	6<chiso range<12 	36.063	31.1596	3.44584	1.42299
20 <pt<25 	6<chiso range<13 	36.063	29.0407	3.21417	2.18479
20 <pt<25 	7<chiso range<12 	36.063	28.6091	3.16619	2.35422
20 <pt<25 	7<chiso range<13 	36.063	26.376	2.9211	3.31622
20 <pt<25 	8<chiso range<13 	36.063	22.9748	2.54613	5.14043
#######################################################################################
25 <pt<30 	3<chiso range<8 	17.3003	15.6916	2.75467	0.58399
25 <pt<30 	3<chiso range<9 	17.3003	15.4294	2.70904	0.690614
25 <pt<30 	3<chiso range<10 	17.3003	15.9501	2.79742	0.482659
25 <pt<30 	3<chiso range<11 	17.3003	15.8139	2.77457	0.535723
25 <pt<30 	3<chiso range<12 	17.3003	15.0381	2.64044	0.856751
25 <pt<30 	3<chiso range<13 	17.3003	14.6266	2.56896	1.04077
25 <pt<30 	4<chiso range<9 	17.3003	14.4635	2.54362	1.11526
25 <pt<30 	4<chiso range<10 	17.3003	15.2598	2.67952	0.761517
25 <pt<30 	4<chiso range<11 	17.3003	15.164	2.6636	0.802035
25 <pt<30 	4<chiso range<12 	17.3003	14.3016	2.51379	1.1929
25 <pt<30 	4<chiso range<13 	17.3003	13.8693	2.4385	1.40701
25 <pt<30 	5<chiso range<10 	17.3003	15.5651	2.73135	0.63529
25 <pt<30 	5<chiso range<11 	17.3003	15.41	2.70544	0.698703
25 <pt<30 	5<chiso range<12 	17.3003	14.3551	2.52249	1.16758
25 <pt<30 	5<chiso range<13 	17.3003	13.8456	2.43384	1.41944
25 <pt<30 	6<chiso range<11 	17.3003	15.6301	2.74492	0.608469
25 <pt<30 	6<chiso range<12 	17.3003	14.3464	2.52199	1.17126
25 <pt<30 	6<chiso range<13 	17.3003	13.7548	2.41881	1.4658
25 <pt<30 	7<chiso range<12 	17.3003	13.424	2.36132	1.64158
25 <pt<30 	7<chiso range<13 	17.3003	12.8535	2.26146	1.96634
25 <pt<30 	8<chiso range<13 	17.3003	12.8423	2.2573	1.97493
#######################################################################################
30 <pt<35 	3<chiso range<8 	9.41484	7.69882	1.8614	0.921897
30 <pt<35 	3<chiso range<9 	9.41484	7.46548	1.8064	1.07914
30 <pt<35 	3<chiso range<10 	9.41484	7.50062	1.81511	1.0546
30 <pt<35 	3<chiso range<11 	9.41484	7.75684	1.87618	0.883711
30 <pt<35 	3<chiso range<12 	9.41484	7.65153	1.85164	0.952296
30 <pt<35 	3<chiso range<13 	9.41484	7.50556	1.81623	1.05123
30 <pt<35 	4<chiso range<9 	9.41484	7.30433	1.7692	1.19292
30 <pt<35 	4<chiso range<10 	9.41484	7.36613	1.7843	1.14819
30 <pt<35 	4<chiso range<11 	9.41484	7.69749	1.86333	0.921656
30 <pt<35 	4<chiso range<12 	9.41484	7.57276	1.83417	1.00431
30 <pt<35 	4<chiso range<13 	9.41484	7.40327	1.79279	1.12203
30 <pt<35 	5<chiso range<10 	9.41484	7.77988	1.88294	0.868302
30 <pt<35 	5<chiso range<11 	9.41484	8.14855	1.97056	0.642604
30 <pt<35 	5<chiso range<12 	9.41484	7.95128	1.92449	0.760492
30 <pt<35 	5<chiso range<13 	9.41484	7.70985	1.86578	0.913822
30 <pt<35 	6<chiso range<11 	9.41484	8.04101	1.94816	0.705194
30 <pt<35 	6<chiso range<12 	9.41484	7.80988	1.89373	0.847513
30 <pt<35 	6<chiso range<13 	9.41484	7.53695	1.82643	1.02818
30 <pt<35 	7<chiso range<12 	9.41484	7.03442	1.70819	1.39353
30 <pt<35 	7<chiso range<13 	9.41484	6.82307	1.6554	1.56565
30 <pt<35 	8<chiso range<13 	9.41484	7.1746	1.73865	1.28849
#######################################################################################
35 <pt<60 	3<chiso range<8 	13.0035	9.12978	2.14076	1.80951
35 <pt<60 	3<chiso range<9 	13.0035	9.0988	2.13341	1.83026
35 <pt<60 	3<chiso range<10 	13.0035	8.70263	2.04055	2.1077
35 <pt<60 	3<chiso range<11 	13.0035	8.529	1.99992	2.23734
35 <pt<60 	3<chiso range<12 	13.0035	8.954	2.09935	1.92893
35 <pt<60 	3<chiso range<13 	13.0035	8.98108	2.10513	1.91077
35 <pt<60 	4<chiso range<9 	13.0035	9.12923	2.14037	1.81009
35 <pt<60 	4<chiso range<10 	13.0035	8.65462	2.02917	2.14318
35 <pt<60 	4<chiso range<11 	13.0035	8.45821	1.98322	2.29187
35 <pt<60 	4<chiso range<12 	13.0035	8.95291	2.09897	1.9298
35 <pt<60 	4<chiso range<13 	13.0035	8.98386	2.10558	1.90904
35 <pt<60 	5<chiso range<10 	13.0035	8.44833	1.98083	2.29963
35 <pt<60 	5<chiso range<11 	13.0035	8.23822	1.93157	2.46705
35 <pt<60 	5<chiso range<12 	13.0035	8.85256	2.07534	2.00013
35 <pt<60 	5<chiso range<13 	13.0035	8.89682	2.08499	1.96964
35 <pt<60 	6<chiso range<11 	13.0035	8.13543	1.9082	2.55113
35 <pt<60 	6<chiso range<12 	13.0035	8.86875	2.07998	1.98788
35 <pt<60 	6<chiso range<13 	13.0035	8.91887	2.09077	1.95365
35 <pt<60 	7<chiso range<12 	13.0035	9.17919	2.15286	1.77639
35 <pt<60 	7<chiso range<13 	13.0035	9.20696	2.15811	1.7592
35 <pt<60 	8<chiso range<13 	13.0035	8.77095	2.05494	2.0597
#######################################################################################
60 <pt<400 	3<chiso range<8 	2.82511	3.54129	1.76983	0.40466
60 <pt<400 	3<chiso range<9 	2.82511	2.93118	1.46806	0.0722518
60 <pt<400 	3<chiso range<10 	2.82511	2.83134	1.41769	0.00439447
60 <pt<400 	3<chiso range<11 	2.82511	2.85429	1.429	0.0204199
60 <pt<400 	3<chiso range<12 	2.82511	2.83024	1.41713	0.00361999
60 <pt<400 	3<chiso range<13 	2.82511	3.08571	1.5431	0.168881
60 <pt<400 	4<chiso range<9 	2.82511	2.34098	1.17556	0.411829
60 <pt<400 	4<chiso range<10 	2.82511	2.36502	1.18663	0.387728
60 <pt<400 	4<chiso range<11 	2.82511	2.44354	1.22557	0.311341
60 <pt<400 	4<chiso range<12 	2.82511	2.47595	1.24167	0.281202
60 <pt<400 	4<chiso range<13 	2.82511	2.76734	1.38586	0.0416853
60 <pt<400 	5<chiso range<10 	2.82511	2.71058	1.35842	0.0843112
60 <pt<400 	5<chiso range<11 	2.82511	2.75599	1.38078	0.0500587
60 <pt<400 	5<chiso range<12 	2.82511	2.74263	1.37413	0.0600234
60 <pt<400 	5<chiso range<13 	2.82511	3.05603	1.52879	0.151048
60 <pt<400 	6<chiso range<11 	2.82511	2.50273	1.25432	0.257016
60 <pt<400 	6<chiso range<12 	2.82511	2.5327	1.2693	0.230371
60 <pt<400 	6<chiso range<13 	2.82511	2.8858	1.44384	0.0420337
60 <pt<400 	7<chiso range<12 	2.82511	2.79559	1.39913	0.0210988
60 <pt<400 	7<chiso range<13 	2.82511	3.1696	1.58346	0.217555
60 <pt<400 	8<chiso range<13 	2.82511	2.71485	1.35924	0.0811189
#######################################################################################
