pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	79.6656	36.063	22.6124	35.4019	22.3544	0.169432	0.0300982
20 <pt<25 	3<chiso range<9 	79.6656	36.063	22.6124	34.5642	23.2076	0.393168	0.0697774
20 <pt<25 	3<chiso range<10 	79.6656	36.063	22.6124	34.7504	23.0193	0.342529	0.0476471
20 <pt<25 	3<chiso range<11 	79.6656	36.063	22.6124	32.6565	25.1471	0.944602	0.300339
20 <pt<25 	3<chiso range<12 	79.6656	36.063	22.6124	31.7328	26.0797	1.23509	0.412954
20 <pt<25 	3<chiso range<13 	79.6656	36.063	22.6124	30.5035	27.3179	1.64869	0.564187
20 <pt<25 	4<chiso range<9 	79.6656	36.063	22.6124	35.4615	22.3051	0.153883	0.0358284
20 <pt<25 	4<chiso range<10 	79.6656	36.063	22.6124	35.5888	22.1804	0.120886	0.0503243
20 <pt<25 	4<chiso range<11 	79.6656	36.063	22.6124	32.9993	24.8142	0.840736	0.260317
20 <pt<25 	4<chiso range<12 	79.6656	36.063	22.6124	31.8861	25.9371	1.18554	0.395533
20 <pt<25 	4<chiso range<13 	79.6656	36.063	22.6124	30.4568	27.3762	1.66481	0.571182
20 <pt<25 	5<chiso range<10 	79.6656	36.063	22.6124	35.9372	21.957	0.0317141	0.0760808
20 <pt<25 	5<chiso range<11 	79.6656	36.063	22.6124	32.5105	25.3384	0.988877	0.322966
20 <pt<25 	5<chiso range<12 	79.6656	36.063	22.6124	31.1796	26.6746	1.41654	0.484885
20 <pt<25 	5<chiso range<13 	79.6656	36.063	22.6124	29.4594	28.402	2.02597	0.697534
20 <pt<25 	6<chiso range<11 	79.6656	36.063	22.6124	32.8941	24.9702	0.871782	0.278628
20 <pt<25 	6<chiso range<12 	79.6656	36.063	22.6124	31.1596	26.7089	1.42299	0.488884
20 <pt<25 	6<chiso range<13 	79.6656	36.063	22.6124	29.0407	28.8344	2.18479	0.751089
20 <pt<25 	7<chiso range<12 	79.6656	36.063	22.6124	28.6091	29.2499	2.35422	0.803358
20 <pt<25 	7<chiso range<13 	79.6656	36.063	22.6124	26.376	31.4848	3.31622	1.08616
20 <pt<25 	8<chiso range<13 	79.6656	36.063	22.6124	22.9748	34.8638	5.14043	1.52477
#######################################################################################
25 <pt<30 	3<chiso range<8 	47.1372	17.3003	14.7097	15.6916	15.7235	0.58399	0.16221
25 <pt<30 	3<chiso range<9 	47.1372	17.3003	14.7097	15.4294	15.98	0.690614	0.20396
25 <pt<30 	3<chiso range<10 	47.1372	17.3003	14.7097	15.9501	15.4464	0.482659	0.11759
