pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	35.347	12.4715	0.352831	0.419091	0.108875	0.608592
20 <pt<25 	3<chiso range<9 	35.347	12.4715	0.352831	0.35743	0.092819	0.0495533
20 <pt<25 	3<chiso range<10 	35.347	12.4715	0.352831	0.356217	0.0925717	0.0365824
20 <pt<25 	3<chiso range<11 	35.347	12.4715	0.352831	0.336658	0.0873662	0.185112
20 <pt<25 	3<chiso range<12 	35.347	12.4715	0.352831	0.315353	0.0814271	0.460258
20 <pt<25 	3<chiso range<13 	35.347	12.4715	0.352831	0.311379	0.0805108	0.514857
20 <pt<25 	4<chiso range<9 	35.347	12.4715	0.352831	0.35788	0.094014	0.05371
20 <pt<25 	4<chiso range<10 	35.347	12.4715	0.352831	0.356085	0.093592	0.0347732
20 <pt<25 	4<chiso range<11 	35.347	12.4715	0.352831	0.33313	0.0872181	0.225876
20 <pt<25 	4<chiso range<12 	35.347	12.4715	0.352831	0.309289	0.0802901	0.542302
20 <pt<25 	4<chiso range<13 	35.347	12.4715	0.352831	0.304797	0.0792551	0.606062
20 <pt<25 	5<chiso range<10 	35.347	12.4715	0.352831	0.276805	0.0735481	1.03368
20 <pt<25 	5<chiso range<11 	35.347	12.4715	0.352831	0.260921	0.0689371	1.33324
20 <pt<25 	5<chiso range<12 	35.347	12.4715	0.352831	0.245459	0.0641855	1.67283
20 <pt<25 	5<chiso range<13 	35.347	12.4715	0.352831	0.242825	0.0635906	1.7299
20 <pt<25 	6<chiso range<11 	35.347	12.4715	0.352831	0.296248	0.0780057	0.725364
20 <pt<25 	6<chiso range<12 	35.347	12.4715	0.352831	0.268053	0.0697591	1.21529
20 <pt<25 	6<chiso range<13 	35.347	12.4715	0.352831	0.263615	0.0687318	1.29802
20 <pt<25 	7<chiso range<12 	35.347	12.4715	0.352831	0.222421	0.0574647	2.26938
20 <pt<25 	7<chiso range<13 	35.347	12.4715	0.352831	0.219871	0.0569528	2.33456
20 <pt<25 	8<chiso range<13 	35.347	12.4715	0.352831	0.176176	0.0452646	3.90271
#######################################################################################
25 <pt<30 	3<chiso range<8 	19.8343	4.98936	0.251552	0.259349	0.0958788	0.0813203
