pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	12.4715	14.7223	3.78819	0.594162
20 <pt<25 	3<chiso range<9 	12.4715	12.5562	3.22952	0.0262268
20 <pt<25 	3<chiso range<10 	12.4715	12.5136	3.22096	0.0130706
20 <pt<25 	3<chiso range<11 	12.4715	11.8265	3.03975	0.212189
20 <pt<25 	3<chiso range<12 	12.4715	11.0781	2.83283	0.491876
20 <pt<25 	3<chiso range<13 	12.4715	10.9384	2.80103	0.547334
20 <pt<25 	4<chiso range<9 	12.4715	12.572	3.27181	0.0307169
20 <pt<25 	4<chiso range<10 	12.4715	12.509	3.25716	0.0115131
20 <pt<25 	4<chiso range<11 	12.4715	11.7026	3.03512	0.253334
20 <pt<25 	4<chiso range<12 	12.4715	10.8651	2.79357	0.575035
20 <pt<25 	4<chiso range<13 	12.4715	10.7072	2.75764	0.639786
20 <pt<25 	5<chiso range<10 	12.4715	9.72392	2.56012	1.07322
20 <pt<25 	5<chiso range<11 	12.4715	9.16593	2.39936	1.37769
20 <pt<25 	5<chiso range<12 	12.4715	8.62276	2.23355	1.72315
20 <pt<25 	5<chiso range<13 	12.4715	8.53022	2.21291	1.78104
20 <pt<25 	6<chiso range<11 	12.4715	10.4069	2.71482	0.760492
20 <pt<25 	6<chiso range<12 	12.4715	9.41644	2.42728	1.25864
20 <pt<25 	6<chiso range<13 	12.4715	9.26056	2.39161	1.34259
20 <pt<25 	7<chiso range<12 	12.4715	7.81345	1.99921	2.32995
20 <pt<25 	7<chiso range<13 	12.4715	7.72388	1.9815	2.39597
20 <pt<25 	8<chiso range<13 	12.4715	6.18891	1.57459	3.98998
#######################################################################################
25 <pt<30 	3<chiso range<8 	4.98936	5.04198	1.84823	0.0284705
25 <pt<30 	3<chiso range<9 	4.98936	4.98478	1.82586	0.00250841
25 <pt<30 	3<chiso range<10 	4.98936	5.69137	2.0676	0.339529
25 <pt<30 	3<chiso range<11 	4.98936	5.66569	2.06488	0.32754
25 <pt<30 	3<chiso range<12 	4.98936	4.93387	1.802	0.0307936
