pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	22.8571	20.4323	7.53313	0.321885
20  <pt<25 	3<chiso range<9 	22.8571	22.5577	7.15787	0.0418281
20  <pt<25 	3<chiso range<10 	22.8571	22.6193	7.15293	0.0332451
20  <pt<25 	3<chiso range<11 	22.8571	23.2446	7.03391	0.0550903
20  <pt<25 	3<chiso range<12 	22.8571	23.8399	6.89647	0.142508
20  <pt<25 	3<chiso range<13 	22.8571	24.0102	6.87888	0.167629
20  <pt<25 	4<chiso range<9 	22.8571	22.8212	7.20357	0.00498364
20  <pt<25 	4<chiso range<10 	22.8571	22.8892	7.19567	0.00446102
20  <pt<25 	4<chiso range<11 	22.8571	23.5771	7.04535	0.102195
20  <pt<25 	4<chiso range<12 	22.8571	24.183	6.88027	0.19271
20  <pt<25 	4<chiso range<13 	22.8571	24.3769	6.86097	0.221514
20  <pt<25 	5<chiso range<10 	22.8571	25.8535	6.7779	0.442084
20  <pt<25 	5<chiso range<11 	22.8571	26.2603	6.67476	0.509861
20  <pt<25 	5<chiso range<12 	22.8571	26.5229	6.56488	0.558396
20  <pt<25 	5<chiso range<13 	22.8571	26.6481	6.55472	0.578362
20  <pt<25 	6<chiso range<11 	22.8571	24.9513	6.85496	0.305501
20  <pt<25 	6<chiso range<12 	22.8571	25.6214	6.67133	0.414355
20  <pt<25 	6<chiso range<13 	22.8571	25.8263	6.65301	0.446294
20  <pt<25 	7<chiso range<12 	22.8571	27.0392	6.4179	0.651631
20  <pt<25 	7<chiso range<13 	22.8571	27.1959	6.4123	0.676637
20  <pt<25 	8<chiso range<13 	22.8571	28.5107	6.19074	0.913235
#######################################################################################
25  <pt<30 	3<chiso range<8 	14.845	14.4259	4.96087	0.0844811
25  <pt<30 	3<chiso range<9 	14.845	14.4731	4.94639	0.0751861
25  <pt<30 	3<chiso range<10 	14.845	13.7212	5.0719	0.221574
25  <pt<30 	3<chiso range<11 	14.845	13.7831	5.07497	0.209243
25  <pt<30 	3<chiso range<12 	14.845	14.5113	4.93147	0.0676675
25  <pt<30 	3<chiso range<13 	14.845	14.74	4.88633	0.0214885
25  <pt<30 	4<chiso range<9 	14.845	15.0018	4.95338	0.0316552
25  <pt<30 	4<chiso range<10 	14.845	14.0164	5.10437	0.162331
25  <pt<30 	4<chiso range<11 	14.845	14.0774	5.10367	0.150402
25  <pt<30 	4<chiso range<12 	14.845	14.8856	4.93024	0.00823489
25  <pt<30 	4<chiso range<13 	14.845	15.1218	4.87757	0.0567496
25  <pt<30 	5<chiso range<10 	14.845	13.608	5.13181	0.241046
25  <pt<30 	5<chiso range<11 	14.845	13.7202	5.12806	0.219342
25  <pt<30 	5<chiso range<12 	14.845	14.7495	4.91748	0.0194205
25  <pt<30 	5<chiso range<13 	14.845	15.0415	4.85733	0.0404543
25  <pt<30 	6<chiso range<11 	14.845	13.0465	5.3125	0.338541
25  <pt<30 	6<chiso range<12 	14.845	14.38	5.0111	0.092794
25  <pt<30 	6<chiso range<13 	14.845	14.7592	4.93168	0.0173977
25  <pt<30 	7<chiso range<12 	14.845	15.9185	4.71955	0.227458
25  <pt<30 	7<chiso range<13 	14.845	16.1662	4.66811	0.283027
25  <pt<30 	8<chiso range<13 	14.845	15.3315	4.7461	0.102505
#######################################################################################
30  <pt<35 	3<chiso range<8 	10.15	11.9342	4.17543	0.427309
30  <pt<35 	3<chiso range<9 	10.15	12.0407	4.12325	0.458546
30  <pt<35 	3<chiso range<10 	10.15	12.2085	4.10042	0.502022
30  <pt<35 	3<chiso range<11 	10.15	12.3977	4.14291	0.542541
30  <pt<35 	3<chiso range<12 	10.15	12.6721	4.10189	0.614863
30  <pt<35 	3<chiso range<13 	10.15	12.6599	4.10282	0.61175
30  <pt<35 	4<chiso range<9 	10.15	12.5426	4.06572	0.588481
30  <pt<35 	4<chiso range<10 	10.15	12.6722	4.04625	0.623343
30  <pt<35 	4<chiso range<11 	10.15	12.88	4.10183	0.665557
30  <pt<35 	4<chiso range<12 	10.15	13.1548	4.05807	0.740451
30  <pt<35 	4<chiso range<13 	10.15	13.1077	4.06219	0.728105
30  <pt<35 	5<chiso range<10 	10.15	12.491	4.13356	0.56634
30  <pt<35 	5<chiso range<11 	10.15	12.8375	4.19892	0.640046
30  <pt<35 	5<chiso range<12 	10.15	13.1804	4.12704	0.734279
30  <pt<35 	5<chiso range<13 	10.15	13.1169	4.12689	0.718919
30  <pt<35 	6<chiso range<11 	10.15	13.3593	4.23984	0.756939
30  <pt<35 	6<chiso range<12 	10.15	13.5487	4.12267	0.824393
30  <pt<35 	6<chiso range<13 	10.15	13.4349	4.12422	0.79649
30  <pt<35 	7<chiso range<12 	10.15	13.6286	4.03494	0.862119
30  <pt<35 	7<chiso range<13 	10.15	13.5033	4.04511	0.828976
30  <pt<35 	8<chiso range<13 	10.15	13.6975	4.00675	0.885381
#######################################################################################
35  <pt<50 	3<chiso range<8 	16.9258	17.2935	4.63834	0.0792741
35  <pt<50 	3<chiso range<9 	16.9258	17.1281	4.65214	0.0434854
35  <pt<50 	3<chiso range<10 	16.9258	17.2709	4.61886	0.0747154
35  <pt<50 	3<chiso range<11 	16.9258	17.3971	4.57053	0.103117
35  <pt<50 	3<chiso range<12 	16.9258	17.3284	4.63184	0.0869201
35  <pt<50 	3<chiso range<13 	16.9258	17.2883	4.63575	0.0781966
35  <pt<50 	4<chiso range<9 	16.9258	17.0065	4.66687	0.0172921
35  <pt<50 	4<chiso range<10 	16.9258	17.2008	4.61906	0.0595359
35  <pt<50 	4<chiso range<11 	16.9258	17.3686	4.56308	0.0970397
35  <pt<50 	4<chiso range<12 	16.9258	17.2753	4.63376	0.0754247
35  <pt<50 	4<chiso range<13 	16.9258	17.2317	4.6383	0.0659509
35  <pt<50 	5<chiso range<10 	16.9258	17.3885	4.58307	0.100959
35  <pt<50 	5<chiso range<11 	16.9258	17.5996	4.53691	0.148515
35  <pt<50 	5<chiso range<12 	16.9258	17.431	4.60934	0.109604
35  <pt<50 	5<chiso range<13 	16.9258	17.3713	4.61583	0.0965157
35  <pt<50 	6<chiso range<11 	16.9258	17.4131	4.54615	0.10719
35  <pt<50 	6<chiso range<12 	16.9258	17.2661	4.649	0.0731985
35  <pt<50 	6<chiso range<13 	16.9258	17.2024	4.65448	0.0594266
35  <pt<50 	7<chiso range<12 	16.9258	17.3179	4.64733	0.084371
35  <pt<50 	7<chiso range<13 	16.9258	17.2355	4.65409	0.0665436
35  <pt<50 	8<chiso range<13 	16.9258	17.2804	4.63174	0.0765587
#######################################################################################
50  <pt<60 	3<chiso range<8 	5.67207	6.11453	2.26672	0.195198
50  <pt<60 	3<chiso range<9 	5.67207	6.07463	2.27448	0.17699
50  <pt<60 	3<chiso range<10 	5.67207	5.9826	2.31903	0.133905
50  <pt<60 	3<chiso range<11 	5.67207	5.97082	2.31663	0.128959
50  <pt<60 	3<chiso range<12 	5.67207	6.02772	2.29168	0.155192
50  <pt<60 	3<chiso range<13 	5.67207	6.01042	2.30462	0.146814
50  <pt<60 	4<chiso range<9 	5.67207	5.92052	2.34991	0.105727
50  <pt<60 	4<chiso range<10 	5.67207	5.81946	2.40423	0.0613045
50  <pt<60 	4<chiso range<11 	5.67207	5.86006	2.38521	0.0788149
50  <pt<60 	4<chiso range<12 	5.67207	5.93963	2.3302	0.114823
50  <pt<60 	4<chiso range<13 	5.67207	5.92872	2.34162	0.109604
50  <pt<60 	5<chiso range<10 	5.67207	5.63568	2.49189	0.0146034
50  <pt<60 	5<chiso range<11 	5.67207	5.72247	2.43147	0.0207282
50  <pt<60 	5<chiso range<12 	5.67207	5.88735	2.3546	0.0914295
50  <pt<60 	5<chiso range<13 	5.67207	5.88726	2.36548	0.090971
50  <pt<60 	6<chiso range<11 	5.67207	5.89593	2.33765	0.0957628
50  <pt<60 	6<chiso range<12 	5.67207	6.00619	2.29102	0.145839
50  <pt<60 	6<chiso range<13 	5.67207	5.97887	2.30598	0.133045
50  <pt<60 	7<chiso range<12 	5.67207	5.99007	2.30274	0.138096
50  <pt<60 	7<chiso range<13 	5.67207	5.96428	2.31694	0.126119
50  <pt<60 	8<chiso range<13 	5.67207	5.97314	2.33113	0.129152
#######################################################################################
60  <pt<400 	3<chiso range<8 	13.666	14.4496	3.81622	0.205334
60  <pt<400 	3<chiso range<9 	13.666	14.1865	3.86189	0.134779
60  <pt<400 	3<chiso range<10 	13.666	14.201	3.84804	0.139032
60  <pt<400 	3<chiso range<11 	13.666	13.9575	3.94795	0.0738358
60  <pt<400 	3<chiso range<12 	13.666	14.2043	3.85551	0.139618
60  <pt<400 	3<chiso range<13 	13.666	14.1883	3.88422	0.134467
60  <pt<400 	4<chiso range<9 	13.666	14.4863	3.79445	0.216184
60  <pt<400 	4<chiso range<10 	13.666	14.4543	3.79896	0.207504
60  <pt<400 	4<chiso range<11 	13.666	14.1066	3.87742	0.113632
60  <pt<400 	4<chiso range<12 	13.666	14.4069	3.81995	0.193955
60  <pt<400 	4<chiso range<13 	13.666	14.3691	3.85233	0.182513
60  <pt<400 	5<chiso range<10 	13.666	14.0536	3.9204	0.0988675
60  <pt<400 	5<chiso range<11 	13.666	13.6348	4.07197	0.00766214
60  <pt<400 	5<chiso range<12 	13.666	14.1015	3.91073	0.11136
60  <pt<400 	5<chiso range<13 	13.666	14.1073	3.95208	0.111663
60  <pt<400 	6<chiso range<11 	13.666	13.7101	4.0352	0.0109288
60  <pt<400 	6<chiso range<12 	13.666	14.1834	3.85091	0.134358
60  <pt<400 	6<chiso range<13 	13.666	14.1567	3.89557	0.125964
60  <pt<400 	7<chiso range<12 	13.666	14.0451	3.91897	0.0967346
60  <pt<400 	7<chiso range<13 	13.666	14.0601	3.96915	0.0992908
60  <pt<400 	8<chiso range<13 	13.666	13.9468	4.00164	0.0701712
#######################################################################################
