pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	35.347	12.4715	22.8571	14.7223	20.4323	0.594162	0.321885
20 <pt<25 	3<chiso range<9 	35.347	12.4715	22.8571	12.5562	22.5577	0.0262268	0.0418281
20 <pt<25 	3<chiso range<10 	35.347	12.4715	22.8571	12.5136	22.6193	0.0130706	0.0332451
20 <pt<25 	3<chiso range<11 	35.347	12.4715	22.8571	11.8265	23.2446	0.212189	0.0550903
20 <pt<25 	3<chiso range<12 	35.347	12.4715	22.8571	11.0781	23.8399	0.491876	0.142508
20 <pt<25 	3<chiso range<13 	35.347	12.4715	22.8571	10.9384	24.0102	0.547334	0.167629
20 <pt<25 	4<chiso range<9 	35.347	12.4715	22.8571	12.572	22.8212	0.0307169	0.00498364
20 <pt<25 	4<chiso range<10 	35.347	12.4715	22.8571	12.509	22.8892	0.0115131	0.00446102
20 <pt<25 	4<chiso range<11 	35.347	12.4715	22.8571	11.7026	23.5771	0.253334	0.102195
20 <pt<25 	4<chiso range<12 	35.347	12.4715	22.8571	10.8651	24.183	0.575035	0.19271
20 <pt<25 	4<chiso range<13 	35.347	12.4715	22.8571	10.7072	24.3769	0.639786	0.221514
20 <pt<25 	5<chiso range<10 	35.347	12.4715	22.8571	9.72392	25.8535	1.07322	0.442084
20 <pt<25 	5<chiso range<11 	35.347	12.4715	22.8571	9.16593	26.2603	1.37769	0.509861
20 <pt<25 	5<chiso range<12 	35.347	12.4715	22.8571	8.62276	26.5229	1.72315	0.558396
20 <pt<25 	5<chiso range<13 	35.347	12.4715	22.8571	8.53022	26.6481	1.78104	0.578362
20 <pt<25 	6<chiso range<11 	35.347	12.4715	22.8571	10.4069	24.9513	0.760492	0.305501
20 <pt<25 	6<chiso range<12 	35.347	12.4715	22.8571	9.41644	25.6214	1.25864	0.414355
20 <pt<25 	6<chiso range<13 	35.347	12.4715	22.8571	9.26056	25.8263	1.34259	0.446294
20 <pt<25 	7<chiso range<12 	35.347	12.4715	22.8571	7.81345	27.0392	2.32995	0.651631
20 <pt<25 	7<chiso range<13 	35.347	12.4715	22.8571	7.72388	27.1959	2.39597	0.676637
20 <pt<25 	8<chiso range<13 	35.347	12.4715	22.8571	6.18891	28.5107	3.98998	0.913235
#######################################################################################
25 <pt<30 	3<chiso range<8 	19.8343	4.98936	14.845	5.04198	14.4259	0.0284705	0.0844811
25 <pt<30 	3<chiso range<9 	19.8343	4.98936	14.845	4.98478	14.4731	0.00250841	0.0751861
25 <pt<30 	3<chiso range<10 	19.8343	4.98936	14.845	5.69137	13.7212	0.339529	0.221574
25 <pt<30 	3<chiso range<11 	19.8343	4.98936	14.845	5.66569	13.7831	0.32754	0.209243
25 <pt<30 	3<chiso range<12 	19.8343	4.98936	14.845	4.93387	14.5113	0.0307936	0.0676675
25 <pt<30 	3<chiso range<13 	19.8343	4.98936	14.845	4.69931	14.74	0.168959	0.0214885
25 <pt<30 	4<chiso range<9 	19.8343	4.98936	14.845	4.70444	15.0018	0.161505	0.0316552
25 <pt<30 	4<chiso range<10 	19.8343	4.98936	14.845	5.58766	14.0164	0.289143	0.162331
25 <pt<30 	4<chiso range<11 	19.8343	4.98936	14.845	5.55977	14.0774	0.276321	0.150402
25 <pt<30 	4<chiso range<12 	19.8343	4.98936	14.845	4.71831	14.8856	0.154769	0.00823489
25 <pt<30 	4<chiso range<13 	19.8343	4.98936	14.845	4.46206	15.1218	0.318732	0.0567496
25 <pt<30 	5<chiso range<10 	19.8343	4.98936	14.845	5.87603	13.608	0.412522	0.241046
25 <pt<30 	5<chiso range<11 	19.8343	4.98936	14.845	5.81412	13.7202	0.386257	0.219342
25 <pt<30 	5<chiso range<12 	19.8343	4.98936	14.845	4.76426	14.7495	0.128413	0.0194205
25 <pt<30 	5<chiso range<13 	19.8343	4.98936	14.845	4.45783	15.0415	0.324201	0.0404543
25 <pt<30 	6<chiso range<11 	19.8343	4.98936	14.845	6.56767	13.0465	0.651123	0.338541
25 <pt<30 	6<chiso range<12 	19.8343	4.98936	14.845	5.17711	14.38	0.0981222	0.092794
25 <pt<30 	6<chiso range<13 	19.8343	4.98936	14.845	4.78551	14.7592	0.115371	0.0173977
25 <pt<30 	7<chiso range<12 	19.8343	4.98936	14.845	3.62869	15.9185	1.01278	0.227458
25 <pt<30 	7<chiso range<13 	19.8343	4.98936	14.845	3.35211	16.1662	1.32139	0.283027
25 <pt<30 	8<chiso range<13 	19.8343	4.98936	14.845	4.03215	15.3315	0.653832	0.102505
#######################################################################################
30 <pt<35 	3<chiso range<8 	14.4119	4.26478	10.15	2.67052	11.9342	1.16926	0.427309
30 <pt<35 	3<chiso range<9 	14.4119	4.26478	10.15	2.51736	12.0407	1.37018	0.458546
30 <pt<35 	3<chiso range<10 	14.4119	4.26478	10.15	2.3794	12.2085	1.55415	0.502022
30 <pt<35 	3<chiso range<11 	14.4119	4.26478	10.15	2.3455	12.3977	1.55705	0.542541
30 <pt<35 	3<chiso range<12 	14.4119	4.26478	10.15	2.11667	12.6721	1.91096	0.614863
30 <pt<35 	3<chiso range<13 	14.4119	4.26478	10.15	2.12507	12.6599	1.89744	0.61175
30 <pt<35 	4<chiso range<9 	14.4119	4.26478	10.15	2.11745	12.5426	1.95648	0.588481
30 <pt<35 	4<chiso range<10 	14.4119	4.26478	10.15	2.00914	12.6722	2.15642	0.623343
30 <pt<35 	4<chiso range<11 	14.4119	4.26478	10.15	2.0004	12.88	2.09061	0.665557
30 <pt<35 	4<chiso range<12 	14.4119	4.26478	10.15	1.76924	13.1548	2.57787	0.740451
30 <pt<35 	4<chiso range<13 	14.4119	4.26478	10.15	1.80205	13.1077	2.50544	0.728105
30 <pt<35 	5<chiso range<10 	14.4119	4.26478	10.15	2.27099	12.491	1.66202	0.56634
30 <pt<35 	5<chiso range<11 	14.4119	4.26478	10.15	2.19868	12.8375	1.68388	0.640046
30 <pt<35 	5<chiso range<12 	14.4119	4.26478	10.15	1.8932	13.1804	2.22466	0.734279
30 <pt<35 	5<chiso range<13 	14.4119	4.26478	10.15	1.92444	13.1169	2.17405	0.718919
30 <pt<35 	6<chiso range<11 	14.4119	4.26478	10.15	1.97551	13.3593	1.93612	0.756939
30 <pt<35 	6<chiso range<12 	14.4119	4.26478	10.15	1.70106	13.5487	2.5753	0.824393
30 <pt<35 	6<chiso range<13 	14.4119	4.26478	10.15	1.75637	13.4349	2.47046	0.79649
30 <pt<35 	7<chiso range<12 	14.4119	4.26478	10.15	1.47706	13.6286	3.31013	0.862119
30 <pt<35 	7<chiso range<13 	14.4119	4.26478	10.15	1.5587	13.5033	3.07495	0.828976
30 <pt<35 	8<chiso range<13 	14.4119	4.26478	10.15	1.38933	13.6975	3.64435	0.885381
#######################################################################################
35 <pt<50 	3<chiso range<8 	19.7433	2.81293	16.9258	2.34685	17.2935	0.340063	0.0792741
35 <pt<50 	3<chiso range<9 	19.7433	2.81293	16.9258	2.46454	17.1281	0.242517	0.0434854
35 <pt<50 	3<chiso range<10 	19.7433	2.81293	16.9258	2.3191	17.2709	0.368354	0.0747154
35 <pt<50 	3<chiso range<11 	19.7433	2.81293	16.9258	2.15945	17.3971	0.523362	0.103117
35 <pt<50 	3<chiso range<12 	19.7433	2.81293	16.9258	2.31644	17.3284	0.366643	0.0869201
35 <pt<50 	3<chiso range<13 	19.7433	2.81293	16.9258	2.34532	17.2883	0.34194	0.0781966
35 <pt<50 	4<chiso range<9 	19.7433	2.81293	16.9258	2.55446	17.0065	0.174981	0.0172921
35 <pt<50 	4<chiso range<10 	19.7433	2.81293	16.9258	2.35386	17.2008	0.339745	0.0595359
35 <pt<50 	4<chiso range<11 	19.7433	2.81293	16.9258	2.15654	17.3686	0.529624	0.0970397
35 <pt<50 	4<chiso range<12 	19.7433	2.81293	16.9258	2.34646	17.2753	0.341671	0.0754247
35 <pt<50 	4<chiso range<13 	19.7433	2.81293	16.9258	2.3787	17.2317	0.314584	0.0659509
35 <pt<50 	5<chiso range<10 	19.7433	2.81293	16.9258	2.18162	17.3885	0.501972	0.100959
35 <pt<50 	5<chiso range<11 	19.7433	2.81293	16.9258	1.97434	17.5996	0.73618	0.148515
35 <pt<50 	5<chiso range<12 	19.7433	2.81293	16.9258	2.21694	17.431	0.459196	0.109604
35 <pt<50 	5<chiso range<13 	19.7433	2.81293	16.9258	2.26141	17.3713	0.418059	0.0965157
35 <pt<50 	6<chiso range<11 	19.7433	2.81293	16.9258	2.1009	17.4131	0.591019	0.10719
35 <pt<50 	6<chiso range<12 	19.7433	2.81293	16.9258	2.38387	17.2661	0.307753	0.0731985
35 <pt<50 	6<chiso range<13 	19.7433	2.81293	16.9258	2.42822	17.2024	0.272095	0.0594266
35 <pt<50 	7<chiso range<12 	19.7433	2.81293	16.9258	2.35386	17.3179	0.331902	0.084371
35 <pt<50 	7<chiso range<13 	19.7433	2.81293	16.9258	2.41032	17.2355	0.285941	0.0665436
35 <pt<50 	8<chiso range<13 	19.7433	2.81293	16.9258	2.34282	17.2804	0.344974	0.0765587
#######################################################################################
50 <pt<60 	3<chiso range<8 	6.62574	0.953673	5.67207	0.471379	6.11453	0.81909	0.195198
50 <pt<60 	3<chiso range<9 	6.62574	0.953673	5.67207	0.490447	6.07463	0.775283	0.17699
50 <pt<60 	3<chiso range<10 	6.62574	0.953673	5.67207	0.582187	5.9826	0.524949	0.133905
50 <pt<60 	3<chiso range<11 	6.62574	0.953673	5.67207	0.581797	5.97082	0.532427	0.128959
50 <pt<60 	3<chiso range<12 	6.62574	0.953673	5.67207	0.527343	6.02772	0.673723	0.155192
50 <pt<60 	3<chiso range<13 	6.62574	0.953673	5.67207	0.551425	6.01042	0.605636	0.146814
50 <pt<60 	4<chiso range<9 	6.62574	0.953673	5.67207	0.644959	5.92052	0.398697	0.105727
50 <pt<60 	4<chiso range<10 	6.62574	0.953673	5.67207	0.750608	5.81946	0.226305	0.0613045
50 <pt<60 	4<chiso range<11 	6.62574	0.953673	5.67207	0.712045	5.86006	0.286717	0.0788149
50 <pt<60 	4<chiso range<12 	6.62574	0.953673	5.67207	0.609782	5.93963	0.473251	0.114823
50 <pt<60 	4<chiso range<13 	6.62574	0.953673	5.67207	0.628718	5.92872	0.431279	0.109604
50 <pt<60 	5<chiso range<10 	6.62574	0.953673	5.67207	0.928854	5.63568	0.022841	0.0146034
50 <pt<60 	5<chiso range<11 	6.62574	0.953673	5.67207	0.824425	5.72247	0.135152	0.0207282
50 <pt<60 	5<chiso range<12 	6.62574	0.953673	5.67207	0.66228	5.88735	0.374137	0.0914295
50 <pt<60 	5<chiso range<13 	6.62574	0.953673	5.67207	0.67569	5.88726	0.346665	0.090971
50 <pt<60 	6<chiso range<11 	6.62574	0.953673	5.67207	0.63716	5.89593	0.426228	0.0957628
50 <pt<60 	6<chiso range<12 	6.62574	0.953673	5.67207	0.531775	6.00619	0.673181	0.145839
50 <pt<60 	6<chiso range<13 	6.62574	0.953673	5.67207	0.562368	5.97887	0.583793	0.133045
50 <pt<60 	7<chiso range<12 	6.62574	0.953673	5.67207	0.55442	5.99007	0.60891	0.138096
50 <pt<60 	7<chiso range<13 	6.62574	0.953673	5.67207	0.58298	5.96428	0.532285	0.126119
50 <pt<60 	8<chiso range<13 	6.62574	0.953673	5.67207	0.598206	5.97314	0.485597	0.129152
#######################################################################################
60 <pt<400 	3<chiso range<8 	15.5013	1.83816	13.666	1.0341	14.4496	0.863952	0.205334
60 <pt<400 	3<chiso range<9 	15.5013	1.83816	13.666	1.24021	14.1865	0.543512	0.134779
60 <pt<400 	3<chiso range<10 	15.5013	1.83816	13.666	1.21343	14.201	0.583249	0.139032
60 <pt<400 	3<chiso range<11 	15.5013	1.83816	13.666	1.48309	13.9575	0.273944	0.0738358
60 <pt<400 	3<chiso range<12 	15.5013	1.83816	13.666	1.22169	14.2043	0.568149	0.139618
60 <pt<400 	3<chiso range<13 	15.5013	1.83816	13.666	1.26831	14.1883	0.498578	0.134467
60 <pt<400 	4<chiso range<9 	15.5013	1.83816	13.666	0.981713	14.4863	0.978222	0.216184
60 <pt<400 	4<chiso range<10 	15.5013	1.83816	13.666	1.00486	14.4543	0.935808	0.207504
60 <pt<400 	4<chiso range<11 	15.5013	1.83816	13.666	1.30629	14.1066	0.465239	0.113632
60 <pt<400 	4<chiso range<12 	15.5013	1.83816	13.666	1.06208	14.4069	0.819378	0.193955
60 <pt<400 	4<chiso range<13 	15.5013	1.83816	13.666	1.12819	14.3691	0.694395	0.182513
60 <pt<400 	5<chiso range<10 	15.5013	1.83816	13.666	1.39099	14.0536	0.362457	0.0988675
60 <pt<400 	5<chiso range<11 	15.5013	1.83816	13.666	1.81104	13.6348	0.0171396	0.00766214
60 <pt<400 	5<chiso range<12 	15.5013	1.83816	13.666	1.35124	14.1015	0.40326	0.11136
60 <pt<400 	5<chiso range<13 	15.5013	1.83816	13.666	1.3997	14.1073	0.343971	0.111663
60 <pt<400 	6<chiso range<11 	15.5013	1.83816	13.666	1.73566	13.7101	0.068883	0.0109288
60 <pt<400 	6<chiso range<12 	15.5013	1.83816	13.666	1.22723	14.1834	0.565938	0.134358
60 <pt<400 	6<chiso range<13 	15.5013	1.83816	13.666	1.3006	14.1567	0.459598	0.125964
60 <pt<400 	7<chiso range<12 	15.5013	1.83816	13.666	1.39443	14.0451	0.359992	0.0967346
60 <pt<400 	7<chiso range<13 	15.5013	1.83816	13.666	1.44645	14.0601	0.298325	0.0992908
