pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	57.7747	34.8182	0.602655	0.628224	0.0913763	0.279823
20 <pt<25 	3<chiso range<9 	57.7747	34.8182	0.602655	0.607785	0.0882927	0.0581045
20 <pt<25 	3<chiso range<10 	57.7747	34.8182	0.602655	0.606034	0.088157	0.0383317
20 <pt<25 	3<chiso range<11 	57.7747	34.8182	0.602655	0.559454	0.0814705	0.530263
20 <pt<25 	3<chiso range<12 	57.7747	34.8182	0.602655	0.536644	0.0781643	0.844513
20 <pt<25 	3<chiso range<13 	57.7747	34.8182	0.602655	0.514115	0.0748114	1.18351
20 <pt<25 	4<chiso range<9 	57.7747	34.8182	0.602655	0.618856	0.0903694	0.179278
20 <pt<25 	4<chiso range<10 	57.7747	34.8182	0.602655	0.615363	0.0899664	0.141255
20 <pt<25 	4<chiso range<11 	57.7747	34.8182	0.602655	0.559237	0.0818049	0.530748
20 <pt<25 	4<chiso range<12 	57.7747	34.8182	0.602655	0.532924	0.077927	0.894822
20 <pt<25 	4<chiso range<13 	57.7747	34.8182	0.602655	0.50683	0.0739514	1.29578
20 <pt<25 	5<chiso range<10 	57.7747	34.8182	0.602655	0.615854	0.0911121	0.144868
20 <pt<25 	5<chiso range<11 	57.7747	34.8182	0.602655	0.544174	0.0803529	0.727799
20 <pt<25 	5<chiso range<12 	57.7747	34.8182	0.602655	0.513297	0.0755871	1.18218
20 <pt<25 	5<chiso range<13 	57.7747	34.8182	0.602655	0.483704	0.0710591	1.67397
20 <pt<25 	6<chiso range<11 	57.7747	34.8182	0.602655	0.547366	0.0815525	0.677953
20 <pt<25 	6<chiso range<12 	57.7747	34.8182	0.602655	0.50873	0.0754164	1.24542
20 <pt<25 	6<chiso range<13 	57.7747	34.8182	0.602655	0.47304	0.0698598	1.85536
20 <pt<25 	7<chiso range<12 	57.7747	34.8182	0.602655	0.458167	0.0674958	2.14069
20 <pt<25 	7<chiso range<13 	57.7747	34.8182	0.602655	0.421637	0.0618903	2.92482
20 <pt<25 	8<chiso range<13 	57.7747	34.8182	0.602655	0.354013	0.0514396	4.83367
#######################################################################################
25 <pt<30 	3<chiso range<8 	31.8152	16.8892	0.530853	0.489232	0.110295	0.377362
25 <pt<30 	3<chiso range<9 	31.8152	16.8892	0.530853	0.485797	0.108956	0.413526
25 <pt<30 	3<chiso range<10 	31.8152	16.8892	0.530853	0.500049	0.111676	0.275835
25 <pt<30 	3<chiso range<11 	31.8152	16.8892	0.530853	0.492559	0.110386	0.346912
25 <pt<30 	3<chiso range<12 	31.8152	16.8892	0.530853	0.466438	0.10413	0.618603
25 <pt<30 	3<chiso range<13 	31.8152	16.8892	0.530853	0.449403	0.0999384	0.815004
25 <pt<30 	4<chiso range<9 	31.8152	16.8892	0.530853	0.452004	0.102206	0.771473
25 <pt<30 	4<chiso range<10 	31.8152	16.8892	0.530853	0.474886	0.106665	0.5247
25 <pt<30 	4<chiso range<11 	31.8152	16.8892	0.530853	0.468296	0.105584	0.592487
25 <pt<30 	4<chiso range<12 	31.8152	16.8892	0.530853	0.440272	0.0986918	0.917819
25 <pt<30 	4<chiso range<13 	31.8152	16.8892	0.530853	0.422238	0.0941659	1.15344
25 <pt<30 	5<chiso range<10 	31.8152	16.8892	0.530853	0.48648	0.10848	0.409045
25 <pt<30 	5<chiso range<11 	31.8152	16.8892	0.530853	0.477252	0.106977	0.501053
25 <pt<30 	5<chiso range<12 	31.8152	16.8892	0.530853	0.44294	0.0987485	0.890274
25 <pt<30 	5<chiso range<13 	31.8152	16.8892	0.530853	0.421711	0.0935451	1.16673
25 <pt<30 	6<chiso range<11 	31.8152	16.8892	0.530853	0.466918	0.106405	0.600866
25 <pt<30 	6<chiso range<12 	31.8152	16.8892	0.530853	0.429202	0.0967983	1.05013
25 <pt<30 	6<chiso range<13 	31.8152	16.8892	0.530853	0.40646	0.0909691	1.36742
25 <pt<30 	7<chiso range<12 	31.8152	16.8892	0.530853	0.405325	0.0908406	1.38185
25 <pt<30 	7<chiso range<13 	31.8152	16.8892	0.530853	0.381406	0.0848389	1.76154
25 <pt<30 	8<chiso range<13 	31.8152	16.8892	0.530853	0.381504	0.083437	1.78996
#######################################################################################
30 <pt<35 	3<chiso range<8 	19.2709	9.12377	0.473448	0.420379	0.119403	0.444453
30 <pt<35 	3<chiso range<9 	19.2709	9.12377	0.473448	0.409477	0.116461	0.549292
30 <pt<35 	3<chiso range<10 	19.2709	9.12377	0.473448	0.402744	0.114973	0.614962
30 <pt<35 	3<chiso range<11 	19.2709	9.12377	0.473448	0.412878	0.118418	0.511494
30 <pt<35 	3<chiso range<12 	19.2709	9.12377	0.473448	0.404011	0.116394	0.596569
30 <pt<35 	3<chiso range<13 	19.2709	9.12377	0.473448	0.395818	0.113298	0.685185
30 <pt<35 	4<chiso range<9 	19.2709	9.12377	0.473448	0.383893	0.110368	0.811422
30 <pt<35 	4<chiso range<10 	19.2709	9.12377	0.473448	0.378274	0.109178	0.871733
30 <pt<35 	4<chiso range<11 	19.2709	9.12377	0.473448	0.392261	0.113859	0.713049
30 <pt<35 	4<chiso range<12 	19.2709	9.12377	0.473448	0.383138	0.111759	0.808079
30 <pt<35 	4<chiso range<13 	19.2709	9.12377	0.473448	0.375533	0.108479	0.902618
30 <pt<35 	5<chiso range<10 	19.2709	9.12377	0.473448	0.394675	0.115022	0.684852
30 <pt<35 	5<chiso range<11 	19.2709	9.12377	0.473448	0.409911	0.120315	0.528089
30 <pt<35 	5<chiso range<12 	19.2709	9.12377	0.473448	0.396678	0.117087	0.655667
30 <pt<35 	5<chiso range<13 	19.2709	9.12377	0.473448	0.386979	0.112589	0.768006
30 <pt<35 	6<chiso range<11 	19.2709	9.12377	0.473448	0.391846	0.117639	0.693665
30 <pt<35 	6<chiso range<12 	19.2709	9.12377	0.473448	0.377694	0.113976	0.840125
30 <pt<35 	6<chiso range<13 	19.2709	9.12377	0.473448	0.369653	0.109012	0.952143
30 <pt<35 	7<chiso range<12 	19.2709	9.12377	0.473448	0.341354	0.10151	1.30129
30 <pt<35 	7<chiso range<13 	19.2709	9.12377	0.473448	0.334571	0.0973591	1.42644
30 <pt<35 	8<chiso range<13 	19.2709	9.12377	0.473448	0.35327	0.102657	1.17068
#######################################################################################
35 <pt<50 	3<chiso range<8 	25.9743	9.04399	0.34819	0.260223	0.0791301	1.11167
35 <pt<50 	3<chiso range<9 	25.9743	9.04399	0.34819	0.261826	0.0794427	1.08712
35 <pt<50 	3<chiso range<10 	25.9743	9.04399	0.34819	0.248383	0.0752635	1.3261
35 <pt<50 	3<chiso range<11 	25.9743	9.04399	0.34819	0.243042	0.0735832	1.42897
35 <pt<50 	3<chiso range<12 	25.9743	9.04399	0.34819	0.261948	0.0795548	1.08406
35 <pt<50 	3<chiso range<13 	25.9743	9.04399	0.34819	0.256498	0.077761	1.17915
35 <pt<50 	4<chiso range<9 	25.9743	9.04399	0.34819	0.266291	0.0807002	1.01485
35 <pt<50 	4<chiso range<10 	25.9743	9.04399	0.34819	0.248997	0.0753394	1.31661
35 <pt<50 	4<chiso range<11 	25.9743	9.04399	0.34819	0.242482	0.0733094	1.44194
35 <pt<50 	4<chiso range<12 	25.9743	9.04399	0.34819	0.26504	0.0804487	1.03358
35 <pt<50 	4<chiso range<13 	25.9743	9.04399	0.34819	0.258422	0.0782661	1.14696
35 <pt<50 	5<chiso range<10 	25.9743	9.04399	0.34819	0.237241	0.071732	1.54671
35 <pt<50 	5<chiso range<11 	25.9743	9.04399	0.34819	0.231381	0.06989	1.67133
35 <pt<50 	5<chiso range<12 	25.9743	9.04399	0.34819	0.258884	0.0785567	1.13683
35 <pt<50 	5<chiso range<13 	25.9743	9.04399	0.34819	0.251512	0.0761374	1.26978
35 <pt<50 	6<chiso range<11 	25.9743	9.04399	0.34819	0.232968	0.0704861	1.63468
35 <pt<50 	6<chiso range<12 	25.9743	9.04399	0.34819	0.265736	0.0808729	1.01955
35 <pt<50 	6<chiso range<13 	25.9743	9.04399	0.34819	0.256487	0.0777917	1.17883
