pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	57.7747	34.8182	22.938	35.7515	21.8424	0.185411	0.110778
20 <pt<25 	3<chiso range<9 	57.7747	34.8182	22.938	34.5884	22.8882	0.0472508	0.00510097
20 <pt<25 	3<chiso range<10 	57.7747	34.8182	22.938	34.4887	23.0656	0.0678489	0.0130664
20 <pt<25 	3<chiso range<11 	57.7747	34.8182	22.938	31.8379	25.6952	0.664005	0.289615
20 <pt<25 	3<chiso range<12 	57.7747	34.8182	22.938	30.5398	26.9664	0.993526	0.428531
20 <pt<25 	3<chiso range<13 	57.7747	34.8182	22.938	29.2577	28.1614	1.34921	0.563229
20 <pt<25 	4<chiso range<9 	57.7747	34.8182	22.938	35.2184	22.5847	0.0803689	0.035779
20 <pt<25 	4<chiso range<10 	57.7747	34.8182	22.938	35.0196	22.8479	0.0406234	0.00913261
20 <pt<25 	4<chiso range<11 	57.7747	34.8182	22.938	31.8256	25.9692	0.663821	0.317081
20 <pt<25 	4<chiso range<12 	57.7747	34.8182	22.938	30.3281	27.4016	1.04559	0.474065
20 <pt<25 	4<chiso range<13 	57.7747	34.8182	22.938	28.8431	28.7256	1.4664	0.624957
20 <pt<25 	5<chiso range<10 	57.7747	34.8182	22.938	35.0476	23.4871	0.0456538	0.0550081
20 <pt<25 	5<chiso range<11 	57.7747	34.8182	22.938	30.9683	27.3323	0.868883	0.459475
20 <pt<25 	5<chiso range<12 	57.7747	34.8182	22.938	29.2112	28.8865	1.34547	0.634459
20 <pt<25 	5<chiso range<13 	57.7747	34.8182	22.938	27.5271	30.3935	1.86137	0.810318
20 <pt<25 	6<chiso range<11 	57.7747	34.8182	22.938	31.15	27.6576	0.815226	0.488478
20 <pt<25 	6<chiso range<12 	57.7747	34.8182	22.938	28.9513	29.5116	1.41041	0.698576
20 <pt<25 	6<chiso range<13 	57.7747	34.8182	22.938	26.9202	31.2797	2.05021	0.907552
20 <pt<25 	7<chiso range<12 	57.7747	34.8182	22.938	26.0738	31.9746	2.34981	0.993608
