pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	36.1695	40.3639	4.85498	0.863938
20 <pt<25 	3<chiso range<9 	36.1695	39.1712	4.70858	0.637496
20 <pt<25 	3<chiso range<10 	36.1695	39.1823	4.71624	0.638814
20 <pt<25 	3<chiso range<11 	36.1695	36.8406	4.43284	0.151393
20 <pt<25 	3<chiso range<12 	36.1695	35.665	4.28898	0.117627
20 <pt<25 	3<chiso range<13 	36.1695	34.1297	4.10307	0.49714
20 <pt<25 	4<chiso range<9 	36.1695	39.2928	4.73954	0.658988
20 <pt<25 	4<chiso range<10 	36.1695	39.2883	4.7454	0.657226
20 <pt<25 	4<chiso range<11 	36.1695	36.4751	4.39913	0.0694683
20 <pt<25 	4<chiso range<12 	36.1695	35.1823	4.24173	0.232735
20 <pt<25 	4<chiso range<13 	36.1695	33.4388	4.02922	0.677724
20 <pt<25 	5<chiso range<10 	36.1695	38.7521	4.71404	0.547853
20 <pt<25 	5<chiso range<11 	36.1695	35.2582	4.27587	0.213126
20 <pt<25 	5<chiso range<12 	36.1695	33.8125	4.0953	0.575538
20 <pt<25 	5<chiso range<13 	36.1695	31.7706	3.84352	1.1445
20 <pt<25 	6<chiso range<11 	36.1695	35.6093	4.3421	0.129016
20 <pt<25 	6<chiso range<12 	36.1695	33.7451	4.10379	0.590771
20 <pt<25 	6<chiso range<13 	36.1695	31.2414	3.79208	1.29958
20 <pt<25 	7<chiso range<12 	36.1695	30.7474	3.72124	1.45707
20 <pt<25 	7<chiso range<13 	36.1695	28.1126	3.39678	2.37192
20 <pt<25 	8<chiso range<13 	36.1695	24.7185	2.97054	3.85485
#######################################################################################
25 <pt<30 	3<chiso range<8 	17.3751	18.1109	3.42306	0.214954
25 <pt<30 	3<chiso range<9 	17.3751	17.5969	3.31917	0.0668239
25 <pt<30 	3<chiso range<10 	17.3751	18.3485	3.44564	0.282502
25 <pt<30 	3<chiso range<11 	17.3751	18.049	3.39632	0.198421
25 <pt<30 	3<chiso range<12 	17.3751	17.2216	3.23094	0.0475094
25 <pt<30 	3<chiso range<13 	17.3751	16.7833	3.14138	0.188389
25 <pt<30 	4<chiso range<9 	17.3751	15.9985	3.03493	0.453585
25 <pt<30 	4<chiso range<10 	17.3751	17.1587	3.23321	0.0669304
25 <pt<30 	4<chiso range<11 	17.3751	16.9247	3.19645	0.140906
25 <pt<30 	4<chiso range<12 	17.3751	16.0639	3.02138	0.433974
25 <pt<30 	4<chiso range<13 	17.3751	15.6314	2.9308	0.594957
25 <pt<30 	5<chiso range<10 	17.3751	17.5688	3.29988	0.0586991
25 <pt<30 	5<chiso range<11 	17.3751	17.2286	3.24575	0.0451359
25 <pt<30 	5<chiso range<12 	17.3751	16.1593	3.03108	0.401111
25 <pt<30 	5<chiso range<13 	17.3751	15.6409	2.92449	0.592992
25 <pt<30 	6<chiso range<11 	17.3751	17.1223	3.25303	0.0777122
25 <pt<30 	6<chiso range<12 	17.3751	15.8872	2.99736	0.496404
25 <pt<30 	6<chiso range<13 	17.3751	15.3166	2.87635	0.715664
25 <pt<30 	7<chiso range<12 	17.3751	14.8933	2.79553	0.887774
25 <pt<30 	7<chiso range<13 	17.3751	14.3428	2.68053	1.13123
25 <pt<30 	8<chiso range<13 	17.3751	14.4999	2.68149	1.07224
#######################################################################################
30 <pt<35 	3<chiso range<8 	9.4477	8.36871	2.1379	0.504696
30 <pt<35 	3<chiso range<9 	9.4477	8.00018	2.04637	0.70736
30 <pt<35 	3<chiso range<10 	9.4477	8.05964	2.06496	0.672197
30 <pt<35 	3<chiso range<11 	9.4477	8.38132	2.15348	0.495189
30 <pt<35 	3<chiso range<12 	9.4477	8.21769	2.11635	0.581194
30 <pt<35 	3<chiso range<13 	9.4477	8.09905	2.07564	0.649751
30 <pt<35 	4<chiso range<9 	9.4477	7.70291	1.98052	0.880976
30 <pt<35 	4<chiso range<10 	9.4477	7.80943	2.01138	0.8145
30 <pt<35 	4<chiso range<11 	9.4477	8.22742	2.1265	0.573844
30 <pt<35 	4<chiso range<12 	9.4477	8.03833	2.083	0.676606
30 <pt<35 	4<chiso range<13 	9.4477	7.91429	2.03661	0.752923
30 <pt<35 	5<chiso range<10 	9.4477	8.14076	2.10353	0.621308
30 <pt<35 	5<chiso range<11 	9.4477	8.62405	2.23819	0.367998
30 <pt<35 	5<chiso range<12 	9.4477	8.35062	2.17354	0.504743
30 <pt<35 	5<chiso range<13 	9.4477	8.1763	2.10843	0.603008
30 <pt<35 	6<chiso range<11 	9.4477	8.3899	2.21167	0.478281
30 <pt<35 	6<chiso range<12 	9.4477	8.08237	2.13504	0.639487
30 <pt<35 	6<chiso range<13 	9.4477	7.92294	2.06155	0.739618
30 <pt<35 	7<chiso range<12 	9.4477	7.27958	1.90796	1.13636
30 <pt<35 	7<chiso range<13 	9.4477	7.17923	1.85394	1.22359
30 <pt<35 	8<chiso range<13 	9.4477	7.6375	1.96923	0.919243
#######################################################################################
35 <pt<50 	3<chiso range<8 	9.4489	8.39666	2.25693	0.466226
35 <pt<50 	3<chiso range<9 	9.4489	8.51571	2.28815	0.407836
35 <pt<50 	3<chiso range<10 	9.4489	8.0062	2.14753	0.671795
35 <pt<50 	3<chiso range<11 	9.4489	7.80154	2.09119	0.787762
35 <pt<50 	3<chiso range<12 	9.4489	8.32076	2.23641	0.504442
35 <pt<50 	3<chiso range<13 	9.4489	8.12433	2.17967	0.607693
35 <pt<50 	4<chiso range<9 	9.4489	8.41452	2.26028	0.457634
35 <pt<50 	4<chiso range<10 	9.4489	7.81375	2.09453	0.780676
35 <pt<50 	4<chiso range<11 	9.4489	7.5929	2.03387	0.912546
35 <pt<50 	4<chiso range<12 	9.4489	8.21728	2.20831	0.557721
35 <pt<50 	4<chiso range<13 	9.4489	7.99633	2.14441	0.677375
35 <pt<50 	5<chiso range<10 	9.4489	7.41118	1.98494	1.02659
35 <pt<50 	5<chiso range<11 	9.4489	7.20095	1.92717	1.16645
35 <pt<50 	5<chiso range<12 	9.4489	7.97988	2.14382	0.685235
35 <pt<50 	5<chiso range<13 	9.4489	7.73421	2.07284	0.827218
35 <pt<50 	6<chiso range<11 	9.4489	6.91587	1.85276	1.36717
35 <pt<50 	6<chiso range<12 	9.4489	7.86304	2.11641	0.749316
35 <pt<50 	6<chiso range<13 	9.4489	7.58706	2.03583	0.914536
35 <pt<50 	7<chiso range<12 	9.4489	8.37168	2.26211	0.476201
35 <pt<50 	7<chiso range<13 	9.4489	7.97943	2.14588	0.684787
35 <pt<50 	8<chiso range<13 	9.4489	7.71327	2.06397	0.840918
#######################################################################################
50 <pt<60 	3<chiso range<8 	3.62612	2.46617	1.34829	0.860312
50 <pt<60 	3<chiso range<9 	3.62612	2.21018	1.20306	1.17695
50 <pt<60 	3<chiso range<10 	3.62612	2.2282	1.21167	1.15371
50 <pt<60 	3<chiso range<11 	3.62612	2.18352	1.1825	1.21996
50 <pt<60 	3<chiso range<12 	3.62612	2.14217	1.15938	1.27995
50 <pt<60 	3<chiso range<13 	3.62612	2.27337	1.22504	1.10425
50 <pt<60 	4<chiso range<9 	3.62612	2.03743	1.10386	1.43921
50 <pt<60 	4<chiso range<10 	3.62612	2.07402	1.12309	1.38199
50 <pt<60 	4<chiso range<11 	3.62612	2.04464	1.1034	1.43328
50 <pt<60 	4<chiso range<12 	3.62612	2.01512	1.08722	1.48176
50 <pt<60 	4<chiso range<13 	3.62612	2.1606	1.16092	1.26238
50 <pt<60 	5<chiso range<10 	3.62612	2.1965	1.184	1.20745
50 <pt<60 	5<chiso range<11 	3.62612	2.13995	1.14981	1.29254
50 <pt<60 	5<chiso range<12 	3.62612	2.09193	1.12435	1.36451
50 <pt<60 	5<chiso range<13 	3.62612	2.26057	1.2096	1.12893
50 <pt<60 	6<chiso range<11 	3.62612	2.03984	1.10594	1.43433
50 <pt<60 	6<chiso range<12 	3.62612	2.00042	1.08341	1.50054
50 <pt<60 	6<chiso range<13 	3.62612	2.19668	1.1825	1.20883
50 <pt<60 	7<chiso range<12 	3.62612	2.02647	1.09633	1.4591
50 <pt<60 	7<chiso range<13 	3.62612	2.26012	1.21411	1.1251
50 <pt<60 	8<chiso range<13 	3.62612	2.0387	1.08622	1.46142
#######################################################################################
60 <pt<400 	3<chiso range<8 	2.86085	4.12661	2.15384	0.587676
60 <pt<400 	3<chiso range<9 	2.86085	3.46363	1.7996	0.334952
60 <pt<400 	3<chiso range<10 	2.86085	3.37577	1.74559	0.294983
60 <pt<400 	3<chiso range<11 	2.86085	3.38112	1.74904	0.29746
60 <pt<400 	3<chiso range<12 	2.86085	3.33035	1.72299	0.272491
60 <pt<400 	3<chiso range<13 	2.86085	3.5671	1.84446	0.382903
60 <pt<400 	4<chiso range<9 	2.86085	2.79009	1.44949	0.0488172
60 <pt<400 	4<chiso range<10 	2.86085	2.8403	1.46824	0.0139963
60 <pt<400 	4<chiso range<11 	2.86085	2.91557	1.50778	0.0362918
60 <pt<400 	4<chiso range<12 	2.86085	2.92589	1.51329	0.0429792
60 <pt<400 	4<chiso range<13 	2.86085	3.19529	1.65234	0.202404
60 <pt<400 	5<chiso range<10 	2.86085	3.14076	1.62841	0.171892
60 <pt<400 	5<chiso range<11 	2.86085	3.18296	1.65047	0.195163
60 <pt<400 	5<chiso range<12 	2.86085	3.15204	1.63408	0.178198
60 <pt<400 	5<chiso range<13 	2.86085	3.44922	1.78673	0.3293
60 <pt<400 	6<chiso range<11 	2.86085	2.85464	1.47253	0.00421723
60 <pt<400 	6<chiso range<12 	2.86085	2.87791	1.48532	0.0114857
60 <pt<400 	6<chiso range<13 	2.86085	3.21257	1.65774	0.212168
60 <pt<400 	7<chiso range<12 	2.86085	3.15019	1.62412	0.178152
60 <pt<400 	7<chiso range<13 	2.86085	3.51103	1.80903	0.359408
60 <pt<400 	8<chiso range<13 	2.86085	3.0922	1.5947	0.145074
#######################################################################################
