pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	43.4777	39.1345	10.7839	0.402749
20  <pt<25 	3<chiso range<9 	43.4777	40.2646	10.692	0.300514
20  <pt<25 	3<chiso range<10 	43.4777	40.3479	10.7077	0.292294
20  <pt<25 	3<chiso range<11 	43.4777	42.6309	10.5409	0.0803347
20  <pt<25 	3<chiso range<12 	43.4777	43.7337	10.4554	0.024485
20  <pt<25 	3<chiso range<13 	43.4777	45.2291	10.3498	0.169221
20  <pt<25 	4<chiso range<9 	43.4777	40.3881	10.7388	0.287704
20  <pt<25 	4<chiso range<10 	43.4777	40.4866	10.7534	0.278154
20  <pt<25 	4<chiso range<11 	43.4777	43.1394	10.5413	0.0320928
20  <pt<25 	4<chiso range<12 	43.4777	44.3909	10.4498	0.0873892
20  <pt<25 	4<chiso range<13 	43.4777	46.075	10.3284	0.251472
20  <pt<25 	5<chiso range<10 	43.4777	41.5029	10.7936	0.18296
20  <pt<25 	5<chiso range<11 	43.4777	44.7217	10.5169	0.118286
20  <pt<25 	5<chiso range<12 	43.4777	46.0609	10.4067	0.248225
20  <pt<25 	5<chiso range<13 	43.4777	48.0015	10.2621	0.440826
20  <pt<25 	6<chiso range<11 	43.4777	44.7507	10.5987	0.120109
20  <pt<25 	6<chiso range<12 	43.4777	46.4072	10.4445	0.280483
20  <pt<25 	6<chiso range<13 	43.4777	48.7537	10.2622	0.51412
20  <pt<25 	7<chiso range<12 	43.4777	49.0423	10.2016	0.545463
20  <pt<25 	7<chiso range<13 	43.4777	51.5395	10.0247	0.804194
20  <pt<25 	8<chiso range<13 	43.4777	54.5295	9.77942	1.13011
#######################################################################################
25  <pt<30 	3<chiso range<8 	29.762	28.718	8.01934	0.130185
25  <pt<30 	3<chiso range<9 	29.762	29.1628	7.95243	0.075348
25  <pt<30 	3<chiso range<10 	29.762	28.2897	7.99889	0.184063
25  <pt<30 	3<chiso range<11 	29.762	28.6459	7.98223	0.139823
25  <pt<30 	3<chiso range<12 	29.762	29.3687	7.87797	0.049924
25  <pt<30 	3<chiso range<13 	29.762	29.7276	7.81904	0.00439952
25  <pt<30 	4<chiso range<9 	29.762	30.9011	7.83169	0.145448
25  <pt<30 	4<chiso range<10 	29.762	29.5617	7.90136	0.0253501
25  <pt<30 	4<chiso range<11 	29.762	29.8587	7.89357	0.0122505
25  <pt<30 	4<chiso range<12 	29.762	30.5788	7.78207	0.104959
25  <pt<30 	4<chiso range<13 	29.762	30.9112	7.72037	0.148853
25  <pt<30 	5<chiso range<10 	29.762	29.062	7.92063	0.0883768
25  <pt<30 	5<chiso range<11 	29.762	29.488	7.90695	0.0346531
25  <pt<30 	5<chiso range<12 	29.762	30.4058	7.77318	0.0828232
25  <pt<30 	5<chiso range<13 	29.762	30.8185	7.70319	0.137151
25  <pt<30 	6<chiso range<11 	29.762	29.8347	7.95416	0.00913987
25  <pt<30 	6<chiso range<12 	29.762	30.8384	7.78602	0.138248
25  <pt<30 	6<chiso range<13 	29.762	31.2632	7.70186	0.194914
25  <pt<30 	7<chiso range<12 	29.762	31.6666	7.65978	0.248649
25  <pt<30 	7<chiso range<13 	29.762	32.0802	7.58263	0.305725
25  <pt<30 	8<chiso range<13 	29.762	31.6062	7.52956	0.244928
#######################################################################################
30  <pt<35 	3<chiso range<8 	19.0188	19.9704	5.89161	0.161518
30  <pt<35 	3<chiso range<9 	19.0188	20.3479	5.85398	0.227042
30  <pt<35 	3<chiso range<10 	19.0188	20.3165	5.86831	0.221137
30  <pt<35 	3<chiso range<11 	19.0188	20.05	5.91954	0.174203
30  <pt<35 	3<chiso range<12 	19.0188	20.2451	5.91046	0.20748
30  <pt<35 	3<chiso range<13 	19.0188	20.2828	5.87419	0.215179
30  <pt<35 	4<chiso range<9 	19.0188	20.7195	5.8428	0.291076
30  <pt<35 	4<chiso range<10 	19.0188	20.6434	5.8627	0.277108
30  <pt<35 	4<chiso range<11 	19.0188	20.2931	5.92793	0.214965
30  <pt<35 	4<chiso range<12 	19.0188	20.5173	5.91685	0.25326
30  <pt<35 	4<chiso range<13 	19.0188	20.5275	5.87097	0.256976
30  <pt<35 	5<chiso range<10 	19.0188	20.3732	5.91621	0.22893
30  <pt<35 	5<chiso range<11 	19.0188	19.9742	5.99564	0.159349
30  <pt<35 	5<chiso range<12 	19.0188	20.2845	5.97483	0.211839
30  <pt<35 	5<chiso range<13 	19.0188	20.3066	5.91132	0.217853
30  <pt<35 	6<chiso range<11 	19.0188	20.4453	6.03724	0.236283
30  <pt<35 	6<chiso range<12 	19.0188	20.7767	6.00779	0.292603
30  <pt<35 	6<chiso range<13 	19.0188	20.6945	5.92138	0.282991
30  <pt<35 	7<chiso range<12 	19.0188	21.4225	5.87528	0.409121
30  <pt<35 	7<chiso range<13 	19.0188	21.2785	5.79953	0.389635
30  <pt<35 	8<chiso range<13 	19.0188	20.8283	5.84771	0.309437
#######################################################################################
35  <pt<50 	3<chiso range<8 	30.436	31.0925	6.7722	0.0969404
35  <pt<50 	3<chiso range<9 	30.436	30.9708	6.78404	0.0788321
35  <pt<50 	3<chiso range<10 	30.436	31.4392	6.72113	0.149261
35  <pt<50 	3<chiso range<11 	30.436	31.632	6.69706	0.178586
35  <pt<50 	3<chiso range<12 	30.436	31.167	6.76351	0.10808
35  <pt<50 	3<chiso range<13 	30.436	31.3316	6.73491	0.132979
35  <pt<50 	4<chiso range<9 	30.436	31.0667	6.77145	0.0931411
35  <pt<50 	4<chiso range<10 	30.436	31.6207	6.69841	0.176863
35  <pt<50 	4<chiso range<11 	30.436	31.8292	6.67304	0.20878
35  <pt<50 	4<chiso range<12 	30.436	31.2672	6.75153	0.123113
35  <pt<50 	4<chiso range<13 	30.436	31.4474	6.71903	0.150528
35  <pt<50 	5<chiso range<10 	30.436	32.0059	6.65448	0.235916
35  <pt<50 	5<chiso range<11 	30.436	32.2035	6.63089	0.266555
35  <pt<50 	5<chiso range<12 	30.436	31.4907	6.72422	0.156851
35  <pt<50 	5<chiso range<13 	30.436	31.6974	6.68948	0.188565
35  <pt<50 	6<chiso range<11 	30.436	32.502	6.60709	0.312694
35  <pt<50 	6<chiso range<12 	30.436	31.6349	6.7192	0.178429
35  <pt<50 	6<chiso range<13 	30.436	31.8612	6.67899	0.213386
35  <pt<50 	7<chiso range<12 	30.436	31.1997	6.79004	0.112474
35  <pt<50 	7<chiso range<13 	30.436	31.5076	6.728	0.159275
35  <pt<50 	8<chiso range<13 	30.436	31.6948	6.68127	0.188407
#######################################################################################
50  <pt<60 	3<chiso range<8 	8.18255	9.29255	3.62008	0.306623
50  <pt<60 	3<chiso range<9 	8.18255	9.52306	3.55431	0.377151
50  <pt<60 	3<chiso range<10 	8.18255	9.50209	3.55655	0.371017
50  <pt<60 	3<chiso range<11 	8.18255	9.53009	3.53994	0.380667
50  <pt<60 	3<chiso range<12 	8.18255	9.56758	3.53014	0.392344
50  <pt<60 	3<chiso range<13 	8.18255	9.42534	3.5507	0.350013
50  <pt<60 	4<chiso range<9 	8.18255	9.67217	3.51019	0.42437
50  <pt<60 	4<chiso range<10 	8.18255	9.63508	3.51683	0.413023
50  <pt<60 	4<chiso range<11 	8.18255	9.65083	3.50527	0.418878
50  <pt<60 	4<chiso range<12 	8.18255	9.67835	3.49894	0.427501
50  <pt<60 	4<chiso range<13 	8.18255	9.52338	3.52187	0.380715
50  <pt<60 	5<chiso range<10 	8.18255	9.50054	3.53481	0.37286
50  <pt<60 	5<chiso range<11 	8.18255	9.54319	3.51757	0.386812
50  <pt<60 	5<chiso range<12 	8.18255	9.59051	3.50823	0.401331
50  <pt<60 	5<chiso range<13 	8.18255	9.41183	3.53573	0.347674
50  <pt<60 	6<chiso range<11 	8.18255	9.6724	3.5118	0.424241
50  <pt<60 	6<chiso range<12 	8.18255	9.70636	3.50208	0.435116
50  <pt<60 	6<chiso range<13 	8.18255	9.49543	3.53256	0.371651
50  <pt<60 	7<chiso range<12 	8.18255	9.67743	3.50563	0.426423
50  <pt<60 	7<chiso range<13 	8.18255	9.42668	3.54244	0.351207
50  <pt<60 	8<chiso range<13 	8.18255	9.60973	3.4833	0.409721
#######################################################################################
60  <pt<400 	3<chiso range<8 	18.1964	16.9136	5.01929	0.255574
60  <pt<400 	3<chiso range<9 	18.1964	17.5323	4.85231	0.136863
60  <pt<400 	3<chiso range<10 	18.1964	17.5965	4.82352	0.12437
60  <pt<400 	3<chiso range<11 	18.1964	17.593	4.82543	0.125046
60  <pt<400 	3<chiso range<12 	18.1964	17.6415	4.81451	0.115256
60  <pt<400 	3<chiso range<13 	18.1964	17.4145	4.86613	0.160682
60  <pt<400 	4<chiso range<9 	18.1964	18.2177	4.7236	0.00450927
60  <pt<400 	4<chiso range<10 	18.1964	18.1481	4.72466	0.010223
60  <pt<400 	4<chiso range<11 	18.1964	18.0757	4.73944	0.0254671
60  <pt<400 	4<chiso range<12 	18.1964	18.066	4.74159	0.0275013
60  <pt<400 	4<chiso range<13 	18.1964	17.7667	4.7843	0.0898146
60  <pt<400 	5<chiso range<10 	18.1964	17.8283	4.7773	0.0770519
60  <pt<400 	5<chiso range<11 	18.1964	17.7893	4.78659	0.0850501
