pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	128.137	54.7099	0.426964	0.508524	0.0477718	1.70728
20 <pt<25 	3<chiso range<9 	128.137	54.7099	0.426964	0.503011	0.0472613	1.60907
20 <pt<25 	3<chiso range<10 	128.137	54.7099	0.426964	0.477929	0.0449315	1.13428
20 <pt<25 	3<chiso range<11 	128.137	54.7099	0.426964	0.489848	0.0460457	1.36568
20 <pt<25 	3<chiso range<12 	128.137	54.7099	0.426964	0.482679	0.0453759	1.22785
20 <pt<25 	3<chiso range<13 	128.137	54.7099	0.426964	0.469825	0.0441714	0.970331
20 <pt<25 	4<chiso range<9 	128.137	54.7099	0.426964	0.540494	0.0507503	2.23703
20 <pt<25 	4<chiso range<10 	128.137	54.7099	0.426964	0.503996	0.0473667	1.62629
20 <pt<25 	4<chiso range<11 	128.137	54.7099	0.426964	0.516359	0.0485207	1.84241
20 <pt<25 	4<chiso range<12 	128.137	54.7099	0.426964	0.505765	0.0475323	1.65784
20 <pt<25 	4<chiso range<13 	128.137	54.7099	0.426964	0.488883	0.0459524	1.34746
20 <pt<25 	5<chiso range<10 	128.137	54.7099	0.426964	0.533355	0.0501238	2.12256
20 <pt<25 	5<chiso range<11 	128.137	54.7099	0.426964	0.545878	0.0512883	2.31854
20 <pt<25 	5<chiso range<12 	128.137	54.7099	0.426964	0.530096	0.049817	2.07021
20 <pt<25 	5<chiso range<13 	128.137	54.7099	0.426964	0.507541	0.0477074	1.68898
20 <pt<25 	6<chiso range<11 	128.137	54.7099	0.426964	0.50341	0.0473677	1.61388
20 <pt<25 	6<chiso range<12 	128.137	54.7099	0.426964	0.489342	0.0460458	1.35469
20 <pt<25 	6<chiso range<13 	128.137	54.7099	0.426964	0.467119	0.0439555	0.913535
20 <pt<25 	7<chiso range<12 	128.137	54.7099	0.426964	0.477093	0.0448906	1.11669
20 <pt<25 	7<chiso range<13 	128.137	54.7099	0.426964	0.450671	0.0424055	0.559052
20 <pt<25 	8<chiso range<13 	128.137	54.7099	0.426964	0.406958	0.0383059	0.522272
#######################################################################################
25 <pt<30 	3<chiso range<8 	71.4077	26.058	0.364919	0.452713	0.064696	1.35703
25 <pt<30 	3<chiso range<9 	71.4077	26.058	0.364919	0.452072	0.0646148	1.34881
25 <pt<30 	3<chiso range<10 	71.4077	26.058	0.364919	0.443929	0.0634596	1.24505
25 <pt<30 	3<chiso range<11 	71.4077	26.058	0.364919	0.428918	0.0613274	1.04357
25 <pt<30 	3<chiso range<12 	71.4077	26.058	0.364919	0.428588	0.0612718	1.03913
25 <pt<30 	3<chiso range<13 	71.4077	26.058	0.364919	0.433419	0.0619597	1.10556
25 <pt<30 	4<chiso range<9 	71.4077	26.058	0.364919	0.447547	0.0639766	1.29154
25 <pt<30 	4<chiso range<10 	71.4077	26.058	0.364919	0.43859	0.062699	1.175
25 <pt<30 	4<chiso range<11 	71.4077	26.058	0.364919	0.421975	0.0603412	0.945562
25 <pt<30 	4<chiso range<12 	71.4077	26.058	0.364919	0.422225	0.0603669	0.949301
25 <pt<30 	4<chiso range<13 	71.4077	26.058	0.364919	0.427985	0.0611874	1.03071
25 <pt<30 	5<chiso range<10 	71.4077	26.058	0.364919	0.431033	0.061641	1.07257
25 <pt<30 	5<chiso range<11 	71.4077	26.058	0.364919	0.412099	0.0589499	0.800347
25 <pt<30 	5<chiso range<12 	71.4077	26.058	0.364919	0.413452	0.0591293	0.820801
25 <pt<30 	5<chiso range<13 	71.4077	26.058	0.364919	0.42071	0.060163	0.927337
25 <pt<30 	6<chiso range<11 	71.4077	26.058	0.364919	0.430426	0.0615531	1.06424
25 <pt<30 	6<chiso range<12 	71.4077	26.058	0.364919	0.429661	0.0614274	1.05397
25 <pt<30 	6<chiso range<13 	71.4077	26.058	0.364919	0.437604	0.0625584	1.16188
25 <pt<30 	7<chiso range<12 	71.4077	26.058	0.364919	0.402714	0.0576136	0.656015
25 <pt<30 	7<chiso range<13 	71.4077	26.058	0.364919	0.414545	0.0592987	0.836888
25 <pt<30 	8<chiso range<13 	71.4077	26.058	0.364919	0.404622	0.0578692	0.686088
#######################################################################################
30 <pt<35 	3<chiso range<8 	44.8924	16.0508	0.357539	0.360983	0.0729822	0.0471846
30 <pt<35 	3<chiso range<9 	44.8924	16.0508	0.357539	0.343954	0.0695806	0.195246
30 <pt<35 	3<chiso range<10 	44.8924	16.0508	0.357539	0.342597	0.0693078	0.215594
30 <pt<35 	3<chiso range<11 	44.8924	16.0508	0.357539	0.348706	0.0705434	0.125219
30 <pt<35 	3<chiso range<12 	44.8924	16.0508	0.357539	0.338227	0.0684503	0.282137
