pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	54.7099	44.5832	3.9633	2.55512
20 <pt<25 	3<chiso range<9 	54.7099	44.0999	3.92102	2.70593
20 <pt<25 	3<chiso range<10 	54.7099	41.9009	3.72799	3.4359
20 <pt<25 	3<chiso range<11 	54.7099	42.9458	3.82038	3.0793
20 <pt<25 	3<chiso range<12 	54.7099	42.3173	3.76484	3.29167
20 <pt<25 	3<chiso range<13 	54.7099	41.1904	3.66494	3.68887
20 <pt<25 	4<chiso range<9 	54.7099	47.3861	4.21016	1.73955
20 <pt<25 	4<chiso range<10 	54.7099	44.1862	3.92989	2.67786
20 <pt<25 	4<chiso range<11 	54.7099	45.2701	4.02556	2.34497
20 <pt<25 	4<chiso range<12 	54.7099	44.3413	3.94362	2.62921
20 <pt<25 	4<chiso range<13 	54.7099	42.8612	3.81261	3.10777
20 <pt<25 	5<chiso range<10 	54.7099	46.7602	4.15861	1.91162
20 <pt<25 	5<chiso range<11 	54.7099	47.8581	4.25512	1.61025
20 <pt<25 	5<chiso range<12 	54.7099	46.4744	4.13316	1.99254
20 <pt<25 	5<chiso range<13 	54.7099	44.497	3.95823	2.58017
20 <pt<25 	6<chiso range<11 	54.7099	44.1348	3.93051	2.69052
20 <pt<25 	6<chiso range<12 	54.7099	42.9015	3.82084	3.09052
20 <pt<25 	6<chiso range<13 	54.7099	40.9531	3.6474	3.77167
20 <pt<25 	7<chiso range<12 	54.7099	41.8276	3.72496	3.45837
20 <pt<25 	7<chiso range<13 	54.7099	39.5111	3.51876	4.31936
20 <pt<25 	8<chiso range<13 	54.7099	35.6787	3.1787	5.9871
#######################################################################################
25 <pt<30 	3<chiso range<8 	26.058	21.6239	2.96647	1.49474
25 <pt<30 	3<chiso range<9 	26.058	21.5933	2.96279	1.50692
25 <pt<30 	3<chiso range<10 	26.058	21.2043	2.90985	1.66802
25 <pt<30 	3<chiso range<11 	26.058	20.4873	2.81213	1.98095
25 <pt<30 	3<chiso range<12 	26.058	20.4716	2.80955	1.98836
25 <pt<30 	3<chiso range<13 	26.058	20.7023	2.84109	1.88509
25 <pt<30 	4<chiso range<9 	26.058	21.3771	2.93356	1.59564
25 <pt<30 	4<chiso range<10 	26.058	20.9493	2.87498	1.77695
25 <pt<30 	4<chiso range<11 	26.058	20.1557	2.76694	2.13315
25 <pt<30 	4<chiso range<12 	26.058	20.1676	2.76808	2.12797
25 <pt<30 	4<chiso range<13 	26.058	20.4428	2.80569	2.00136
25 <pt<30 	5<chiso range<10 	26.058	20.5884	2.82656	1.93507
25 <pt<30 	5<chiso range<11 	26.058	19.684	2.70322	2.35793
25 <pt<30 	5<chiso range<12 	26.058	19.7486	2.71139	2.327
25 <pt<30 	5<chiso range<13 	26.058	20.0953	2.75878	2.16135
25 <pt<30 	6<chiso range<11 	26.058	20.5594	2.82252	1.94812
25 <pt<30 	6<chiso range<12 	26.058	20.5228	2.8167	1.96514
25 <pt<30 	6<chiso range<13 	26.058	20.9022	2.86854	1.79736
25 <pt<30 	7<chiso range<12 	26.058	19.2357	2.64197	2.58228
25 <pt<30 	7<chiso range<13 	26.058	19.8008	2.71921	2.30111
25 <pt<30 	8<chiso range<13 	26.058	19.3268	2.65362	2.53661
#######################################################################################
30 <pt<35 	3<chiso range<8 	16.0508	11.4916	2.25559	2.02129
30 <pt<35 	3<chiso range<9 	16.0508	10.9495	2.15054	2.3721
30 <pt<35 	3<chiso range<10 	16.0508	10.9063	2.14211	2.4016
30 <pt<35 	3<chiso range<11 	16.0508	11.1008	2.1803	2.27033
30 <pt<35 	3<chiso range<12 	16.0508	10.7672	2.11566	2.49738
30 <pt<35 	3<chiso range<13 	16.0508	10.3847	2.04119	2.77588
30 <pt<35 	4<chiso range<9 	16.0508	11.399	2.23822	2.07835
30 <pt<35 	4<chiso range<10 	16.0508	11.2839	2.21578	2.15134
30 <pt<35 	4<chiso range<11 	16.0508	11.478	2.25393	2.02881
30 <pt<35 	4<chiso range<12 	16.0508	11.047	2.17044	2.30543
30 <pt<35 	4<chiso range<13 	16.0508	10.582	2.07994	2.62931
30 <pt<35 	5<chiso range<10 	16.0508	11.2059	2.2021	2.20013
30 <pt<35 	5<chiso range<11 	16.0508	11.4553	2.25098	2.04156
30 <pt<35 	5<chiso range<12 	16.0508	10.9378	2.15051	2.37758
30 <pt<35 	5<chiso range<13 	16.0508	10.3919	2.04404	2.76849
30 <pt<35 	6<chiso range<11 	16.0508	11.197	2.20101	2.20526
30 <pt<35 	6<chiso range<12 	16.0508	10.645	2.0937	2.58194
30 <pt<35 	6<chiso range<13 	16.0508	10.0564	1.97878	3.02934
30 <pt<35 	7<chiso range<12 	16.0508	8.98051	1.76978	3.99501
30 <pt<35 	7<chiso range<13 	16.0508	8.4264	1.66103	4.59016
30 <pt<35 	8<chiso range<13 	16.0508	8.67456	1.70849	4.3174
#######################################################################################
35 <pt<50 	3<chiso range<8 	17.3003	14.3452	2.89359	1.02126
35 <pt<50 	3<chiso range<9 	17.3003	13.0391	2.63229	1.61882
35 <pt<50 	3<chiso range<10 	17.3003	12.9323	2.61074	1.67309
35 <pt<50 	3<chiso range<11 	17.3003	12.5948	2.54326	1.85018
35 <pt<50 	3<chiso range<12 	17.3003	12.6832	2.56068	1.80308
35 <pt<50 	3<chiso range<13 	17.3003	12.1301	2.44938	2.11082
35 <pt<50 	4<chiso range<9 	17.3003	12.7825	2.58209	1.74967
35 <pt<50 	4<chiso range<10 	17.3003	12.6912	2.56339	1.79805
35 <pt<50 	4<chiso range<11 	17.3003	12.3102	2.48703	2.00645
35 <pt<50 	4<chiso range<12 	17.3003	12.4424	2.51311	1.93302
35 <pt<50 	4<chiso range<13 	17.3003	11.8158	2.38684	2.29781
35 <pt<50 	5<chiso range<10 	17.3003	11.7104	2.3653	2.36329
35 <pt<50 	5<chiso range<11 	17.3003	11.4043	2.30414	2.55887
35 <pt<50 	5<chiso range<12 	17.3003	11.6554	2.35416	2.39784
