pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	128.137	54.7099	0.426964	0.386364	0.0388682	1.04456
20 <pt<25 	3<chiso range<9 	128.137	54.7099	0.426964	0.381482	0.0384239	1.18369
20 <pt<25 	3<chiso range<10 	128.137	54.7099	0.426964	0.359999	0.0364066	1.83937
20 <pt<25 	3<chiso range<11 	128.137	54.7099	0.426964	0.369233	0.0373656	1.54503
20 <pt<25 	3<chiso range<12 	128.137	54.7099	0.426964	0.363579	0.0367899	1.72289
20 <pt<25 	3<chiso range<13 	128.137	54.7099	0.426964	0.353837	0.0357594	2.04498
20 <pt<25 	4<chiso range<9 	128.137	54.7099	0.426964	0.411687	0.0414586	0.368491
20 <pt<25 	4<chiso range<10 	128.137	54.7099	0.426964	0.380419	0.0385049	1.20881
20 <pt<25 	4<chiso range<11 	128.137	54.7099	0.426964	0.390002	0.0395057	0.935615
20 <pt<25 	4<chiso range<12 	128.137	54.7099	0.426964	0.381627	0.0386503	1.17301
20 <pt<25 	4<chiso range<13 	128.137	54.7099	0.426964	0.368774	0.0372908	1.56044
20 <pt<25 	5<chiso range<10 	128.137	54.7099	0.426964	0.400958	0.0408793	0.636168
20 <pt<25 	5<chiso range<11 	128.137	54.7099	0.426964	0.410854	0.0419	0.384489
20 <pt<25 	5<chiso range<12 	128.137	54.7099	0.426964	0.398654	0.0406189	0.696969
20 <pt<25 	5<chiso range<13 	128.137	54.7099	0.426964	0.381732	0.0387946	1.16594
20 <pt<25 	6<chiso range<11 	128.137	54.7099	0.426964	0.372306	0.0384535	1.42141
20 <pt<25 	6<chiso range<12 	128.137	54.7099	0.426964	0.362362	0.0373228	1.7309
20 <pt<25 	6<chiso range<13 	128.137	54.7099	0.426964	0.346653	0.0355421	2.25961
20 <pt<25 	7<chiso range<12 	128.137	54.7099	0.426964	0.354029	0.036344	2.0068
20 <pt<25 	7<chiso range<13 	128.137	54.7099	0.426964	0.335141	0.0342317	2.6824
20 <pt<25 	8<chiso range<13 	128.137	54.7099	0.426964	0.301978	0.0307614	4.06308
#######################################################################################
25 <pt<30 	3<chiso range<8 	71.4077	26.058	0.364919	0.333878	0.0499699	0.621187
25 <pt<30 	3<chiso range<9 	71.4077	26.058	0.364919	0.332812	0.0498991	0.643431
25 <pt<30 	3<chiso range<10 	71.4077	26.058	0.364919	0.326815	0.0489706	0.778092
25 <pt<30 	3<chiso range<11 	71.4077	26.058	0.364919	0.315461	0.0472534	1.04665
25 <pt<30 	3<chiso range<12 	71.4077	26.058	0.364919	0.315705	0.0472139	1.04235
25 <pt<30 	3<chiso range<13 	71.4077	26.058	0.364919	0.319231	0.0477658	0.956492
25 <pt<30 	4<chiso range<9 	71.4077	26.058	0.364919	0.329308	0.0493859	0.721069
25 <pt<30 	4<chiso range<10 	71.4077	26.058	0.364919	0.322715	0.04836	0.872697
25 <pt<30 	4<chiso range<11 	71.4077	26.058	0.364919	0.310176	0.0464626	1.17821
25 <pt<30 	4<chiso range<12 	71.4077	26.058	0.364919	0.310909	0.046489	1.16177
25 <pt<30 	4<chiso range<13 	71.4077	26.058	0.364919	0.315125	0.0471464	1.05615
25 <pt<30 	5<chiso range<10 	71.4077	26.058	0.364919	0.31621	0.0474996	1.02545
25 <pt<30 	5<chiso range<11 	71.4077	26.058	0.364919	0.302097	0.0453397	1.38558
25 <pt<30 	5<chiso range<12 	71.4077	26.058	0.364919	0.303841	0.0454909	1.34263
25 <pt<30 	5<chiso range<13 	71.4077	26.058	0.364919	0.309169	0.0463182	1.20362
25 <pt<30 	6<chiso range<11 	71.4077	26.058	0.364919	0.315717	0.0474324	1.0373
