pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	207.803	90.7729	0.436822	0.555476	0.042715	2.77781
20 <pt<25 	3<chiso range<9 	207.803	90.7729	0.436822	0.550765	0.042355	2.69019
20 <pt<25 	3<chiso range<10 	207.803	90.7729	0.436822	0.534711	0.0411318	2.37989
20 <pt<25 	3<chiso range<11 	207.803	90.7729	0.436822	0.528345	0.0406445	2.2518
20 <pt<25 	3<chiso range<12 	207.803	90.7729	0.436822	0.519814	0.0399911	2.07526
20 <pt<25 	3<chiso range<13 	207.803	90.7729	0.436822	0.50354	0.038744	1.72202
20 <pt<25 	4<chiso range<9 	207.803	90.7729	0.436822	0.567543	0.0436369	2.99566
20 <pt<25 	4<chiso range<10 	207.803	90.7729	0.436822	0.545666	0.0419702	2.59337
20 <pt<25 	4<chiso range<11 	207.803	90.7729	0.436822	0.536934	0.041302	2.4239
20 <pt<25 	4<chiso range<12 	207.803	90.7729	0.436822	0.526102	0.0404727	2.20593
20 <pt<25 	4<chiso range<13 	207.803	90.7729	0.436822	0.506657	0.038983	1.79142
20 <pt<25 	5<chiso range<10 	207.803	90.7729	0.436822	0.547901	0.0421367	2.63616
20 <pt<25 	5<chiso range<11 	207.803	90.7729	0.436822	0.53661	0.0412776	2.41749
20 <pt<25 	5<chiso range<12 	207.803	90.7729	0.436822	0.523297	0.0402582	2.14801
20 <pt<25 	5<chiso range<13 	207.803	90.7729	0.436822	0.499934	0.0384679	1.64064
20 <pt<25 	6<chiso range<11 	207.803	90.7729	0.436822	0.51951	0.0399691	2.0688
20 <pt<25 	6<chiso range<12 	207.803	90.7729	0.436822	0.505574	0.038901	1.76736
20 <pt<25 	6<chiso range<13 	207.803	90.7729	0.436822	0.479382	0.0368926	1.15362
20 <pt<25 	7<chiso range<12 	207.803	90.7729	0.436822	0.480872	0.0370068	1.19032
20 <pt<25 	7<chiso range<13 	207.803	90.7729	0.436822	0.451793	0.0347754	0.430509
20 <pt<25 	8<chiso range<13 	207.803	90.7729	0.436822	0.421582	0.0324557	0.46956
#######################################################################################
25 <pt<30 	3<chiso range<8 	118.545	43.3583	0.365754	0.486902	0.0585614	2.06874
25 <pt<30 	3<chiso range<9 	118.545	43.3583	0.365754	0.491389	0.0590972	2.12591
