pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	90.7729	95.757	7.03904	0.708065
20 <pt<25 	3<chiso range<9 	90.7729	94.945	6.97975	0.597743
20 <pt<25 	3<chiso range<10 	90.7729	92.1774	6.77836	0.207204
20 <pt<25 	3<chiso range<11 	90.7729	91.0801	6.69809	0.0458638
20 <pt<25 	3<chiso range<12 	90.7729	89.6093	6.59045	0.176559
20 <pt<25 	3<chiso range<13 	90.7729	86.8039	6.38502	0.621611
20 <pt<25 	4<chiso range<9 	90.7729	97.8373	7.19088	0.982411
20 <pt<25 	4<chiso range<10 	90.7729	94.0659	6.91645	0.476111
20 <pt<25 	4<chiso range<11 	90.7729	92.5606	6.8064	0.26265
20 <pt<25 	4<chiso range<12 	90.7729	90.6933	6.66979	0.0119344
20 <pt<25 	4<chiso range<13 	90.7729	87.3413	6.42438	0.534153
20 <pt<25 	5<chiso range<10 	90.7729	94.4512	6.94381	0.529724
20 <pt<25 	5<chiso range<11 	90.7729	92.5048	6.80238	0.254602
20 <pt<25 	5<chiso range<12 	90.7729	90.2098	6.63446	0.084875
20 <pt<25 	5<chiso range<13 	90.7729	86.1824	6.33954	0.724106
20 <pt<25 	6<chiso range<11 	90.7729	89.557	6.58686	0.184595
20 <pt<25 	6<chiso range<12 	90.7729	87.1545	6.4109	0.564414
20 <pt<25 	6<chiso range<13 	90.7729	82.6394	6.08001	1.33774
20 <pt<25 	7<chiso range<12 	90.7729	82.8962	6.09884	1.29151
20 <pt<25 	7<chiso range<13 	90.7729	77.8834	5.73118	2.24901
20 <pt<25 	8<chiso range<13 	90.7729	72.6753	5.34899	3.38337
#######################################################################################
25 <pt<30 	3<chiso range<8 	43.3583	44.926	5.2334	0.299557
25 <pt<30 	3<chiso range<9 	43.3583	45.34	5.28126	0.375232
25 <pt<30 	3<chiso range<10 	43.3583	44.8866	5.22884	0.292283
25 <pt<30 	3<chiso range<11 	43.3583	43.4113	5.05865	0.0104771
25 <pt<30 	3<chiso range<12 	43.3583	42.7303	4.97982	0.126109
25 <pt<30 	3<chiso range<13 	43.3583	43.3282	5.04903	0.00596154
25 <pt<30 	4<chiso range<9 	43.3583	43.6057	5.08117	0.0486896
25 <pt<30 	4<chiso range<10 	43.3583	43.2952	5.04522	0.0125069
25 <pt<30 	4<chiso range<11 	43.3583	41.7643	4.86799	0.327445
25 <pt<30 	4<chiso range<12 	43.3583	41.0989	4.78845	0.471844
25 <pt<30 	4<chiso range<13 	43.3583	41.9059	4.88438	0.297356
25 <pt<30 	5<chiso range<10 	43.3583	45.2879	5.27528	0.365782
25 <pt<30 	5<chiso range<11 	43.3583	43.1078	5.02357	0.0498649
25 <pt<30 	5<chiso range<12 	43.3583	42.2002	4.91848	0.235459
25 <pt<30 	5<chiso range<13 	43.3583	43.0465	5.01645	0.0621555
25 <pt<30 	6<chiso range<11 	43.3583	43.6818	5.09003	0.0635556
25 <pt<30 	6<chiso range<12 	43.3583	42.4779	4.95065	0.177835
