pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	58.0397	76.5904	14.8831	1.24643
20  <pt<25 	3<chiso range<9 	58.0397	77.407	14.8553	1.30373
20  <pt<25 	3<chiso range<10 	58.0397	80.1875	14.7638	1.50014
20  <pt<25 	3<chiso range<11 	58.0397	81.2891	14.7272	1.57867
20  <pt<25 	3<chiso range<12 	58.0397	82.7643	14.6788	1.68437
20  <pt<25 	3<chiso range<13 	58.0397	85.5763	14.588	1.88762
20  <pt<25 	4<chiso range<9 	58.0397	74.4985	14.9552	1.10054
20  <pt<25 	4<chiso range<10 	58.0397	78.2915	14.8275	1.36583
20  <pt<25 	4<chiso range<11 	58.0397	79.8034	14.7767	1.47284
20  <pt<25 	4<chiso range<12 	58.0397	81.6772	14.7145	1.60641
20  <pt<25 	4<chiso range<13 	58.0397	85.0379	14.6052	1.84853
20  <pt<25 	5<chiso range<10 	58.0397	77.9063	14.8389	1.33882
20  <pt<25 	5<chiso range<11 	58.0397	79.8612	14.775	1.47692
20  <pt<25 	5<chiso range<12 	58.0397	82.1637	14.6987	1.64123
20  <pt<25 	5<chiso range<13 	58.0397	86.2005	14.5683	1.93302
20  <pt<25 	6<chiso range<11 	58.0397	82.8235	14.6778	1.68852
20  <pt<25 	6<chiso range<12 	58.0397	85.2307	14.5999	1.86241
20  <pt<25 	6<chiso range<13 	58.0397	89.7523	14.4579	2.19344
20  <pt<25 	7<chiso range<12 	58.0397	89.4951	14.4659	2.17445
20  <pt<25 	7<chiso range<13 	58.0397	94.5115	14.315	2.5478
20  <pt<25 	8<chiso range<13 	58.0397	99.7162	14.1663	2.94195
#######################################################################################
25  <pt<30 	3<chiso range<8 	37.572	47.3429	10.9144	0.89523
25  <pt<30 	3<chiso range<9 	37.572	46.9289	10.9374	0.855496
25  <pt<30 	3<chiso range<10 	37.572	47.3824	10.9123	0.899022
25  <pt<30 	3<chiso range<11 	37.572	48.8584	10.8328	1.04187
25  <pt<30 	3<chiso range<12 	37.572	49.5395	10.7964	1.10847
25  <pt<30 	3<chiso range<13 	37.572	48.9413	10.8283	1.04996
25  <pt<30 	4<chiso range<9 	37.572	48.6644	10.8434	1.02296
25  <pt<30 	4<chiso range<10 	37.572	48.9747	10.8266	1.05321
25  <pt<30 	4<chiso range<11 	37.572	50.5059	10.7455	1.20366
25  <pt<30 	4<chiso range<12 	37.572	51.1106	10.705	1.2647
25  <pt<30 	4<chiso range<13 	37.572	50.3641	10.7529	1.18964
25  <pt<30 	5<chiso range<10 	37.572	46.9814	10.9346	0.860516
25  <pt<30 	5<chiso range<11 	37.572	49.1626	10.8166	1.07156
25  <pt<30 	5<chiso range<12 	37.572	50.0701	10.7684	1.16063
25  <pt<30 	5<chiso range<13 	37.572	49.2235	10.8133	1.07752
25  <pt<30 	6<chiso range<11 	37.572	48.5887	10.8476	1.01559
25  <pt<30 	6<chiso range<12 	37.572	49.7927	10.7831	1.13332
25  <pt<30 	6<chiso range<13 	37.572	48.7823	10.837	1.03445
25  <pt<30 	7<chiso range<12 	37.572	52.1862	10.6511	1.37208
25  <pt<30 	7<chiso range<13 	37.572	50.7945	10.7295	1.23235
25  <pt<30 	8<chiso range<13 	37.572	51.4275	10.6889	1.29625
#######################################################################################
30  <pt<35 	3<chiso range<8 	26.1673	31.0376	8.57704	0.56783
30  <pt<35 	3<chiso range<9 	26.1673	32.7115	8.45041	0.774424
30  <pt<35 	3<chiso range<10 	26.1673	32.9495	8.43293	0.804252
30  <pt<35 	3<chiso range<11 	26.1673	32.5272	8.46429	0.75138
30  <pt<35 	3<chiso range<12 	26.1673	33.2113	8.4141	0.837166
30  <pt<35 	3<chiso range<13 	26.1673	33.5446	8.38989	0.879308
30  <pt<35 	4<chiso range<9 	26.1673	33.2263	8.41266	0.839093
30  <pt<35 	4<chiso range<10 	26.1673	33.4533	8.39626	0.867767
30  <pt<35 	4<chiso range<11 	26.1673	32.8944	8.4372	0.797314
30  <pt<35 	4<chiso range<12 	26.1673	33.6736	8.38076	0.895659
30  <pt<35 	4<chiso range<13 	26.1673	34.0346	8.35491	0.941638
30  <pt<35 	5<chiso range<10 	26.1673	33.9521	8.36095	0.93109
30  <pt<35 	5<chiso range<11 	26.1673	33.2109	8.41452	0.837077
30  <pt<35 	5<chiso range<12 	26.1673	34.1079	8.35027	0.950939
30  <pt<35 	5<chiso range<13 	26.1673	34.4997	8.32257	1.00118
30  <pt<35 	6<chiso range<11 	26.1673	32.7974	8.44539	0.785056
30  <pt<35 	6<chiso range<12 	26.1673	33.9171	8.36433	0.92653
30  <pt<35 	6<chiso range<13 	26.1673	34.3926	8.33048	0.987374
30  <pt<35 	7<chiso range<12 	26.1673	37.6096	8.11837	1.40943
30  <pt<35 	7<chiso range<13 	26.1673	37.764	8.1085	1.43019
30  <pt<35 	8<chiso range<13 	26.1673	37.3733	8.13213	1.37799
#######################################################################################
35  <pt<50 	3<chiso range<8 	44.1522	50.2335	9.85693	0.616957
35  <pt<50 	3<chiso range<9 	44.1522	51.4174	9.76115	0.744298
35  <pt<50 	3<chiso range<10 	44.1522	51.9934	9.71575	0.807061
35  <pt<50 	3<chiso range<11 	44.1522	52.8953	9.64749	0.906256
35  <pt<50 	3<chiso range<12 	44.1522	52.3646	9.68723	0.847755
35  <pt<50 	3<chiso range<13 	44.1522	52.9843	9.64068	0.916128
35  <pt<50 	4<chiso range<9 	44.1522	52.024	9.71361	0.810389
35  <pt<50 	4<chiso range<10 	44.1522	52.629	9.66709	0.876872
35  <pt<50 	4<chiso range<11 	44.1522	53.6218	9.59065	0.987378
35  <pt<50 	4<chiso range<12 	44.1522	52.9426	9.64396	0.911493
35  <pt<50 	4<chiso range<13 	44.1522	53.6077	9.59141	0.98583
