pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	207.803	90.7729	58.0397	95.757	76.5904	0.708065	1.24643
20 <pt<25 	3<chiso range<9 	207.803	90.7729	58.0397	94.945	77.407	0.597743	1.30373
20 <pt<25 	3<chiso range<10 	207.803	90.7729	58.0397	92.1774	80.1875	0.207204	1.50014
20 <pt<25 	3<chiso range<11 	207.803	90.7729	58.0397	91.0801	81.2891	0.0458638	1.57867
20 <pt<25 	3<chiso range<12 	207.803	90.7729	58.0397	89.6093	82.7643	0.176559	1.68437
20 <pt<25 	3<chiso range<13 	207.803	90.7729	58.0397	86.8039	85.5763	0.621611	1.88762
20 <pt<25 	4<chiso range<9 	207.803	90.7729	58.0397	97.8373	74.4985	0.982411	1.10054
20 <pt<25 	4<chiso range<10 	207.803	90.7729	58.0397	94.0659	78.2915	0.476111	1.36583
20 <pt<25 	4<chiso range<11 	207.803	90.7729	58.0397	92.5606	79.8034	0.26265	1.47284
20 <pt<25 	4<chiso range<12 	207.803	90.7729	58.0397	90.6933	81.6772	0.0119344	1.60641
20 <pt<25 	4<chiso range<13 	207.803	90.7729	58.0397	87.3413	85.0379	0.534153	1.84853
20 <pt<25 	5<chiso range<10 	207.803	90.7729	58.0397	94.4512	77.9063	0.529724	1.33882
20 <pt<25 	5<chiso range<11 	207.803	90.7729	58.0397	92.5048	79.8612	0.254602	1.47692
20 <pt<25 	5<chiso range<12 	207.803	90.7729	58.0397	90.2098	82.1637	0.084875	1.64123
20 <pt<25 	5<chiso range<13 	207.803	90.7729	58.0397	86.1824	86.2005	0.724106	1.93302
20 <pt<25 	6<chiso range<11 	207.803	90.7729	58.0397	89.557	82.8235	0.184595	1.68852
20 <pt<25 	6<chiso range<12 	207.803	90.7729	58.0397	87.1545	85.2307	0.564414	1.86241
20 <pt<25 	6<chiso range<13 	207.803	90.7729	58.0397	82.6394	89.7523	1.33774	2.19344
20 <pt<25 	7<chiso range<12 	207.803	90.7729	58.0397	82.8962	89.4951	1.29151	2.17445
20 <pt<25 	7<chiso range<13 	207.803	90.7729	58.0397	77.8834	94.5115	2.24901	2.5478
20 <pt<25 	8<chiso range<13 	207.803	90.7729	58.0397	72.6753	99.7162	3.38337	2.94195
#######################################################################################
25 <pt<30 	3<chiso range<8 	118.545	43.3583	37.572	44.926	47.3429	0.299557	0.89523
25 <pt<30 	3<chiso range<9 	118.545	43.3583	37.572	45.34	46.9289	0.375232	0.855496
25 <pt<30 	3<chiso range<10 	118.545	43.3583	37.572	44.8866	47.3824	0.292283	0.899022
25 <pt<30 	3<chiso range<11 	118.545	43.3583	37.572	43.4113	48.8584	0.0104771	1.04187
25 <pt<30 	3<chiso range<12 	118.545	43.3583	37.572	42.7303	49.5395	0.126109	1.10847
25 <pt<30 	3<chiso range<13 	118.545	43.3583	37.572	43.3282	48.9413	0.00596154	1.04996
25 <pt<30 	4<chiso range<9 	118.545	43.3583	37.572	43.6057	48.6644	0.0486896	1.02296
25 <pt<30 	4<chiso range<10 	118.545	43.3583	37.572	43.2952	48.9747	0.0125069	1.05321
25 <pt<30 	4<chiso range<11 	118.545	43.3583	37.572	41.7643	50.5059	0.327445	1.20366
25 <pt<30 	4<chiso range<12 	118.545	43.3583	37.572	41.0989	51.1106	0.471844	1.2647
25 <pt<30 	4<chiso range<13 	118.545	43.3583	37.572	41.9059	50.3641	0.297356	1.18964
25 <pt<30 	5<chiso range<10 	118.545	43.3583	37.572	45.2879	46.9814	0.365782	0.860516
25 <pt<30 	5<chiso range<11 	118.545	43.3583	37.572	43.1078	49.1626	0.0498649	1.07156
25 <pt<30 	5<chiso range<12 	118.545	43.3583	37.572	42.2002	50.0701	0.235459	1.16063
25 <pt<30 	5<chiso range<13 	118.545	43.3583	37.572	43.0465	49.2235	0.0621555	1.07752
25 <pt<30 	6<chiso range<11 	118.545	43.3583	37.572	43.6818	48.5887	0.0635556	1.01559
25 <pt<30 	6<chiso range<12 	118.545	43.3583	37.572	42.4779	49.7927	0.177835	1.13332
25 <pt<30 	6<chiso range<13 	118.545	43.3583	37.572	43.4878	48.7823	0.0255548	1.03445
25 <pt<30 	7<chiso range<12 	118.545	43.3583	37.572	40.0313	52.1862	0.713157	1.37208
25 <pt<30 	7<chiso range<13 	118.545	43.3583	37.572	41.4745	50.7945	0.389692	1.23235
25 <pt<30 	8<chiso range<13 	118.545	43.3583	37.572	40.784	51.4275	0.541721	1.29625
#######################################################################################
30 <pt<35 	3<chiso range<8 	73.2749	25.4657	26.1673	25.6215	31.0376	0.0372086	0.56783
30 <pt<35 	3<chiso range<9 	73.2749	25.4657	26.1673	23.9548	32.7115	0.385629	0.774424
30 <pt<35 	3<chiso range<10 	73.2749	25.4657	26.1673	23.7177	32.9495	0.450554	0.804252
30 <pt<35 	3<chiso range<11 	73.2749	25.4657	26.1673	24.1391	32.5272	0.336027	0.75138
30 <pt<35 	3<chiso range<12 	73.2749	25.4657	26.1673	23.4578	33.2113	0.523207	0.837166
30 <pt<35 	3<chiso range<13 	73.2749	25.4657	26.1673	23.1253	33.5446	0.618532	0.879308
30 <pt<35 	4<chiso range<9 	73.2749	25.4657	26.1673	23.4417	33.2263	0.527776	0.839093
30 <pt<35 	4<chiso range<10 	73.2749	25.4657	26.1673	23.2156	33.4533	0.592387	0.867767
30 <pt<35 	4<chiso range<11 	73.2749	25.4657	26.1673	23.7734	32.8944	0.435178	0.797314
30 <pt<35 	4<chiso range<12 	73.2749	25.4657	26.1673	22.9971	33.6736	0.656005	0.895659
30 <pt<35 	4<chiso range<13 	73.2749	25.4657	26.1673	22.6368	34.0346	0.763612	0.941638
30 <pt<35 	5<chiso range<10 	73.2749	25.4657	26.1673	22.7197	33.9521	0.738543	0.93109
30 <pt<35 	5<chiso range<11 	73.2749	25.4657	26.1673	23.4594	33.2109	0.522735	0.837077
30 <pt<35 	5<chiso range<12 	73.2749	25.4657	26.1673	22.5655	34.1079	0.78527	0.950939
30 <pt<35 	5<chiso range<13 	73.2749	25.4657	26.1673	22.1742	34.4997	0.906819	1.00118
30 <pt<35 	6<chiso range<11 	73.2749	25.4657	26.1673	23.8733	32.7974	0.407756	0.785056
30 <pt<35 	6<chiso range<12 	73.2749	25.4657	26.1673	22.7575	33.9171	0.727121	0.92653
30 <pt<35 	6<chiso range<13 	73.2749	25.4657	26.1673	22.2824	34.3926	0.872756	0.987374
30 <pt<35 	7<chiso range<12 	73.2749	25.4657	26.1673	19.0723	37.6096	2.0454	1.40943
30 <pt<35 	7<chiso range<13 	73.2749	25.4657	26.1673	18.9169	37.764	2.1123	1.43019
30 <pt<35 	8<chiso range<13 	73.2749	25.4657	26.1673	19.3058	37.3733	1.94721	1.37799
#######################################################################################
35 <pt<50 	3<chiso range<8 	105.344	26.7152	44.1522	26.5368	50.2335	0.0388042	0.616957
35 <pt<50 	3<chiso range<9 	105.344	26.7152	44.1522	25.3343	51.4174	0.314521	0.744298
35 <pt<50 	3<chiso range<10 	105.344	26.7152	44.1522	24.7504	51.9934	0.45802	0.807061
35 <pt<50 	3<chiso range<11 	105.344	26.7152	44.1522	23.8405	52.8953	0.695546	0.906256
35 <pt<50 	3<chiso range<12 	105.344	26.7152	44.1522	24.3756	52.3646	0.553731	0.847755
35 <pt<50 	3<chiso range<13 	105.344	26.7152	44.1522	23.7503	52.9843	0.720094	0.916128
35 <pt<50 	4<chiso range<9 	105.344	26.7152	44.1522	24.7203	52.024	0.46559	0.810389
35 <pt<50 	4<chiso range<10 	105.344	26.7152	44.1522	24.1087	52.629	0.623697	0.876872
35 <pt<50 	4<chiso range<11 	105.344	26.7152	44.1522	23.0921	53.6218	0.904936	0.987378
35 <pt<50 	4<chiso range<12 	105.344	26.7152	44.1522	23.7928	52.9426	0.708497	0.911493
35 <pt<50 	4<chiso range<13 	105.344	26.7152	44.1522	23.1052	53.6077	0.901171	0.98583
35 <pt<50 	5<chiso range<10 	105.344	26.7152	44.1522	23.3731	53.3319	0.82478	0.955233
35 <pt<50 	5<chiso range<11 	105.344	26.7152	44.1522	22.2853	54.4423	1.14623	1.07909
35 <pt<50 	5<chiso range<12 	105.344	26.7152	44.1522	23.1719	53.5395	0.88198	0.978243
35 <pt<50 	5<chiso range<13 	105.344	26.7152	44.1522	22.452	54.2732	1.09507	1.0602
35 <pt<50 	6<chiso range<11 	105.344	26.7152	44.1522	20.3509	56.3501	1.80271	1.2973
35 <pt<50 	6<chiso range<12 	105.344	26.7152	44.1522	21.6021	55.1271	1.36463	1.15657
35 <pt<50 	6<chiso range<13 	105.344	26.7152	44.1522	20.9549	55.7636	1.58484	1.22953
35 <pt<50 	7<chiso range<12 	105.344	26.7152	44.1522	23.185	53.5277	0.878183	0.976885
35 <pt<50 	7<chiso range<13 	105.344	26.7152	44.1522	22.1678	54.5609	1.18283	1.09244
35 <pt<50 	8<chiso range<13 	105.344	26.7152	44.1522	19.9971	56.7351	1.93653	1.34099
#######################################################################################
50 <pt<60 	3<chiso range<8 	30.6344	8.34127	15.1158	6.07042	18.4251	1.0959	0.626543
50 <pt<60 	3<chiso range<9 	30.6344	8.34127	15.1158	6.11528	18.3801	1.06647	0.617345
50 <pt<60 	3<chiso range<10 	30.6344	8.34127	15.1158	5.94358	18.5315	1.18162	0.649196
50 <pt<60 	3<chiso range<11 	30.6344	8.34127	15.1158	5.83888	18.6345	1.25509	0.670508
50 <pt<60 	3<chiso range<12 	30.6344	8.34127	15.1158	6.04647	18.4301	1.11189	0.628309
50 <pt<60 	3<chiso range<13 	30.6344	8.34127	15.1158	6.53822	17.9549	0.808666	0.531292
50 <pt<60 	4<chiso range<9 	30.6344	8.34127	15.1158	6.23728	18.2577	0.988541	0.592412
50 <pt<60 	4<chiso range<10 	30.6344	8.34127	15.1158	6.01404	18.462	1.13361	0.634872
50 <pt<60 	4<chiso range<11 	30.6344	8.34127	15.1158	5.88688	18.5873	1.22109	0.66073
50 <pt<60 	4<chiso range<12 	30.6344	8.34127	15.1158	6.10626	18.3892	1.07235	0.619203
