pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	35.4272	47.962	11.3509	1.1043
20  <pt<25 	3<chiso range<9 	35.4272	48.3308	11.3357	1.13832
20  <pt<25 	3<chiso range<10 	35.4272	51.2866	11.2161	1.41399
20  <pt<25 	3<chiso range<11 	35.4272	50.8584	11.2332	1.37371
20  <pt<25 	3<chiso range<12 	35.4272	51.5119	11.2073	1.4352
20  <pt<25 	3<chiso range<13 	35.4272	53.0031	11.149	1.57646
20  <pt<25 	4<chiso range<9 	35.4272	46.5545	11.4086	0.975343
20  <pt<25 	4<chiso range<10 	35.4272	50.4396	11.25	1.33444
20  <pt<25 	4<chiso range<11 	35.4272	49.9954	11.268	1.29288
20  <pt<25 	4<chiso range<12 	35.4272	50.8375	11.2342	1.37173
20  <pt<25 	4<chiso range<13 	35.4272	52.6399	11.1631	1.54193
20  <pt<25 	5<chiso range<10 	35.4272	49.998	11.2679	1.29312
20  <pt<25 	5<chiso range<11 	35.4272	49.4934	11.2885	1.24606
20  <pt<25 	5<chiso range<12 	35.4272	50.565	11.2452	1.34616
20  <pt<25 	5<chiso range<13 	35.4272	52.7491	11.159	1.55228
20  <pt<25 	6<chiso range<11 	35.4272	53.6635	11.1242	1.63934
20  <pt<25 	6<chiso range<12 	35.4272	54.4795	11.0932	1.71748
20  <pt<25 	6<chiso range<13 	35.4272	56.6187	11.0136	1.92412
20  <pt<25 	7<chiso range<12 	35.4272	56.3843	11.0224	1.90132
20  <pt<25 	7<chiso range<13 	35.4272	58.8151	10.9348	2.13885
20  <pt<25 	8<chiso range<13 	35.4272	60.9732	10.8609	2.35211
#######################################################################################
25  <pt<30 	3<chiso range<8 	22.8623	30.5297	8.38728	0.91417
25  <pt<30 	3<chiso range<9 	22.8623	29.9423	8.42662	0.840195
25  <pt<30 	3<chiso range<10 	22.8623	30.6156	8.38173	0.925024
25  <pt<30 	3<chiso range<11 	22.8623	31.7771	8.29997	1.07408
25  <pt<30 	3<chiso range<12 	22.8623	31.6812	8.30587	1.06177
25  <pt<30 	3<chiso range<13 	22.8623	31.1268	8.34823	0.98997
25  <pt<30 	4<chiso range<9 	22.8623	30.1392	8.41328	0.86493
25  <pt<30 	4<chiso range<10 	22.8623	30.9025	8.36276	0.961429
25  <pt<30 	4<chiso range<11 	22.8623	32.2013	8.27352	1.12878
25  <pt<30 	4<chiso range<12 	22.8623	32.0549	8.28247	1.10989
25  <pt<30 	4<chiso range<13 	22.8623	31.3982	8.32361	1.0255
25  <pt<30 	5<chiso range<10 	22.8623	29.8712	8.43155	0.831271
25  <pt<30 	5<chiso range<11 	22.8623	31.631	8.30931	1.05529
25  <pt<30 	5<chiso range<12 	22.8623	31.5155	8.31639	1.0405
