pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	54.303	44.7779	4.94455	1.92638
20 <pt<25 	3<chiso range<9 	54.303	44.0891	4.87408	2.09555
20 <pt<25 	3<chiso range<10 	54.303	41.2358	4.58089	2.85255
20 <pt<25 	3<chiso range<11 	54.303	42.2892	4.70754	2.55203
20 <pt<25 	3<chiso range<12 	54.303	41.3304	4.59726	2.82181
20 <pt<25 	3<chiso range<13 	54.303	40.2418	4.46716	3.14768
20 <pt<25 	4<chiso range<9 	54.303	47.0336	5.20201	1.39742
20 <pt<25 	4<chiso range<10 	54.303	43.065	4.79555	2.34342
20 <pt<25 	4<chiso range<11 	54.303	44.1627	4.92632	2.05839
20 <pt<25 	4<chiso range<12 	54.303	42.8968	4.78324	2.38462
20 <pt<25 	4<chiso range<13 	54.303	41.4602	4.60833	2.78687
20 <pt<25 	5<chiso range<10 	54.303	45.0423	5.08189	1.82229
20 <pt<25 	5<chiso range<11 	54.303	46.2082	5.21852	1.55117
20 <pt<25 	5<chiso range<12 	54.303	44.4665	5.01254	1.96238
20 <pt<25 	5<chiso range<13 	54.303	42.6233	4.78054	2.44318
20 <pt<25 	6<chiso range<11 	54.303	41.3366	4.75569	2.7265
20 <pt<25 	6<chiso range<12 	54.303	39.9046	4.56885	3.15143
20 <pt<25 	6<chiso range<13 	54.303	38.3241	4.35563	3.66856
20 <pt<25 	7<chiso range<12 	54.303	38.7656	4.40749	3.52523
20 <pt<25 	7<chiso range<13 	54.303	36.8901	4.16169	4.18409
20 <pt<25 	8<chiso range<13 	54.303	33.2868	3.73183	5.63161
#######################################################################################
25 <pt<30 	3<chiso range<8 	25.7279	21.5674	3.4762	1.19685
25 <pt<30 	3<chiso range<9 	25.7279	21.3574	3.44901	1.26718
25 <pt<30 	3<chiso range<10 	25.7279	21.1015	3.40337	1.35936
25 <pt<30 	3<chiso range<11 	25.7279	20.4532	3.29606	1.6003
25 <pt<30 	3<chiso range<12 	25.7279	20.4913	3.29383	1.58982
25 <pt<30 	3<chiso range<13 	25.7279	20.7386	3.33599	1.4956
25 <pt<30 	4<chiso range<9 	25.7279	20.9047	3.37584	1.42874
25 <pt<30 	4<chiso range<10 	25.7279	20.658	3.33135	1.52188
25 <pt<30 	4<chiso range<11 	25.7279	19.964	3.2164	1.79203
25 <pt<30 	4<chiso range<12 	25.7279	20.0467	3.22081	1.7639
