pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	35.8359	44.4521	11.4866	0.750109
20  <pt<25 	3<chiso range<9 	35.8359	45.2265	11.4511	0.820061
20  <pt<25 	3<chiso range<10 	35.8359	48.45	11.3061	1.11569
20  <pt<25 	3<chiso range<11 	35.8359	47.572	11.4003	1.02946
20  <pt<25 	3<chiso range<12 	35.8359	48.4423	11.3272	1.11293
20  <pt<25 	3<chiso range<13 	35.8359	49.3382	11.2333	1.20199
20  <pt<25 	4<chiso range<9 	35.8359	42.3553	11.6643	0.558919
20  <pt<25 	4<chiso range<10 	35.8359	46.8417	11.4571	0.96061
20  <pt<25 	4<chiso range<11 	35.8359	45.8858	11.5535	0.869858
20  <pt<25 	4<chiso range<12 	35.8359	47.0936	11.4614	0.982227
20  <pt<25 	4<chiso range<13 	35.8359	48.2286	11.3303	1.09377
20  <pt<25 	5<chiso range<10 	35.8359	46.0254	11.7323	0.8685
20  <pt<25 	5<chiso range<11 	35.8359	44.9301	11.8294	0.768779
20  <pt<25 	5<chiso range<12 	35.8359	46.4773	11.6848	0.910705
20  <pt<25 	5<chiso range<13 	35.8359	47.8511	11.5032	1.04451
20  <pt<25 	6<chiso range<11 	35.8359	51.3382	11.6625	1.32924
20  <pt<25 	6<chiso range<12 	35.8359	52.3195	11.5156	1.43141
20  <pt<25 	6<chiso range<13 	35.8359	53.2308	11.3367	1.53439
20  <pt<25 	7<chiso range<12 	35.8359	52.7878	11.3733	1.4905
20  <pt<25 	7<chiso range<13 	35.8359	53.9656	11.1728	1.62266
20  <pt<25 	8<chiso range<13 	35.8359	56.9984	10.8818	1.94476
#######################################################################################
25  <pt<30 	3<chiso range<8 	23.1041	26.5549	8.22739	0.419428
25  <pt<30 	3<chiso range<9 	23.1041	26.8382	8.22251	0.454131
25  <pt<30 	3<chiso range<10 	23.1041	27.0335	8.18912	0.479832
25  <pt<30 	3<chiso range<11 	23.1041	27.6371	8.1225	0.558079
25  <pt<30 	3<chiso range<12 	23.1041	27.4955	8.10682	0.541692
25  <pt<30 	3<chiso range<13 	23.1041	27.2831	8.13495	0.513709
25  <pt<30 	4<chiso range<9 	23.1041	27.2759	8.18032	0.50998
25  <pt<30 	4<chiso range<10 	23.1041	27.4564	8.14724	0.534205
25  <pt<30 	4<chiso range<11 	23.1041	28.1018	8.07634	0.618808
