pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	35.8359	44.7679	11.4955	0.777
20  <pt<25 	3<chiso range<9 	35.8359	45.5177	11.4648	0.84448
20  <pt<25 	3<chiso range<10 	35.8359	48.7431	11.3163	1.14058
20  <pt<25 	3<chiso range<11 	35.8359	47.8599	11.4106	1.05376
20  <pt<25 	3<chiso range<12 	35.8359	48.7251	11.3378	1.13683
20  <pt<25 	3<chiso range<13 	35.8359	49.615	11.244	1.22546
20  <pt<25 	4<chiso range<9 	35.8359	42.55	11.6833	0.574675
20  <pt<25 	4<chiso range<10 	35.8359	47.0534	11.4703	0.97796
20  <pt<25 	4<chiso range<11 	35.8359	46.0983	11.5668	0.887229
20  <pt<25 	4<chiso range<12 	35.8359	47.3054	11.4746	0.999556
20  <pt<25 	4<chiso range<13 	35.8359	48.4389	11.3435	1.11103
20  <pt<25 	5<chiso range<10 	35.8359	46.2445	11.7457	0.886163
20  <pt<25 	5<chiso range<11 	35.8359	45.1497	11.8429	0.786446
20  <pt<25 	5<chiso range<12 	35.8359	46.6951	11.6982	0.92828
20  <pt<25 	5<chiso range<13 	35.8359	48.0662	11.5166	1.06197
20  <pt<25 	6<chiso range<11 	35.8359	51.5553	11.6692	1.34708
20  <pt<25 	6<chiso range<12 	35.8359	52.5366	11.5233	1.4493
20  <pt<25 	6<chiso range<13 	35.8359	53.4469	11.3451	1.5523
20  <pt<25 	7<chiso range<12 	35.8359	53.0072	11.3867	1.50801
20  <pt<25 	7<chiso range<13 	35.8359	54.1805	11.186	1.63996
20  <pt<25 	8<chiso range<13 	35.8359	57.2091	10.8948	1.96178
#######################################################################################
25  <pt<30 	3<chiso range<8 	23.1041	26.6188	8.23565	0.426767
25  <pt<30 	3<chiso range<9 	23.1041	26.9028	8.23078	0.461524
25  <pt<30 	3<chiso range<10 	23.1041	27.1154	8.19345	0.489574
25  <pt<30 	3<chiso range<11 	23.1041	27.7173	8.12731	0.567617
25  <pt<30 	3<chiso range<12 	23.1041	27.5893	8.10888	0.553122
25  <pt<30 	3<chiso range<13 	23.1041	27.3756	8.13717	0.524937
25  <pt<30 	4<chiso range<9 	23.1041	27.3409	8.18854	0.517406
25  <pt<30 	4<chiso range<10 	23.1041	27.5414	8.15098	0.544389
25  <pt<30 	4<chiso range<11 	23.1041	28.1844	8.08071	0.628695
25  <pt<30 	4<chiso range<12 	23.1041	28.0049	8.06453	0.607698
25  <pt<30 	4<chiso range<13 	23.1041	27.7416	8.09797	0.572674
25  <pt<30 	5<chiso range<10 	23.1041	27.8974	8.15284	0.58793
25  <pt<30 	5<chiso range<11 	23.1041	28.6199	8.0674	0.683715
25  <pt<30 	5<chiso range<12 	23.1041	28.3534	8.04872	0.652191
25  <pt<30 	5<chiso range<13 	23.1041	28.0274	8.08917	0.608629
25  <pt<30 	6<chiso range<11 	23.1041	27.7877	8.15916	0.57403
25  <pt<30 	6<chiso range<12 	23.1041	27.5582	8.12349	0.548299
25  <pt<30 	6<chiso range<13 	23.1041	27.1976	8.16998	0.501042
25  <pt<30 	7<chiso range<12 	23.1041	29.0413	8.01358	0.740892
25  <pt<30 	7<chiso range<13 	23.1041	28.4918	8.07693	0.667048
25  <pt<30 	8<chiso range<13 	23.1041	28.5692	7.99265	0.683766
#######################################################################################
30  <pt<35 	3<chiso range<8 	16.3235	20.0155	6.32488	0.583726
30  <pt<35 	3<chiso range<9 	16.3235	20.6503	6.26159	0.691007
30  <pt<35 	3<chiso range<10 	16.3235	20.7361	6.25224	0.705763
30  <pt<35 	3<chiso range<11 	16.3235	20.5884	6.28693	0.678376
30  <pt<35 	3<chiso range<12 	16.3235	21.0154	6.25438	0.750178
