pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	90.3226	54.4649	35.8359	44.6764	44.7679	1.98262	0.777
20 <pt<25 	3<chiso range<9 	90.3226	54.4649	35.8359	44.0297	45.5177	2.14178	0.84448
20 <pt<25 	3<chiso range<10 	90.3226	54.4649	35.8359	41.1571	48.7431	2.9084	1.14058
20 <pt<25 	3<chiso range<11 	90.3226	54.4649	35.8359	42.2139	47.8599	2.60513	1.05376
20 <pt<25 	3<chiso range<12 	90.3226	54.4649	35.8359	41.2606	48.7251	2.87493	1.13683
20 <pt<25 	3<chiso range<13 	90.3226	54.4649	35.8359	40.176	49.615	3.20158	1.22546
20 <pt<25 	4<chiso range<9 	90.3226	54.4649	35.8359	47.0625	42.55	1.42089	0.574675
20 <pt<25 	4<chiso range<10 	90.3226	54.4649	35.8359	43.0541	47.0534	2.37863	0.97796
20 <pt<25 	4<chiso range<11 	90.3226	54.4649	35.8359	44.1513	46.0983	2.09284	0.887229
20 <pt<25 	4<chiso range<12 	90.3226	54.4649	35.8359	42.8859	47.3054	2.4199	0.999556
20 <pt<25 	4<chiso range<13 	90.3226	54.4649	35.8359	41.4508	48.4389	2.82298	1.11103
20 <pt<25 	5<chiso range<10 	90.3226	54.4649	35.8359	45.0283	46.2445	1.85628	0.886163
20 <pt<25 	5<chiso range<11 	90.3226	54.4649	35.8359	46.1937	45.1497	1.58443	0.786446
20 <pt<25 	5<chiso range<12 	90.3226	54.4649	35.8359	44.453	46.6951	1.99669	0.92828
20 <pt<25 	5<chiso range<13 	90.3226	54.4649	35.8359	42.6121	48.0662	2.47847	1.06197
20 <pt<25 	6<chiso range<11 	90.3226	54.4649	35.8359	41.2878	51.5553	2.77342	1.34708
20 <pt<25 	6<chiso range<12 	90.3226	54.4649	35.8359	39.8612	52.5366	3.1989	1.4493
20 <pt<25 	6<chiso range<13 	90.3226	54.4649	35.8359	38.2854	53.4469	3.71714	1.5523
20 <pt<25 	7<chiso range<12 	90.3226	54.4649	35.8359	38.7532	53.0072	3.56354	1.50801
20 <pt<25 	7<chiso range<13 	90.3226	54.4649	35.8359	36.8795	54.1805	4.22406	1.63996
20 <pt<25 	8<chiso range<13 	90.3226	54.4649	35.8359	33.2782	57.2091	5.67533	1.96178
#######################################################################################
25 <pt<30 	3<chiso range<8 	48.9245	25.8089	23.1041	21.5924	26.6188	1.21205	0.426767
